start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,7,10,16,46,37,706,100002,185,2018,7,10,16,47,55,84,0.5,com.sec.android.app.shealth,UTC-0400,Noodles(Indomie),NA,120001,NA,2018,7,10,16,46,49,633,ded4579e-5981-48c0-abe7-8c5cf0a8e929
2018,7,18,16,3,23,363,100002,77,2018,7,18,16,6,44,378,1,com.sec.android.app.shealth,UTC-0400,Cooked Mushrooms,NA,120001,NA,2018,7,18,16,6,44,378,278af9f9-dcd5-4003-8f05-9b7f927173eb
2018,7,8,22,32,31,704,100006,37,2018,7,9,0,41,21,557,0.5,com.sec.android.app.shealth,UTC-0400,Pineapple,NA,120001,NA,2018,7,8,22,32,42,492,6835060c-2197-428c-ab62-f8e16e8c34ea
2018,7,18,16,3,23,363,100002,26,2018,7,18,16,6,44,377,0.5,com.sec.android.app.shealth,UTC-0400,Oyster Mushroom,NA,120001,NA,2018,7,18,16,6,44,377,5133b820-42d0-4c78-ad0c-6852faff8457
2018,6,27,1,37,43,493,100006,33,2018,6,27,1,37,54,103,0.3,com.sec.android.app.shealth,UTC-0400,Dried Apricots(Great Value),NA,120001,NA,2018,6,27,1,37,54,103,cffa8f8a-3d96-4cc4-b45c-4151e8a003b6
2018,7,18,16,3,23,363,100002,124,2018,7,18,16,6,44,377,1,com.sec.android.app.shealth,UTC-0400,Canola Vegetable Oil,NA,120001,NA,2018,7,18,16,6,44,377,f2321d79-4a85-485a-8bca-17fd1d5380fd
2018,6,16,16,0,0,0,100002,10.5,2018,6,16,23,25,44,368,0.5,com.sec.android.app.shealth,UTC-0400,Barbecue Sauce,NA,120001,NA,2018,6,16,23,25,44,368,c06c19dd-ac35-44f0-a8b0-0718c206e9d3
2018,7,6,23,4,6,863,100003,322,2018,7,6,23,7,10,70,2,com.sec.android.app.shealth,UTC-0400,Oriental Rice Dumpling - Original(Kawan Food),NA,120001,NA,2018,7,6,23,7,10,70,b228b60c-68d1-494c-bd77-219c389b4405
2018,7,9,13,7,57,646,100001,49.8,2018,7,9,13,10,32,691,0.3,com.sec.android.app.shealth,UTC-0400,Wild Rice (Cooked),NA,120001,NA,2018,7,9,13,10,32,691,e4147c51-0b2f-4958-a447-b3b87daada16
2018,6,20,16,0,0,757,100002,22,2018,6,20,20,51,32,405,1,com.sec.android.app.shealth,UTC-0400,White Button Mushrooms(Trader Joe's),NA,120001,NA,2018,6,20,20,50,57,205,fc0cc370-c12b-4736-b8c2-1be8dec205c4
2018,6,24,19,55,30,996,100002,38.5,2018,6,24,22,42,59,900,0.5,com.sec.android.app.shealth,UTC-0400,Cooked Mushrooms (from Fresh),NA,120001,NA,2018,6,24,22,42,14,789,f5c6db36-1b71-4e71-8b60-f9f54b95d4a3
2018,6,29,22,0,0,219,100003,66,2018,6,30,15,29,5,922,1,com.sec.android.app.shealth,UTC-0400,Cooked Eggplant (Fat Added in Cooking),NA,120001,NA,2018,6,30,15,28,3,628,08ad6198-6616-4420-8001-0d613ec1ce9e
2018,7,16,18,52,42,824,100002,176,2018,7,16,18,53,32,214,0.8,com.sec.android.app.shealth,UTC-0400,Mie Goreng Instant Noodles(Indomie),NA,120001,NA,2018,7,16,18,53,32,214,c298dca8-046e-490e-8880-2aea8e4eb4df
2018,7,8,16,0,0,852,100002,34,2018,7,8,21,12,37,50,1,com.sec.android.app.shealth,UTC-0400,Cooked Broccoli (Fat Not Added in Cooking),NA,120001,NA,2018,7,8,21,11,30,425,a06c6d60-2487-4233-97ca-bad9445c6763
2018,7,17,16,0,0,579,100002,45,2018,7,17,22,7,48,850,0.5,com.sec.android.app.shealth,UTC-0400,Dark Red Kidney Beans(Goya),NA,120001,NA,2018,7,17,22,6,39,870,1aa98fe3-eff2-4835-a1cf-854fef7d8e8e
2018,6,18,21,55,12,37,100005,37,2018,6,18,21,58,22,32,0.5,com.sec.android.app.shealth,UTC-0400,Pineapple,NA,120001,NA,2018,6,18,21,56,14,335,6835060c-2197-428c-ab62-f8e16e8c34ea
2018,7,6,17,41,53,633,100006,67,2018,7,6,17,42,3,115,0.5,com.sec.android.app.shealth,UTC-0400,Mango,NA,120001,NA,2018,7,6,17,42,3,115,52617a49-e99b-4808-8778-c009c352b30c
2018,6,27,22,0,0,173,100003,255,2018,6,29,1,6,58,515,1.5,com.sec.android.app.shealth,UTC-0400,Mixed Nuts(Planters),NA,120001,NA,2018,6,29,1,6,58,515,63ec2b45-8bf9-4e33-b8a1-c95ff61f0d6e
2018,6,13,22,0,0,0,100003,850,2018,6,14,14,13,38,576,5,com.sec.android.app.shealth,UTC-0400,Mixed Nuts(Planters),NA,120001,NA,2018,6,14,14,13,38,576,63ec2b45-8bf9-4e33-b8a1-c95ff61f0d6e
