date,ActivFit
2016-08-19 00:00:00,still
2016-08-19 08:12:11,walking
2016-08-19 08:14:47,still
2016-08-19 12:13:23,in_vehicle
2016-08-19 12:18:24,still
2016-08-19 13:39:35,walking
2016-08-19 13:41:48,still
2016-08-19 15:30:29,walking
2016-08-19 15:38:09,walking
2016-08-19 15:41:36,still
2016-08-19 17:43:40,still
2016-08-19 18:18:55,in_vehicle
2016-08-19 18:27:52,walking
2016-08-19 18:29:07,still
2016-08-19 21:06:44,walking
2016-08-19 21:08:32,in_vehicle
2016-08-19 21:20:44,still
2016-08-19 23:42:18,still
2016-08-20 00:00:00,still
2016-10-12 00:25:18,walking
2016-10-12 00:38:42,walking
2016-10-12 17:55:35,walking
2016-10-12 18:00:19,walking
2016-10-13 13:11:17,walking
2016-10-13 13:16:08,walking
2016-10-13 13:20:15,walking
2016-10-13 14:07:13,walking
2016-10-13 14:51:08,walking
2016-10-13 15:01:40,walking
2016-10-13 15:42:24,walking
2016-10-13 15:43:43,walking
2016-10-13 15:49:41,walking
2016-10-13 15:52:00,walking
2016-10-14 17:48:24,walking
2016-10-15 18:31:30,walking
2016-10-15 18:35:51,walking
2016-10-15 18:43:11,walking
2016-10-17 17:26:33,walking
2016-10-17 17:40:45,walking
2016-10-17 17:49:59,walking
2016-10-18 17:35:55,still
2016-10-18 17:36:57,still
2016-10-18 17:39:03,walking
2016-10-18 18:23:54,still
2016-10-19 00:00:00,still
2016-10-19 01:19:03,walking
2016-10-19 01:20:12,still
2016-10-19 09:00:27,still
2016-10-19 09:52:58,still
2016-10-19 10:18:14,still
2016-10-20 00:00:00,still
2016-10-20 08:33:43,still
2016-10-20 10:19:33,still
2016-10-20 14:30:16,in_vehicle
2016-10-20 14:35:20,still
2016-10-20 15:30:35,still
2016-10-20 17:19:26,in_vehicle
2016-10-20 17:33:32,walking
2016-10-20 18:11:31,in_vehicle
2016-10-20 18:27:33,still
2016-10-20 18:38:05,still
2016-10-20 21:51:35,still
2016-10-21 00:00:00,still
2016-10-21 06:09:02,walking
2016-10-21 06:10:28,still
2016-10-21 07:53:07,still
2016-10-25 00:00:00,still
2016-10-25 00:05:00,sleep
2016-10-25 03:09:00,sleep
2016-10-25 04:52:00,still
2016-10-25 10:24:38,walking
2016-10-25 10:29:41,still
2016-10-25 10:31:26,biking
2016-10-25 10:40:55,still
2016-10-25 10:42:00,walking
2016-10-25 12:02:31,still
2016-10-25 12:12:00,walking
2016-10-25 12:24:13,biking
2016-10-25 12:34:00,walking
2016-10-25 13:08:03,still
2016-10-25 13:54:00,sleep
2016-10-25 14:47:00,sleep
2016-10-25 15:49:00,sleep
2016-10-25 16:00:00,still
2016-10-25 16:05:36,in_vehicle
2016-10-25 16:18:46,still
2016-10-25 17:38:00,walking
2016-10-25 18:36:00,still
2016-10-25 18:58:39,still
2016-10-25 22:42:04,still
2016-10-26 00:00:00,still
2016-10-26 00:18:00,sleep
2016-10-26 01:08:00,sleep
2016-10-26 01:26:00,still
2016-10-26 01:39:00,sleep
2016-10-26 02:26:00,sleep
2016-10-26 02:30:00,still
2016-10-26 02:43:00,sleep
2016-10-26 05:25:00,still
2016-10-26 08:05:28,still
2016-10-26 11:50:57,in_vehicle
2016-10-26 12:03:00,still
2016-10-26 15:33:47,still
2016-10-26 15:43:56,still
2016-10-26 16:51:00,walking
2016-10-26 17:06:00,biking
2016-10-26 17:28:31,still
2016-10-26 17:31:34,still
2016-10-26 17:35:44,still
2016-10-26 17:53:19,in_vehicle
2016-10-26 18:03:37,still
2016-10-26 18:06:05,still
2016-10-26 18:19:20,in_vehicle
2016-10-26 18:32:04,still
2016-10-26 20:02:14,walking
2016-10-26 20:03:23,still
2016-10-26 20:29:32,in_vehicle
2016-10-26 20:47:30,walking
2016-10-26 20:48:32,still
2016-10-26 21:37:46,still
2016-10-28 00:00:00,sleep
2016-10-28 01:03:00,sleep
2016-10-28 02:21:00,sleep
2016-10-28 04:01:00,still
2016-10-28 06:37:40,still
2016-10-28 08:03:26,walking
2016-10-28 08:05:07,still
2016-10-28 08:07:38,in_vehicle
2016-10-28 08:10:02,walking
2016-10-28 08:12:00,still
2016-10-28 10:32:56,walking
2016-10-28 10:45:31,walking
2016-10-28 10:49:03,still
2016-10-28 10:57:00,walking
2016-10-28 11:14:04,still
2016-10-28 11:22:00,walking
2016-10-28 11:47:34,still
2016-10-28 11:57:00,walking
2016-10-28 12:25:15,still
2016-10-28 12:48:57,walking
2016-10-28 12:50:40,still
2016-10-28 14:56:38,walking
2016-10-28 15:01:27,walking
2016-10-28 15:03:26,still
2016-10-28 15:47:31,walking
2016-10-28 15:49:31,in_vehicle
2016-10-28 15:56:19,walking
2016-10-28 15:58:08,still
2016-10-28 16:01:14,walking
2016-10-28 16:02:46,still
2016-10-28 16:39:00,walking
2016-10-28 16:51:31,still
2016-10-28 17:16:00,walking
2016-10-28 17:30:00,walking
2016-10-28 17:33:21,still
2016-10-28 17:40:55,still
2016-10-28 17:45:57,walking
2016-10-28 17:50:29,walking
2016-10-28 17:56:44,in_vehicle
2016-10-28 18:12:01,still
2016-10-28 18:22:06,still
2016-10-28 20:26:43,walking
2016-10-28 20:27:44,still
2016-10-28 23:01:00,walking
2016-10-28 23:15:00,still
2016-10-29 00:00:00,sleep
2016-10-29 01:13:00,sleep
2016-10-29 04:01:00,sleep
2016-10-29 05:50:00,still
2016-10-29 06:42:38,still
2016-10-29 07:52:37,in_vehicle
2016-10-29 08:11:53,still
2016-10-29 08:42:34,walking
2016-10-29 08:49:00,in_vehicle
2016-10-29 08:53:30,walking
2016-10-29 08:58:52,still
2016-10-29 09:04:59,still
2016-10-29 09:56:12,in_vehicle
2016-10-29 10:07:15,still
2016-10-29 11:04:00,still
2016-10-29 11:19:00,sleep
2016-10-29 12:43:00,sleep
2016-10-29 15:25:00,sleep
2016-10-29 15:27:00,still
2016-10-29 15:37:00,walking
2016-10-29 16:08:30,still
2016-10-29 16:22:57,walking
2016-10-29 16:26:41,still
2016-10-29 16:33:35,walking
2016-10-29 16:34:56,still
2016-10-29 16:36:58,walking
2016-10-29 16:40:23,still
2016-10-29 16:57:00,walking
2016-10-29 17:11:42,still
2016-10-29 17:28:43,in_vehicle
2016-10-29 17:37:00,walking
2016-10-29 17:58:00,still
2016-10-29 22:33:51,still
2016-10-29 23:38:18,walking
2016-10-29 23:40:14,still
2016-10-30 00:00:00,sleep
2016-10-30 00:51:00,sleep
2016-10-30 02:13:00,sleep
2016-10-30 05:42:00,still
2016-10-30 08:43:08,in_vehicle
2016-10-30 09:01:33,still
2016-10-30 09:18:00,walking
2016-10-30 09:28:00,still
2016-10-30 10:43:27,still
2016-10-30 17:07:21,in_vehicle
2016-10-30 17:25:30,still
2016-10-30 19:30:07,still
2016-10-30 19:39:00,walking
2016-10-30 20:16:23,walking
