date,ActivFit
2015-12-29 00:00:00,still
2015-12-29 00:07:51,walking
2015-12-29 07:13:55,still
2015-12-29 07:17:32,still
2015-12-29 08:29:24,still
2015-12-29 08:49:53,still
2015-12-29 09:07:01,walking
2015-12-29 09:09:01,still
2015-12-29 09:26:36,walking
2015-12-29 09:30:10,in_vehicle
2015-12-29 09:57:31,walking
2015-12-29 09:59:00,in_vehicle
2015-12-29 10:07:59,still
2015-12-29 10:41:07,walking
2015-12-29 10:42:09,still
2015-12-29 11:03:57,in_vehicle
2015-12-29 11:11:49,still
2015-12-29 11:42:22,walking
2015-12-29 11:44:06,still
2015-12-29 11:59:38,walking
2015-12-29 12:18:42,walking
2015-12-29 12:21:04,still
2015-12-29 12:37:10,still
2015-12-29 12:49:07,walking
2015-12-29 12:51:06,still
2015-12-29 17:37:47,in_vehicle
2015-12-29 18:02:33,still
2015-12-29 18:04:08,walking
2015-12-29 18:07:52,still
2015-12-29 18:19:58,walking
2015-12-29 18:45:36,still
2015-12-29 18:46:56,walking
2015-12-29 18:59:53,walking
2015-12-29 19:09:25,walking
2015-12-29 19:14:03,walking
2015-12-29 19:20:07,walking
2015-12-29 19:23:33,still
2015-12-29 20:07:42,walking
2015-12-29 20:08:45,in_vehicle
2015-12-29 20:45:11,walking
2015-12-29 20:47:05,still
2015-12-29 22:07:46,still
2015-12-29 23:02:27,still
2015-12-30 07:01:34,still
2015-12-30 08:40:39,still
2015-12-30 09:57:35,still
2015-12-30 10:19:50,walking
2015-12-30 10:20:56,still
2015-12-30 10:39:44,walking
2015-12-30 10:41:29,still
2015-12-30 10:48:00,walking
2015-12-30 10:49:43,walking
2015-12-30 10:54:02,still
2015-12-30 10:56:00,in_vehicle
2015-12-30 11:30:32,in_vehicle
2015-12-30 12:14:14,still
2015-12-30 12:24:42,walking
2015-12-30 12:26:14,in_vehicle
2015-12-30 13:05:28,still
2015-12-30 13:09:34,walking
2015-12-30 13:15:28,still
2015-12-30 14:14:11,walking
2015-12-30 14:18:24,still
2015-12-30 14:38:22,walking
2015-12-30 14:41:32,still
2015-12-30 15:19:54,walking
2015-12-30 15:24:02,still
2015-12-30 15:53:32,walking
2015-12-30 15:55:39,still
2015-12-30 16:00:30,still
2015-12-30 16:09:01,still
2015-12-30 17:18:23,walking
2015-12-30 17:19:28,still
2015-12-30 17:27:46,walking
2015-12-30 17:28:51,still
2015-12-30 17:43:46,walking
2015-12-30 17:45:46,still
2015-12-30 18:49:08,still
2015-12-30 19:37:12,walking
2015-12-30 19:44:43,still
2015-12-30 22:05:17,in_vehicle
2015-12-30 22:16:37,still
2015-12-30 22:44:34,still
2015-12-31 06:31:52,still
2015-12-31 08:58:00,walking
2015-12-31 08:59:05,walking
2015-12-31 09:02:48,in_vehicle
2015-12-31 09:34:05,still
2015-12-31 11:35:04,walking
2015-12-31 11:36:13,still
2015-12-31 12:14:18,walking
2015-12-31 12:19:00,in_vehicle
2015-12-31 12:44:16,still
2015-12-31 13:16:25,walking
2015-12-31 13:17:58,still
2015-12-31 13:47:01,walking
2015-12-31 13:50:09,still
2015-12-31 14:07:07,walking
2015-12-31 14:11:00,still
2015-12-31 14:12:14,in_vehicle
2015-12-31 15:23:54,walking
2015-12-31 15:26:01,still
2015-12-31 15:30:40,walking
2015-12-31 15:32:02,in_vehicle
2015-12-31 16:05:39,walking
2015-12-31 16:10:23,still
2015-12-31 18:16:00,walking
2015-12-31 18:45:35,still
2015-12-31 18:47:10,walking
2015-12-31 18:52:31,still
2015-12-31 19:03:16,still
2015-12-31 20:47:46,walking
2015-12-31 20:48:51,still
2015-12-31 20:59:29,still
2015-12-31 22:43:20,still
2016-01-01 00:00:00,still
2016-01-01 07:03:53,still
2016-01-01 08:56:56,still
2016-01-01 10:45:37,walking
2016-01-01 10:46:39,still
2016-01-01 11:16:41,walking
2016-01-01 11:24:37,still
2016-01-01 11:26:39,walking
2016-01-01 11:29:23,walking
2016-01-01 11:40:52,walking
2016-01-01 11:42:57,walking
2016-01-01 11:45:37,walking
2016-01-01 11:50:26,walking
2016-01-01 11:53:57,walking
2016-01-01 11:56:31,walking
2016-01-01 12:01:53,walking
2016-01-01 12:04:56,walking
2016-01-01 12:08:08,walking
2016-01-01 12:12:56,walking
2016-01-01 12:20:33,walking
2016-01-01 12:24:57,walking
2016-01-01 12:31:56,walking
2016-01-01 12:36:05,in_vehicle
2016-01-01 12:51:03,still
2016-01-01 14:43:13,walking
2016-01-01 14:44:22,still
2016-01-01 15:42:19,still
2016-01-01 15:59:56,walking
2016-01-01 16:03:26,still
2016-01-01 17:22:51,walking
2016-01-01 17:23:56,still
2016-01-01 19:56:57,walking
2016-01-01 19:58:51,still
2016-01-01 20:08:52,walking
2016-01-01 20:09:55,still
2016-01-01 22:20:52,still
2016-01-02 00:00:00,still
2016-01-02 07:22:34,still
2016-01-02 08:43:43,still
2016-01-02 09:25:13,still
2016-01-02 10:24:51,still
2016-01-02 10:36:53,in_vehicle
2016-01-02 11:12:53,still
2016-01-02 11:14:09,walking
2016-01-02 11:56:29,still
2016-01-02 12:36:34,still
2016-01-02 12:41:28,walking
2016-01-02 12:44:39,still
