date,ActivFit
2016-03-04 00:00:00,still
2016-03-04 07:49:06,walking
2016-03-04 07:50:18,still
2016-03-04 08:53:57,walking
2016-03-04 08:55:48,still
2016-03-04 09:07:43,walking
2016-03-04 09:11:08,still
2016-03-04 09:20:21,still
2016-03-04 09:27:07,walking
2016-03-04 09:32:07,in_vehicle
2016-03-04 10:05:21,walking
2016-03-04 10:14:47,still
2016-03-04 10:16:59,in_vehicle
2016-03-04 10:24:04,walking
2016-03-04 10:26:21,still
2016-03-04 11:17:58,walking
2016-03-04 11:22:35,still
2016-03-04 11:49:54,walking
2016-03-04 11:52:36,still
2016-03-04 12:01:29,walking
2016-03-04 12:06:09,still
2016-03-04 12:38:02,walking
2016-03-04 12:41:38,still
2016-03-04 13:28:17,walking
2016-03-04 13:29:54,still
2016-03-04 15:01:04,walking
2016-03-04 15:02:35,still
2016-03-04 15:03:53,walking
2016-03-04 15:05:00,still
2016-03-04 15:55:12,walking
2016-03-04 15:58:05,still
2016-03-04 16:01:57,walking
2016-03-04 16:10:10,in_vehicle
2016-03-04 16:18:48,walking
2016-03-04 16:24:57,still
2016-03-04 16:27:51,in_vehicle
2016-03-04 17:06:59,walking
2016-03-04 17:13:00,still
2016-03-04 17:18:41,still
2016-03-04 17:25:30,walking
2016-03-04 17:30:39,still
2016-03-04 21:53:43,in_vehicle
2016-03-04 22:03:11,still
2016-03-04 22:53:32,still
2016-03-05 00:00:00,still
2016-03-05 09:53:46,walking
2016-03-05 09:55:46,in_vehicle
2016-03-05 10:30:47,walking
2016-03-05 10:32:22,still
2016-03-05 11:05:13,walking
2016-03-05 11:08:00,in_vehicle
2016-03-05 11:20:03,walking
2016-03-05 11:26:11,still
2016-03-05 11:31:23,in_vehicle
2016-03-05 12:21:16,walking
2016-03-05 12:25:25,still
2016-03-05 12:43:30,in_vehicle
2016-03-05 13:07:20,still
2016-03-06 00:00:00,still
2016-03-06 09:13:25,walking
2016-03-06 09:14:52,still
2016-03-06 12:18:21,still
2016-03-06 12:21:22,walking
2016-03-06 12:24:09,in_vehicle
2016-03-06 13:03:14,walking
2016-03-06 13:07:00,still
2016-03-06 14:30:46,walking
2016-03-06 14:38:29,still
2016-03-06 15:49:16,still
2016-03-06 16:07:40,walking
2016-03-06 16:29:54,still
2016-03-06 17:10:57,walking
2016-03-06 17:14:16,walking
2016-03-06 17:21:00,still
2016-03-06 18:27:44,in_vehicle
2016-03-06 19:03:02,walking
2016-03-06 19:06:22,still
