date,ActivFit
2016-11-27 00:00:00,still
2016-11-27 00:35:52,still
2016-11-27 03:25:08,still
2016-11-27 12:23:21,walking
2016-11-27 12:24:32,still
2016-11-27 12:26:03,in_vehicle
2016-11-27 12:38:39,still
2016-11-27 13:06:51,walking
2016-11-27 13:10:45,walking
2016-11-27 13:12:10,still
2016-11-27 13:28:56,walking
2016-11-27 13:31:12,still
2016-11-27 13:35:27,walking
2016-11-27 13:36:51,in_vehicle
2016-11-27 13:52:11,still
2016-11-27 14:51:44,still
2016-11-27 14:55:46,walking
2016-11-27 14:59:52,still
2016-11-27 15:44:02,walking
2016-11-27 15:47:32,still
2016-11-27 16:19:05,still
2016-11-27 16:36:00,walking
2016-11-27 16:40:37,still
2016-11-27 17:17:48,walking
2016-11-27 17:19:56,in_vehicle
2016-11-27 17:40:28,walking
2016-11-27 17:43:22,still
2016-11-28 00:00:00,in_vehicle
2016-11-28 00:01:45,still
2016-11-28 00:06:45,still
2016-11-28 00:52:00,still
2016-11-28 11:21:56,in_vehicle
2016-11-28 11:47:24,in_vehicle
2016-11-28 11:57:33,still
2016-11-28 13:16:56,walking
2016-11-28 13:19:31,still
2016-11-28 13:22:08,walking
2016-11-28 13:27:30,still
2016-11-28 13:46:31,walking
2016-11-28 13:51:50,still
2016-11-28 14:15:58,still
2016-11-28 16:43:06,walking
2016-11-28 16:48:45,still
2016-11-29 00:00:00,still
2016-11-29 12:33:20,walking
2016-11-29 12:35:51,in_vehicle
2016-11-29 12:55:17,walking
2016-11-29 13:08:08,still
2016-11-29 14:00:52,walking
2016-11-29 14:07:35,walking
2016-11-29 14:23:07,still
2016-11-29 14:54:42,walking
2016-11-29 15:08:00,still
2016-11-29 15:46:04,walking
2016-11-29 15:49:36,still
2016-11-29 16:31:31,walking
2016-11-29 16:51:41,still
2016-11-29 18:11:59,walking
2016-11-29 18:21:28,walking
2016-11-29 18:27:33,still
2016-11-29 18:37:51,walking
2016-11-29 18:44:21,in_vehicle
2016-11-29 19:10:26,walking
2016-11-29 19:15:01,still
2016-11-29 22:45:54,still
2016-11-30 00:00:00,in_vehicle
2016-11-30 00:05:02,still
2016-11-30 00:25:04,still
2016-11-30 14:41:31,walking
2016-11-30 14:42:36,still
2016-11-30 14:50:23,walking
2016-11-30 14:57:08,still
2016-11-30 15:09:24,in_vehicle
2016-11-30 15:19:11,walking
2016-11-30 15:21:56,still
2016-11-30 15:38:48,walking
2016-11-30 15:40:17,still
2016-11-30 15:49:01,in_vehicle
2016-11-30 16:18:43,walking
2016-11-30 16:23:46,still
2016-11-30 18:17:36,walking
2016-11-30 18:19:44,walking
2016-11-30 18:25:34,still
2016-11-30 18:28:07,in_vehicle
2016-11-30 18:55:55,walking
2016-11-30 19:03:04,still
2016-11-30 19:49:03,in_vehicle
2016-11-30 20:05:15,walking
2016-11-30 20:07:24,still
2016-11-30 20:15:34,walking
2016-11-30 20:28:25,walking
2016-11-30 20:29:26,walking
2016-11-30 20:41:00,still
2016-11-30 21:10:18,walking
2016-11-30 21:12:50,still
2016-11-30 21:22:11,walking
2016-11-30 21:38:32,still
2016-11-30 21:51:52,walking
2016-11-30 21:52:53,still
2016-11-30 21:54:24,walking
2016-11-30 22:03:33,in_vehicle
2016-11-30 22:27:45,still
2016-11-30 22:29:40,walking
2016-11-30 22:31:43,still
2016-12-01 00:00:00,still
2016-12-01 01:30:20,still
2016-12-01 14:40:21,in_vehicle
2016-12-01 14:56:15,still
2016-12-01 18:14:25,still
2016-12-01 18:44:36,still
2016-12-02 00:00:00,still
2016-12-02 00:41:56,still
2016-12-02 12:20:17,walking
2016-12-02 12:22:23,still
2016-12-02 12:29:13,walking
2016-12-02 12:30:21,still
2016-12-02 12:32:30,walking
2016-12-02 12:38:12,walking
2016-12-02 12:40:12,in_vehicle
2016-12-02 12:54:43,walking
2016-12-02 12:57:40,still
2016-12-02 13:08:08,still
2016-12-02 13:40:38,in_vehicle
2016-12-02 13:48:49,walking
2016-12-02 13:49:52,in_vehicle
2016-12-02 13:52:51,walking
2016-12-02 13:55:49,still
2016-12-02 13:56:49,walking
2016-12-02 14:01:14,still
2016-12-02 14:08:43,in_vehicle
2016-12-02 14:22:30,still
2016-12-02 14:51:42,walking
2016-12-02 14:54:16,still
2016-12-02 15:16:54,walking
2016-12-02 15:23:05,still
2016-12-02 16:25:48,walking
2016-12-02 16:30:13,still
2016-12-02 16:33:49,walking
2016-12-02 16:35:45,walking
2016-12-02 16:37:15,in_vehicle
2016-12-02 17:28:28,walking
2016-12-02 17:30:05,in_vehicle
2016-12-02 17:58:59,still
2016-12-02 18:48:03,walking
2016-12-02 18:53:44,still
2016-12-02 19:03:54,still
2016-12-02 20:10:29,walking
2016-12-02 20:11:44,still
2016-12-02 20:15:37,walking
2016-12-02 20:17:29,in_vehicle
2016-12-02 20:27:47,walking
2016-12-02 20:34:43,still
2016-12-02 20:44:02,walking
2016-12-02 20:51:47,in_vehicle
2016-12-02 21:08:25,still
2016-12-03 00:00:00,still
2016-12-03 13:03:47,walking
2016-12-03 13:09:41,in_vehicle
2016-12-03 13:17:56,walking
2016-12-03 13:22:55,still
2016-12-03 13:25:58,still
2016-12-03 13:29:29,in_vehicle
2016-12-03 14:07:49,walking
2016-12-03 14:09:09,still
2016-12-03 14:26:02,walking
2016-12-03 14:27:52,in_vehicle
2016-12-03 14:40:50,walking
2016-12-03 14:43:22,still
2016-12-03 15:28:00,walking
2016-12-03 15:30:25,still
2016-12-03 15:33:11,walking
2016-12-03 15:34:41,still
2016-12-03 15:36:16,walking
2016-12-03 15:37:18,in_vehicle
2016-12-03 15:52:11,still
2016-12-03 16:49:14,walking
2016-12-03 16:51:40,walking
2016-12-03 16:54:29,still
2016-12-03 18:11:33,walking
2016-12-03 18:14:07,still
2016-12-03 18:19:46,walking
2016-12-03 18:24:24,in_vehicle
2016-12-03 19:08:26,walking
2016-12-03 19:11:58,still
2016-12-03 19:41:24,still
2016-12-04 00:00:00,still
2016-12-04 06:45:01,still
2016-12-04 09:40:15,in_vehicle
2016-12-04 10:03:43,still
2016-12-04 10:35:39,in_vehicle
2016-12-04 10:53:00,still
2016-12-04 11:00:58,in_vehicle
2016-12-04 11:36:35,still
2016-12-04 11:57:40,walking
2016-12-04 12:02:51,in_vehicle
2016-12-04 12:12:58,still
2016-12-04 12:16:01,walking
2016-12-04 12:17:26,still
2016-12-04 12:36:37,walking
2016-12-04 12:38:11,still
2016-12-04 12:43:22,walking
2016-12-04 12:44:42,still
2016-12-04 13:16:19,walking
2016-12-04 13:17:58,still
2016-12-04 13:30:32,still
2016-12-04 13:34:37,walking
2016-12-04 13:35:47,in_vehicle
2016-12-04 13:49:35,still
2016-12-04 14:56:45,walking
2016-12-04 15:01:18,still
2016-12-04 16:13:27,walking
2016-12-04 16:15:44,still
2016-12-04 16:20:07,in_vehicle
2016-12-04 16:53:03,still
2016-12-04 16:59:07,walking
2016-12-04 17:07:49,still
2016-12-04 17:22:07,walking
2016-12-04 17:27:49,walking
2016-12-04 17:29:13,still
2016-12-04 17:32:29,in_vehicle
2016-12-04 17:57:11,walking
2016-12-04 17:59:15,still
2016-12-05 00:00:00,still
2016-12-05 13:27:20,in_vehicle
2016-12-05 13:58:46,still
2016-12-05 14:34:20,in_vehicle
2016-12-05 15:31:21,walking
2016-12-05 15:40:45,walking
2016-12-05 15:42:32,still
2016-12-05 15:46:31,walking
2016-12-05 15:50:10,in_vehicle
2016-12-05 15:57:25,walking
2016-12-05 16:02:43,still
2016-12-05 16:09:01,still
2016-12-05 16:27:49,walking
2016-12-05 16:30:17,in_vehicle
2016-12-05 16:46:02,walking
2016-12-05 16:49:09,still
2016-12-05 17:26:04,walking
2016-12-05 17:28:30,in_vehicle
2016-12-05 17:57:10,still
2016-12-05 18:50:03,still
2016-12-05 18:51:46,walking
2016-12-05 18:53:06,in_vehicle
2016-12-05 19:02:53,still
2016-12-05 20:05:32,still
2016-12-05 20:13:34,walking
2016-12-05 20:15:54,in_vehicle
2016-12-05 20:25:07,walking
2016-12-05 20:27:53,still
2016-12-05 21:36:44,walking
2016-12-05 21:38:53,still
2016-12-05 21:45:21,still
2016-12-05 22:47:31,walking
2016-12-05 22:48:33,still
2016-12-05 22:53:13,in_vehicle
2016-12-05 23:04:16,still
2016-12-06 00:00:00,still
2016-12-06 10:03:35,walking
2016-12-06 10:05:36,still
2016-12-06 10:13:44,in_vehicle
2016-12-06 10:20:11,still
2016-12-06 10:36:41,still
