date,ActivFit
2016-01-01 00:00:00,still
2016-01-01 10:10:31,still
2016-01-01 10:54:07,walking
2016-01-01 10:55:26,still
2016-01-01 10:58:08,walking
2016-01-01 11:13:12,walking
2016-01-01 11:53:03,still
2016-01-01 20:49:04,walking
2016-01-01 21:03:21,still
2016-01-01 23:08:37,still
2016-01-02 00:00:00,still
2016-01-02 07:20:20,in_vehicle
2016-01-02 07:28:18,still
2016-01-02 08:52:15,walking
2016-01-02 08:59:52,in_vehicle
2016-01-02 09:21:07,walking
2016-01-02 09:36:06,still
2016-01-02 09:42:11,walking
2016-01-02 10:02:46,walking
2016-01-02 10:06:34,still
2016-01-02 10:17:04,in_vehicle
2016-01-02 10:36:42,walking
2016-01-02 10:48:07,still
2016-01-02 10:50:50,walking
2016-01-02 10:56:40,still
2016-01-02 17:46:21,in_vehicle
2016-01-02 18:02:25,still
2016-01-02 23:13:34,still
