date,ActivFit
2017-01-14 00:23:45,in_vehicle
2017-01-14 00:37:21,walking
2017-01-14 00:41:13,still
2017-01-14 21:56:37,in_vehicle
2017-01-14 22:10:45,still
2017-01-14 22:22:39,still
2017-01-15 00:00:00,still
2017-01-15 12:19:34,still
2017-01-15 13:00:13,in_vehicle
2017-01-15 14:27:38,walking
2017-01-15 14:33:59,still
2017-01-15 14:42:30,walking
2017-01-15 14:44:18,still
2017-01-15 14:46:32,in_vehicle
2017-01-15 14:54:22,walking
2017-01-15 15:00:55,still
2017-01-15 15:02:28,in_vehicle
2017-01-15 15:14:16,walking
2017-01-15 15:15:38,still
2017-01-15 16:20:47,still
2017-01-15 17:57:20,walking
2017-01-15 17:59:10,still
2017-01-15 18:00:33,in_vehicle
2017-01-15 18:11:00,still
2017-01-15 20:40:40,still
