date,ActivFit
2016-07-22 00:07:50,still
2016-07-22 00:25:29,in_vehicle
2016-07-22 00:51:22,still
2016-07-22 07:58:42,walking
2016-07-22 08:00:01,in_vehicle
2016-07-22 08:18:15,still
2016-07-22 08:22:39,walking
2016-07-22 08:23:39,walking
2016-07-22 08:25:01,still
2016-07-22 08:30:13,still
2016-07-22 10:59:31,still
2016-07-22 12:21:19,still
2016-07-22 12:35:24,still
2016-07-22 13:04:06,still
2016-07-22 13:09:57,walking
2016-07-22 13:11:00,still
2016-07-22 13:31:10,in_vehicle
2016-07-22 13:34:32,walking
2016-07-22 13:35:32,in_vehicle
2016-07-22 13:38:22,still
2016-10-09 15:11:01,walking
2016-10-09 16:46:56,walking
2016-10-09 17:09:37,walking
2016-10-09 20:47:13,walking
2016-10-13 19:15:00,walking
