date,ActivFit
2016-04-22 07:30:59,walking
2016-04-22 07:34:00,walking
2016-04-22 08:08:00,walking
2016-04-22 08:16:34,walking
2016-04-22 10:14:17,walking
2016-04-22 10:16:01,walking
2016-04-22 10:48:03,walking
2016-04-22 11:10:45,walking
2016-04-22 13:38:48,walking
2016-04-22 14:01:48,walking
2016-04-22 15:50:01,walking
2016-04-22 16:50:01,walking
2016-04-22 17:16:29,walking
2016-04-22 17:43:59,walking
2016-04-22 18:10:24,walking
2016-04-22 18:31:56,walking
2016-04-22 18:45:19,walking
2016-04-22 18:57:00,walking
2016-04-22 19:00:00,walking
2016-04-22 19:05:59,walking
2016-04-22 19:17:38,walking
2016-04-22 20:19:28,walking
2016-04-23 11:14:38,walking
2016-04-23 11:30:18,walking
2016-04-23 12:04:00,walking
2016-04-23 12:30:37,walking
2016-04-23 13:09:57,walking
2016-04-23 13:20:42,walking
2016-04-23 15:10:20,walking
2016-04-23 15:19:01,walking
2016-04-23 15:26:51,walking
2016-04-23 15:36:01,walking
2016-04-23 15:44:01,walking
2016-04-23 15:47:26,walking
2016-04-23 16:55:01,walking
2016-04-23 17:01:00,walking
2016-04-23 17:08:01,walking
2016-04-23 18:25:01,walking
2016-04-23 18:49:01,walking
2016-04-23 21:00:01,walking
2016-04-23 21:15:01,walking
2016-04-23 21:40:47,walking
2016-04-23 21:44:50,walking
2016-04-24 10:50:59,walking
2016-04-24 12:00:31,walking
2016-04-24 12:31:01,walking
2016-04-24 12:37:01,walking
2016-04-24 12:48:01,walking
2016-04-24 12:54:01,walking
2016-04-24 13:28:01,walking
2016-04-24 13:31:00,walking
2016-04-24 13:34:01,walking
2016-04-24 14:00:17,walking
2016-04-24 14:04:30,walking
2016-04-24 14:10:01,walking
2016-04-24 14:13:39,walking
2016-04-24 14:15:43,walking
2016-04-24 14:18:01,walking
2016-04-24 14:24:01,walking
2016-04-24 14:28:01,walking
2016-04-24 14:32:09,walking
2016-04-24 14:39:01,walking
2016-04-24 14:44:01,walking
2016-04-24 14:47:54,walking
2016-04-24 14:52:14,walking
2016-04-24 14:55:43,walking
2016-04-24 15:05:01,walking
2016-04-24 15:12:41,walking
2016-04-24 15:20:57,walking
2016-04-24 15:29:01,walking
2016-04-24 15:46:01,walking
2016-04-24 15:49:55,walking
2016-04-24 15:55:01,walking
2016-04-24 16:05:01,walking
2016-04-24 16:07:46,walking
2016-04-24 16:19:36,walking
2016-04-24 19:55:55,walking
2016-04-24 20:13:59,walking
2016-04-24 20:52:00,walking
2016-04-24 22:12:00,walking
2016-04-24 22:27:00,walking
