date,ActivFit
2016-06-21 00:16:47,still
2016-06-21 01:26:40,in_vehicle
2016-06-21 01:39:54,still
2016-06-21 04:53:20,still
2016-06-21 07:36:26,in_vehicle
2016-06-21 07:50:33,walking
2016-06-21 07:53:23,still
2016-06-21 11:37:00,in_vehicle
2016-06-21 11:50:19,walking
2016-06-21 11:56:05,still
2016-06-21 12:36:39,still
2016-06-21 12:38:30,in_vehicle
2016-06-21 12:47:39,walking
2016-06-21 12:48:47,still
2016-06-21 14:54:25,still
2016-06-21 16:54:13,walking
2016-06-21 16:55:54,in_vehicle
2016-06-21 17:50:55,walking
2016-06-21 17:53:40,still
2016-06-21 19:38:02,in_vehicle
2016-06-21 19:58:14,still
2016-06-21 23:04:24,still
2016-06-22 00:00:00,still
2016-06-22 07:39:06,walking
2016-06-22 07:40:58,in_vehicle
2016-06-22 07:57:12,walking
2016-06-22 07:59:59,still
2016-06-22 09:07:41,walking
2016-06-22 09:09:48,still
2016-06-22 09:21:53,walking
2016-06-22 09:24:34,walking
2016-06-22 09:25:41,still
2016-06-22 10:50:43,walking
2016-06-22 10:51:58,still
2016-06-22 11:38:11,still
2016-06-22 11:39:15,walking
2016-06-22 11:40:18,in_vehicle
2016-06-22 12:00:22,still
2016-06-22 12:14:43,in_vehicle
2016-06-22 12:29:52,walking
2016-06-22 12:32:13,still
2016-06-22 14:38:54,still
2016-06-22 14:50:15,still
2016-06-22 16:22:44,still
2016-06-22 16:43:37,walking
2016-06-22 16:45:39,still
2016-06-22 16:49:31,walking
2016-06-22 16:50:58,still
2016-06-22 17:15:39,in_vehicle
2016-06-23 00:00:00,still
2016-06-23 06:26:35,walking
2016-06-23 07:26:07,still
2016-06-23 07:48:45,walking
2016-06-23 07:50:13,in_vehicle
2016-06-23 08:10:13,still
2016-06-23 08:58:51,walking
2016-06-23 09:02:11,still
2016-06-23 09:57:32,walking
2016-06-23 09:59:23,still
2016-06-23 10:29:33,walking
2016-06-23 10:32:03,still
2016-06-23 12:05:39,walking
2016-06-23 12:21:11,still
2016-06-23 12:45:15,walking
2016-06-23 12:47:15,still
2016-06-23 15:05:41,walking
2016-06-23 15:06:49,still
2016-06-23 15:08:21,walking
2016-06-23 15:09:21,still
2016-06-23 16:30:59,walking
2016-06-23 16:32:10,in_vehicle
2016-06-23 16:52:16,walking
2016-06-23 16:54:00,in_vehicle
2016-06-23 17:11:38,still
2016-06-29 01:26:48,still
2016-06-29 07:30:59,in_vehicle
2016-06-29 07:45:07,walking
2016-06-29 07:47:13,still
2016-06-29 08:40:21,walking
2016-06-29 08:41:24,still
2016-06-29 08:48:44,still
2016-06-29 10:59:09,walking
2016-06-29 11:00:21,still
2016-06-29 11:14:03,running
2016-06-29 11:15:17,still
2016-06-29 11:26:20,walking
2016-06-29 11:28:07,in_vehicle
2016-06-29 11:39:55,walking
2016-06-29 11:47:59,still
2016-06-29 12:06:02,still
2016-06-29 12:10:08,in_vehicle
2016-06-29 12:30:00,walking
2016-06-29 12:32:57,still
2016-06-29 12:57:58,walking
2016-06-29 13:00:15,still
2016-06-29 14:38:32,walking
2016-06-29 14:39:34,still
2016-06-29 14:45:44,walking
2016-06-29 14:46:50,still
2016-06-29 16:45:26,still
2016-06-29 17:00:08,walking
2016-06-29 17:03:19,in_vehicle
2016-06-29 17:22:35,walking
2016-06-29 17:25:58,in_vehicle
2016-06-29 17:42:15,walking
2016-06-29 17:43:38,still
2016-06-29 18:03:50,in_vehicle
2016-06-29 18:11:47,walking
2016-06-29 18:16:23,still
2016-06-29 18:19:00,in_vehicle
2016-06-29 18:35:44,still
2016-06-29 19:42:22,still
