date,ActivFit
2016-03-10 03:41:05,walking
2016-03-11 00:18:48,still
2016-03-11 01:36:25,walking
2016-03-11 01:37:54,still
2016-03-11 02:35:49,still
2016-03-11 03:42:34,walking
2016-03-11 03:43:45,still
2016-03-11 04:51:58,walking
2016-03-11 04:53:07,still
2016-03-11 06:07:50,walking
2016-03-11 15:11:43,walking
2016-03-11 15:12:44,in_vehicle
2016-03-11 15:32:21,still
2016-03-12 00:00:00,still
2016-03-12 05:37:11,in_vehicle
2016-03-12 05:59:45,still
2016-03-15 15:09:42,walking
2016-03-22 16:00:32,walking
2016-03-22 16:34:53,still
2016-03-22 17:18:30,walking
2016-03-22 19:54:38,walking
