date,ActivFit
2016-04-14 00:00:00,still
2016-04-14 07:01:32,still
2016-04-14 07:46:19,walking
2016-04-14 07:55:53,in_vehicle
2016-04-14 08:21:17,walking
2016-04-14 08:23:36,still
2016-04-14 10:28:56,still
2016-04-14 10:49:36,walking
2016-04-14 10:51:12,still
2016-04-14 11:25:30,walking
2016-04-14 11:26:32,in_vehicle
2016-04-14 11:51:47,still
2016-04-14 11:59:15,walking
2016-04-14 12:04:32,in_vehicle
2016-04-14 12:16:52,walking
2016-04-14 12:20:02,still
2016-04-14 12:55:11,walking
2016-04-14 12:58:06,still
2016-04-14 13:00:36,in_vehicle
2016-04-14 13:22:13,walking
2016-04-14 13:24:49,still
2016-04-14 17:04:24,walking
2016-04-14 17:05:33,in_vehicle
2016-04-14 17:25:23,still
2016-04-14 17:36:37,in_vehicle
2016-04-14 17:48:38,still
2016-04-14 18:11:03,still
2016-04-14 18:23:34,still
2016-04-14 18:25:25,weightlifting
2016-04-14 19:05:25,still
2016-04-14 19:25:00,walking
2016-04-14 19:26:24,still
2016-04-14 19:30:02,walking
2016-04-14 19:31:14,still
2016-04-15 00:00:00,still
2016-04-15 00:08:10,still
2016-04-15 06:30:21,walking
2016-04-15 06:31:25,still
2016-04-15 06:37:50,in_vehicle
2016-04-15 06:52:52,still
2016-04-15 07:24:45,in_vehicle
2016-04-15 07:49:17,walking
2016-04-15 07:50:56,still
2016-04-15 07:53:58,walking
2016-04-15 07:55:09,in_vehicle
2016-04-15 08:09:24,walking
2016-04-15 08:11:01,in_vehicle
2016-04-15 08:23:57,walking
2016-04-15 08:26:20,still
2016-04-15 08:42:04,walking
2016-04-15 08:44:17,still
2016-04-15 10:12:54,walking
2016-04-15 10:21:49,still
2016-04-15 11:24:08,walking
2016-04-15 11:25:42,in_vehicle
2016-04-15 12:17:09,still
2016-04-15 12:53:12,still
2016-04-15 15:10:34,in_vehicle
2016-04-15 15:38:31,walking
2016-04-15 15:40:02,still
2016-04-15 17:21:37,in_vehicle
2016-04-15 17:50:50,walking
2016-04-15 17:58:53,in_vehicle
2016-04-15 18:20:04,walking
2016-04-15 18:26:53,still
2016-04-15 20:30:22,walking
2016-04-15 20:32:56,in_vehicle
2016-04-15 20:58:19,still
2016-04-15 21:20:40,walking
2016-04-15 21:22:14,still
2016-04-15 21:44:18,still
2016-04-15 22:36:50,walking
2016-04-15 22:38:22,still
2016-04-16 00:00:00,still
2016-04-16 07:47:11,still
2016-04-16 09:50:42,still
2016-04-16 10:05:43,still
2016-04-16 10:13:57,elliptical
2016-04-16 10:59:06,still
2016-04-16 12:36:46,still
2016-04-16 18:04:31,walking
2016-04-16 18:05:33,still
2016-04-16 22:19:59,walking
2016-04-16 22:21:34,still
2016-04-17 00:00:00,still
2016-04-17 00:54:27,still
2016-04-17 08:07:10,still
2016-04-17 09:07:25,elliptical
2016-04-17 09:52:39,still
2016-04-17 09:54:26,still
2016-04-17 12:34:39,walking
2016-04-17 12:39:35,in_vehicle
2016-04-17 12:56:08,still
2016-04-17 12:57:34,walking
2016-04-17 13:00:16,still
2016-04-17 13:06:24,walking
2016-04-17 13:08:47,still
2016-04-17 14:51:23,walking
2016-04-17 14:53:53,in_vehicle
2016-04-17 15:15:11,walking
2016-04-17 15:18:40,still
2016-04-17 16:12:40,still
2016-04-17 16:14:17,walking
2016-04-17 16:15:36,still
2016-04-17 17:00:34,weightlifting
2016-04-17 17:30:34,still
2016-04-17 21:53:20,still
2016-04-17 23:32:14,walking
2016-04-17 23:34:11,still
2016-04-18 00:00:00,still
2016-04-18 07:45:12,walking
2016-04-18 07:55:35,in_vehicle
2016-04-18 08:10:17,walking
2016-04-18 08:12:56,in_vehicle
2016-04-18 08:26:48,walking
2016-04-18 08:29:00,still
2016-04-18 11:08:23,still
2016-04-18 11:51:39,walking
2016-04-18 11:54:35,in_vehicle
2016-04-18 12:02:30,still
2016-04-18 16:47:43,in_vehicle
2016-04-18 17:13:25,walking
2016-04-18 17:15:11,still
2016-04-18 17:50:33,weightlifting
2016-04-18 18:30:33,still
2016-04-18 18:43:37,still
2016-04-18 20:06:09,walking
2016-04-18 20:07:46,still
2016-04-18 21:18:38,still
2016-04-19 00:00:00,still
2016-04-19 07:17:02,still
2016-04-19 07:49:14,walking
2016-04-19 07:52:04,still
2016-04-19 07:55:16,in_vehicle
2016-04-19 08:08:54,walking
2016-04-19 08:10:21,in_vehicle
2016-04-19 08:23:44,walking
2016-04-19 08:27:24,still
2016-04-19 09:52:00,still
2016-04-19 09:55:09,walking
2016-04-19 09:56:41,still
2016-04-19 11:08:37,walking
2016-04-19 11:10:20,still
2016-04-19 11:16:21,walking
2016-04-19 11:18:01,still
2016-04-19 11:44:14,walking
2016-04-19 11:50:38,still
2016-04-19 11:55:02,walking
2016-04-19 11:58:25,still
2016-04-19 14:45:37,still
