date,ActivFit
2016-10-09 10:13:25,walking
2016-10-09 10:20:58,walking
2016-10-09 10:33:08,walking
2016-10-09 10:37:19,walking
2016-10-09 11:01:46,walking
2016-10-09 11:05:48,walking
2016-10-10 07:43:19,walking
2016-10-10 15:50:33,walking
2016-10-10 16:07:12,walking
2016-10-10 16:15:03,walking
2016-10-10 19:04:51,walking
2016-10-10 19:26:00,walking
2016-10-11 07:49:39,walking
2016-10-11 08:06:56,walking
2016-10-11 17:46:14,walking
2016-10-11 18:00:21,walking
2016-10-13 07:35:54,walking
2016-10-13 17:57:26,walking
2016-10-15 09:13:46,walking
2016-10-15 11:40:20,walking
2016-10-15 11:53:42,walking
2016-10-15 12:09:17,walking
2016-10-15 12:20:34,walking
2016-10-15 12:23:30,walking
2016-10-16 16:02:31,walking
2016-10-16 16:47:19,walking
2016-10-16 17:13:28,walking
2016-10-18 07:42:41,walking
2016-10-18 07:45:02,walking
2016-10-18 15:31:00,walking
2016-10-18 18:45:12,walking
2016-10-18 18:58:25,walking
2016-10-19 08:14:00,walking
2016-10-19 17:26:23,walking
2016-10-19 17:40:01,walking
2016-10-19 17:47:44,walking
2016-10-20 08:10:07,walking
2016-10-20 17:34:51,walking
2016-10-20 17:48:02,walking
2016-10-20 20:25:35,walking
2016-10-20 20:34:26,walking
2016-10-20 20:53:01,walking
2016-10-21 08:16:45,walking
2016-10-21 12:43:43,walking
2016-10-21 13:01:14,walking
2016-10-21 13:07:19,walking
2016-10-21 13:09:33,walking
2016-10-22 12:16:35,walking
2016-10-22 12:24:34,walking
2016-10-22 12:27:20,walking
2016-10-22 12:30:06,walking
2016-10-22 12:40:03,walking
2016-10-22 16:37:05,walking
2016-10-22 18:22:59,walking
2016-10-22 18:57:17,walking
2016-10-22 20:46:38,walking
2016-10-23 09:45:05,walking
2016-10-23 09:50:13,walking
2016-10-23 11:23:34,walking
2016-10-23 11:45:06,walking
2016-10-23 11:49:53,walking
2016-10-23 16:19:51,walking
2016-10-25 17:50:07,walking
2016-10-25 19:16:19,walking
2016-10-26 15:08:51,walking
2016-10-26 15:19:01,walking
2016-10-26 18:27:44,walking
2016-10-26 19:00:27,walking
2016-10-27 10:16:14,walking
2016-10-27 10:32:14,walking
2016-10-27 10:35:05,walking
2016-10-27 15:54:48,walking
2016-10-27 16:21:39,walking
2016-10-27 16:24:50,walking
2016-10-31 07:53:20,walking
2016-10-31 08:16:22,walking
2016-10-31 17:36:17,walking
2016-10-31 17:58:11,walking
2016-11-01 08:03:07,walking
2016-11-01 08:12:20,walking
2016-11-01 08:35:05,walking
2016-11-01 16:50:42,walking
2016-11-01 16:57:14,walking
2016-11-02 07:37:08,walking
2016-11-02 07:46:12,walking
2016-11-02 08:16:57,walking
2016-11-02 15:05:41,walking
2016-11-02 15:29:33,walking
2016-11-02 16:11:20,walking
2016-11-02 16:17:43,walking
2016-11-03 08:01:24,walking
2016-11-03 08:03:16,walking
2016-11-03 08:09:16,walking
2016-11-03 08:37:45,walking
2016-11-03 13:27:22,walking
2016-11-03 17:51:58,walking
2016-11-06 10:36:33,walking
2016-11-06 11:00:44,walking
2016-11-06 11:14:43,walking
2016-11-06 14:12:41,walking
2016-11-06 14:16:57,walking
2016-11-06 14:44:12,walking
2016-11-06 15:43:26,walking
2016-11-07 15:28:46,walking
2016-11-07 15:42:32,walking
2016-11-07 16:08:17,walking
2016-11-07 16:16:50,walking
2016-11-10 18:14:15,walking
2016-11-10 18:33:20,walking
2016-11-11 07:47:39,walking
2016-11-11 08:26:33,walking
2016-11-11 17:52:16,walking
2016-11-11 17:54:55,walking
2016-11-11 18:34:17,walking
2016-11-11 19:14:49,walking
2016-11-12 14:46:20,walking
2016-11-12 17:04:24,walking
2016-11-13 10:17:30,walking
2016-11-13 12:18:25,walking
2016-11-13 19:04:13,walking
2016-11-14 08:18:01,walking
2016-11-14 08:19:33,walking
2016-11-14 15:34:04,walking
2016-11-14 16:14:07,walking
2016-11-14 16:21:53,walking
2016-11-16 17:28:57,walking
2016-11-16 17:43:54,walking
2016-11-17 08:13:33,walking
2016-11-17 08:42:39,walking
2016-11-17 17:46:35,walking
2016-11-17 18:02:04,walking
2016-11-18 15:49:43,walking
2016-11-18 16:03:32,walking
2016-11-18 16:12:43,walking
2016-11-18 16:23:41,walking
2016-11-22 17:27:44,walking
2016-11-22 17:54:47,walking
2016-11-22 17:58:34,walking
2016-11-23 08:28:36,walking
2016-11-23 08:55:38,walking
2016-11-23 13:31:42,walking
2016-11-23 13:39:34,walking
2016-11-23 17:16:18,walking
2016-11-23 17:50:39,walking
2016-11-24 07:54:59,walking
2016-11-24 08:04:12,walking
2016-11-24 08:35:50,walking
2016-11-24 15:16:10,walking
2016-11-24 16:04:44,walking
2016-11-24 16:14:31,walking
2016-11-24 18:49:39,walking
2016-11-26 10:21:52,walking
2016-11-26 10:24:52,walking
2016-11-26 10:29:09,walking
2016-11-26 10:31:49,walking
2016-11-26 12:48:13,walking
2016-11-26 16:39:33,walking
2016-11-28 07:54:06,walking
2016-11-28 17:21:58,walking
2016-11-29 08:06:22,walking
2016-11-29 08:09:24,walking
2016-11-29 08:35:26,walking
2016-11-29 15:57:42,walking
2016-11-30 08:09:01,walking
2016-11-30 08:13:45,walking
2016-11-30 08:36:30,walking
2016-11-30 17:30:24,walking
2016-11-30 18:00:11,walking
2016-12-02 07:43:49,walking
2016-12-02 07:50:52,walking
2016-12-02 08:16:46,walking
2016-12-02 15:38:12,walking
2016-12-02 15:43:58,walking
2016-12-02 15:47:02,walking
2016-12-02 15:49:36,walking
2016-12-02 16:11:49,walking
2016-12-07 07:38:43,walking
2016-12-07 08:20:07,walking
2016-12-07 08:57:35,walking
2016-12-07 09:00:54,walking
