date,ActivFit
2016-08-17 00:00:00,still
2016-08-17 06:58:56,walking
2016-08-17 07:01:18,in_vehicle
2016-08-17 07:08:50,walking
2016-08-17 07:10:26,still
2016-08-17 07:13:21,walking
2016-08-17 07:16:07,still
2016-08-17 07:17:55,walking
2016-08-17 07:22:17,still
2016-08-17 08:05:28,walking
2016-08-17 08:07:36,still
2016-08-17 08:12:19,walking
2016-08-17 08:14:04,still
2016-08-17 09:53:07,walking
2016-08-17 10:01:42,still
2016-08-17 11:25:45,walking
2016-08-17 11:29:02,in_vehicle
2016-08-17 11:40:19,still
2016-08-17 11:48:04,in_vehicle
2016-08-17 12:23:14,walking
2016-08-17 12:25:01,still
2016-08-17 13:21:50,still
2016-08-17 13:28:38,walking
2016-08-17 13:30:56,still
2016-08-17 14:43:27,walking
2016-08-17 14:50:09,walking
2016-08-17 14:53:27,still
2016-08-17 15:49:08,walking
2016-08-17 15:52:12,in_vehicle
2016-08-17 16:02:44,still
2016-08-17 16:34:25,in_vehicle
2016-08-17 16:47:55,still
2016-08-17 17:21:19,in_vehicle
2016-08-17 17:36:02,still
2016-08-17 19:01:06,in_vehicle
2016-08-17 19:28:10,still
