date,ActivFit
2015-12-26 13:59:12,walking
2015-12-26 14:32:13,walking
2015-12-26 14:39:31,walking
2015-12-27 09:17:38,walking
2015-12-27 13:41:55,walking
2015-12-27 15:00:46,walking
2015-12-27 15:09:27,walking
2016-01-02 14:47:05,walking
2016-01-02 14:55:26,walking
2016-01-02 15:01:00,walking
2016-01-02 15:10:24,walking
2016-01-02 15:13:49,walking
2016-01-02 18:40:13,walking
2016-01-02 18:54:27,walking
2016-01-03 13:39:04,walking
2016-01-03 13:42:00,walking
2016-01-03 13:50:45,walking
2016-01-03 13:55:25,walking
2016-01-03 14:11:48,walking
2016-01-03 14:22:38,walking
2016-01-03 15:13:54,walking
2016-01-03 15:21:25,walking
2016-01-03 15:36:16,walking
2016-01-03 15:39:05,walking
2016-01-03 16:05:44,walking
2016-01-03 16:47:09,walking
2016-01-03 16:54:52,walking
2016-01-03 18:18:54,walking
2016-01-03 19:27:17,walking
2016-01-03 19:34:32,walking
2016-01-03 20:38:29,walking
2016-01-03 22:21:36,walking
2016-01-03 22:22:54,walking
2016-01-04 06:39:04,walking
2016-01-04 06:42:00,walking
2016-01-04 06:50:45,walking
2016-01-04 06:55:25,walking
2016-01-04 07:11:48,walking
2016-01-04 07:22:38,walking
2016-01-04 08:13:54,walking
2016-01-04 08:21:25,walking
2016-01-04 08:36:16,walking
2016-01-04 08:39:05,walking
2016-01-04 09:05:44,walking
2016-01-04 09:47:09,walking
2016-01-04 09:54:52,walking
2016-01-04 11:18:54,walking
2016-01-04 12:27:17,walking
2016-01-04 12:34:32,walking
2016-01-04 13:38:29,walking
2016-01-04 15:21:36,walking
2016-01-04 15:22:54,walking
2016-01-04 17:24:56,walking
2016-01-06 07:41:00,walking
2016-01-06 07:45:05,walking
2016-01-06 07:48:34,walking
2016-01-06 07:55:33,walking
2016-01-06 09:04:01,walking
2016-01-06 09:16:16,walking
2016-01-06 09:30:59,walking
2016-01-06 09:46:01,walking
2016-01-06 09:49:56,walking
2016-01-06 09:52:02,walking
2016-01-06 10:00:38,walking
2016-01-06 12:44:30,walking
2016-01-06 12:46:57,walking
2016-01-06 16:30:59,walking
2016-01-07 08:37:01,walking
2016-01-07 16:43:28,walking
2016-01-07 17:03:48,walking
2016-01-08 08:13:15,walking
2016-01-08 08:41:52,walking
2016-01-08 11:31:36,walking
2016-01-08 12:54:23,walking
2016-01-08 12:58:16,walking
2016-01-08 13:22:58,walking
2016-01-08 13:26:00,walking
2016-01-08 13:44:42,walking
2016-01-08 13:45:47,walking
2016-01-08 13:50:58,walking
2016-01-08 13:56:04,walking
2016-01-08 19:42:41,walking
2016-01-08 19:44:36,walking
2016-01-09 06:32:41,walking
2016-01-09 06:39:41,walking
2016-01-09 06:58:41,walking
2016-01-09 08:38:04,walking
2016-01-09 12:06:39,walking
2016-01-09 12:46:36,walking
2016-01-09 12:56:23,walking
2016-01-09 12:57:26,walking
2016-01-09 13:04:20,walking
2016-01-09 13:06:29,walking
2016-01-09 13:12:26,walking
2016-01-09 13:13:29,walking
2016-01-09 13:14:37,walking
2016-01-09 13:24:40,walking
2016-01-09 13:28:26,walking
2016-01-09 13:32:57,walking
2016-01-09 13:38:38,walking
2016-01-09 13:40:05,walking
2016-01-09 13:53:42,walking
2016-01-09 14:05:27,walking
2016-01-10 16:02:32,running
2016-01-10 16:33:30,walking
2016-01-10 17:30:46,walking
2016-01-13 08:12:00,walking
2016-01-13 08:15:11,walking
2016-01-13 08:16:47,walking
2016-01-13 08:19:29,walking
2016-01-13 08:26:15,running
2016-01-13 08:44:09,walking
2016-01-13 08:49:38,walking
2016-01-13 08:52:40,walking
2016-01-13 08:59:55,walking
2016-01-13 09:20:45,walking
2016-01-13 10:44:50,walking
2016-01-13 12:03:06,walking
2016-01-13 13:54:41,walking
2016-01-13 15:41:35,walking
