date,ActivFit
2016-05-04 00:00:00,still
2016-05-04 07:09:46,walking
2016-05-04 07:17:21,in_vehicle
2016-05-04 07:32:09,walking
2016-05-04 07:41:16,still
2016-05-04 07:53:02,walking
2016-05-04 07:54:03,still
2016-05-04 08:05:50,walking
2016-05-04 08:08:47,still
2016-05-04 08:32:56,still
2016-05-04 09:00:26,walking
2016-05-04 09:02:26,still
2016-05-04 09:58:34,still
2016-05-04 10:57:24,walking
2016-05-04 10:58:59,still
2016-05-04 12:49:35,walking
2016-05-04 12:51:37,still
2016-05-04 13:01:17,walking
2016-05-04 13:04:09,still
2016-05-04 14:03:11,still
2016-05-04 14:28:08,walking
2016-05-04 14:32:56,still
2016-05-04 15:28:45,walking
2016-05-04 15:31:09,walking
2016-05-04 15:40:20,in_vehicle
2016-05-04 15:57:48,walking
2016-05-04 16:00:21,still
2016-05-04 16:05:28,in_vehicle
2016-05-04 16:24:53,still
2016-05-04 17:57:33,in_vehicle
2016-05-05 00:00:06,still
2016-05-05 00:01:33,still
2016-05-05 00:40:56,still
2016-05-05 06:53:05,walking
2016-05-05 06:54:48,in_vehicle
2016-05-05 07:09:15,walking
2016-05-05 07:19:46,still
2016-05-05 07:32:37,still
2016-05-05 07:54:26,walking
2016-05-05 07:57:27,still
2016-05-05 08:58:28,walking
2016-05-05 09:03:07,still
2016-05-05 09:24:16,walking
2016-05-05 09:25:47,still
2016-05-05 09:37:06,walking
2016-05-05 09:38:16,still
2016-05-05 10:07:14,walking
2016-05-05 10:08:44,still
2016-05-05 10:54:35,walking
2016-05-05 10:55:36,still
2016-05-05 13:45:30,walking
2016-05-05 13:46:31,still
2016-05-05 14:00:43,walking
2016-05-05 14:02:44,still
2016-05-05 15:18:57,walking
2016-05-05 15:24:08,still
2016-05-05 15:37:29,walking
2016-05-05 15:46:09,in_vehicle
2016-05-05 16:04:44,still
2016-05-05 16:07:53,still
2016-05-06 00:00:00,still
2016-05-06 01:17:50,walking
2016-05-06 01:18:53,still
2016-05-06 01:43:17,still
2016-05-06 13:52:06,walking
2016-05-06 13:53:35,still
2016-05-06 13:56:17,in_vehicle
2016-05-06 14:21:06,walking
2016-05-06 14:22:32,in_vehicle
2016-05-06 14:29:17,still
