date,ActivFit
2016-11-14 00:00:00,still
2016-11-14 11:10:41,walking
2016-11-14 11:19:56,in_vehicle
2016-11-14 11:40:30,still
2016-11-14 12:25:15,still
2016-11-14 21:01:44,still
2016-11-15 00:00:00,still
2016-11-15 07:59:44,in_vehicle
2016-11-15 08:18:15,still
2016-11-15 09:10:50,in_vehicle
2016-11-15 10:04:45,still
2016-11-15 11:01:07,still
2016-11-15 14:05:01,walking
2016-11-15 14:14:33,walking
2016-11-15 14:15:34,in_vehicle
2016-11-15 14:26:42,still
2016-11-15 14:46:49,still
2016-11-15 19:38:26,still
2016-11-16 00:00:00,still
2016-11-16 09:42:47,in_vehicle
2016-11-16 09:48:56,still
2016-11-16 10:44:31,still
2016-11-16 10:45:31,in_vehicle
2016-11-16 11:06:05,still
2016-11-16 21:38:59,still
2016-11-17 00:00:00,still
2016-11-17 08:13:38,in_vehicle
2016-11-17 08:50:30,still
2016-11-17 09:24:05,walking
2016-11-17 09:25:27,in_vehicle
2016-11-17 10:35:43,walking
2016-11-17 10:37:05,in_vehicle
2016-11-17 11:21:21,walking
2016-11-17 11:22:36,in_vehicle
2016-11-17 12:26:47,still
2016-11-17 12:50:13,still
2016-11-17 12:59:41,walking
2016-11-17 13:03:00,still
2016-11-17 15:03:57,walking
2016-11-17 15:06:32,still
2016-11-17 17:03:23,walking
2016-11-17 17:05:01,still
2016-11-17 17:14:12,walking
2016-11-17 17:16:01,still
2016-11-18 00:00:00,still
2016-11-18 07:57:01,walking
2016-11-18 07:58:34,still
2016-11-18 08:00:18,in_vehicle
2016-11-18 08:27:54,still
2016-11-18 08:57:08,in_vehicle
2016-11-18 09:02:04,walking
2016-11-18 09:03:38,in_vehicle
2016-11-18 09:29:18,walking
2016-11-18 09:33:35,still
2016-11-18 10:14:45,biking
2016-11-18 11:40:36,still
2016-11-18 19:36:05,still
2016-11-19 00:00:00,still
2016-11-19 21:55:03,still
2016-11-20 00:00:00,still
2016-11-20 10:41:36,in_vehicle
2016-11-20 10:45:39,still
2016-11-20 11:09:20,still
2016-11-20 19:45:58,still
2016-11-21 00:00:00,still
2016-11-21 11:10:57,walking
2016-11-21 11:12:01,still
2016-11-21 11:14:33,walking
2016-11-21 11:20:29,still
2016-11-21 11:41:33,walking
2016-11-21 11:43:01,still
2016-11-21 12:11:51,walking
2016-11-21 12:13:24,still
2016-11-21 15:26:08,walking
2016-11-21 15:27:11,still
2016-11-21 23:24:50,still
2016-11-22 00:00:00,still
2016-11-22 08:30:38,in_vehicle
2016-11-22 08:44:02,still
2016-11-22 10:00:02,in_vehicle
2016-11-22 10:16:31,still
2016-11-22 14:59:06,walking
2016-11-22 15:05:51,still
2016-11-22 20:39:44,still
2016-11-23 00:00:00,still
2016-11-23 10:04:02,in_vehicle
2016-11-23 10:20:40,still
2016-11-23 11:20:48,in_vehicle
2016-11-23 11:54:15,still
2016-11-23 12:33:24,walking
2016-11-23 12:35:49,still
2016-11-23 13:53:06,still
2016-11-23 22:22:19,still
2016-11-24 00:00:00,still
2016-11-25 00:00:00,still
2016-11-25 08:10:30,in_vehicle
2016-11-25 08:32:01,still
2016-11-25 09:13:40,in_vehicle
2016-11-25 09:37:05,still
2016-11-25 09:47:51,still
2016-11-25 11:00:08,in_vehicle
2016-11-25 11:07:59,still
2016-11-25 19:08:39,still
2016-11-26 00:00:00,still
2016-11-28 00:00:00,still
2016-11-28 17:57:51,still
2016-11-29 00:00:00,still
2016-11-29 07:52:14,in_vehicle
2016-11-29 09:07:40,still
2016-11-29 10:33:40,in_vehicle
2016-11-29 10:54:24,still
2016-11-29 11:39:17,in_vehicle
2016-11-29 12:29:14,still
2016-11-29 14:13:24,still
2016-11-29 19:19:30,still
2016-12-01 00:00:00,still
2016-12-01 07:26:57,in_vehicle
2016-12-01 12:31:56,still
2016-12-01 15:18:38,still
2016-12-01 21:09:30,still
2016-12-03 00:00:00,still
2016-12-03 08:18:20,walking
2016-12-03 08:25:30,still
2016-12-03 10:03:16,in_vehicle
2016-12-03 10:28:23,still
2016-12-03 11:13:54,walking
2016-12-03 11:23:09,still
2016-12-03 19:13:14,still
2016-12-04 00:00:00,still
2016-12-04 21:45:07,still
2016-12-05 00:00:00,still
2016-12-05 12:04:50,walking
2016-12-05 12:11:49,still
2016-12-05 21:41:43,still
2016-12-08 00:00:00,still
2016-12-08 07:44:55,in_vehicle
2016-12-08 08:20:32,still
2016-12-08 09:57:19,in_vehicle
2016-12-08 10:10:16,still
2016-12-08 11:35:12,still
2016-12-08 12:46:53,in_vehicle
2016-12-08 14:26:17,still
2016-12-08 22:17:35,still
2016-12-09 00:00:00,still
2016-12-09 08:08:21,in_vehicle
2016-12-09 08:17:46,still
2016-12-09 09:12:14,in_vehicle
2016-12-09 09:49:41,still
2016-12-09 10:47:59,in_vehicle
2016-12-09 11:16:17,still
2016-12-09 11:55:07,in_vehicle
2016-12-09 12:09:17,walking
2016-12-09 12:16:18,still
2016-12-09 13:26:30,in_vehicle
2016-12-09 14:01:51,still
2016-12-09 15:04:08,in_vehicle
2016-12-09 16:02:46,still
2016-12-09 21:41:19,still
2016-12-10 00:00:00,still
2016-12-10 10:24:54,in_vehicle
2016-12-10 11:13:58,still
2016-12-10 11:33:47,walking
2016-12-10 11:41:08,still
2016-12-10 16:00:50,still
2016-12-10 22:05:01,still
2016-12-13 00:00:00,still
