date,ActivFit
2017-02-04 00:00:00,still
2017-02-04 00:02:39,walking
2017-02-04 00:05:43,still
2017-02-04 00:16:16,walking
2017-02-04 00:19:51,still
2017-02-04 00:38:39,walking
2017-02-04 00:41:05,still
2017-02-04 01:14:26,walking
2017-02-04 01:17:27,still
2017-02-04 01:37:52,walking
2017-02-04 01:45:34,still
2017-02-04 02:02:49,walking
2017-02-04 02:07:41,still
2017-02-04 02:39:45,walking
2017-02-04 02:42:51,still
2017-02-04 03:40:39,walking
2017-02-04 03:47:45,still
2017-02-04 03:52:28,walking
2017-02-04 03:54:31,still
2017-02-04 04:08:45,walking
2017-02-04 04:10:18,still
2017-02-04 04:19:18,walking
2017-02-04 04:20:39,still
2017-02-04 04:28:55,walking
2017-02-04 04:32:37,still
2017-02-04 04:34:42,walking
2017-02-04 04:40:52,in_vehicle
2017-02-04 05:04:55,still
2017-02-04 10:30:13,walking
2017-02-04 10:31:13,still
2017-02-04 13:38:03,walking
2017-02-04 13:40:25,still
2017-02-04 13:47:08,still
2017-02-04 15:12:45,walking
2017-02-04 15:16:51,still
2017-02-04 17:15:08,still
2017-02-05 00:00:00,still
2017-02-05 11:11:11,walking
2017-02-05 11:12:17,still
2017-02-05 12:22:13,still
2017-02-05 12:28:10,walking
2017-02-05 12:29:39,walking
2017-02-05 12:30:41,in_vehicle
2017-02-05 12:37:30,walking
2017-02-05 12:39:11,walking
2017-02-05 12:40:16,still
2017-02-05 12:43:12,walking
2017-02-05 12:50:46,still
2017-02-05 12:54:47,walking
2017-02-05 12:56:12,still
2017-02-05 17:44:46,walking
2017-02-05 17:46:24,still
2017-02-05 20:24:47,still
