date,ActivFit
2016-03-14 06:00:49,sleep
2016-03-14 08:09:54,sleep
2016-03-14 08:39:53,sleep
2016-03-14 09:08:13,still
2016-03-14 09:12:01,still
2016-03-14 09:51:59,walking
2016-03-14 09:53:57,in_vehicle
2016-03-14 10:20:44,still
2016-03-14 11:16:38,walking
2016-03-14 11:17:53,still
2016-03-14 14:43:45,walking
2016-03-14 14:48:57,in_vehicle
2016-03-14 15:03:04,in_vehicle
2016-03-14 15:22:25,walking
2016-03-14 15:25:05,in_vehicle
2016-03-14 16:09:45,still
2016-03-14 17:34:07,walking
2016-03-14 17:35:24,still
2016-03-14 17:51:05,walking
2016-03-14 17:56:26,walking
2016-03-14 18:05:43,still
2016-03-14 18:22:31,walking
2016-03-14 18:23:59,still
2016-03-14 18:28:20,walking
2016-03-14 18:31:15,in_vehicle
2016-03-14 18:58:59,still
2016-03-14 19:21:32,walking
2016-03-14 19:22:34,still
2016-03-14 20:23:01,walking
2016-03-14 20:25:18,walking
2016-03-14 20:36:01,walking
2016-03-14 20:39:14,walking
2016-03-14 20:41:30,still
2016-03-14 21:01:22,in_vehicle
2016-03-14 21:13:36,in_vehicle
2016-03-14 21:17:10,still
2016-03-14 22:49:43,still
2016-03-14 23:09:32,still
2016-03-14 23:33:01,walking
2016-03-14 23:34:28,walking
2016-03-14 23:36:19,in_vehicle
2016-03-15 00:00:19,walking
2016-03-15 00:02:27,still
2016-03-15 06:11:19,still
2016-03-15 06:15:19,sleep
2016-03-15 08:25:43,still
2016-03-15 09:22:22,still
2016-03-15 09:47:13,in_vehicle
2016-03-15 10:19:42,walking
2016-03-15 10:21:20,walking
2016-03-15 10:23:18,still
2016-03-15 10:29:53,walking
2016-03-15 10:31:20,still
2016-03-15 10:52:35,walking
2016-03-15 10:53:45,still
2016-03-15 10:56:34,walking
2016-03-15 10:57:37,still
2016-03-15 11:27:27,walking
2016-03-15 11:29:00,still
2016-03-15 11:37:41,walking
2016-03-15 11:38:52,still
2016-03-15 12:10:53,in_vehicle
2016-03-15 12:15:45,walking
2016-03-15 12:17:21,in_vehicle
2016-03-15 12:26:20,walking
2016-03-15 12:27:22,in_vehicle
2016-03-15 12:38:31,in_vehicle
2016-03-15 13:13:38,in_vehicle
2016-03-15 14:09:31,in_vehicle
2016-03-15 14:11:47,walking
2016-03-15 14:13:19,in_vehicle
2016-03-15 14:18:57,walking
2016-03-15 14:21:13,still
2016-03-15 14:43:50,walking
2016-03-15 14:45:29,still
2016-03-15 14:47:20,in_vehicle
2016-03-15 15:16:26,still
2016-03-15 15:21:57,walking
2016-03-15 15:33:44,still
2016-03-15 15:39:04,walking
2016-03-15 15:46:31,still
2016-03-15 15:48:57,walking
2016-03-15 15:55:12,walking
2016-03-15 16:05:54,in_vehicle
2016-03-15 16:11:05,walking
2016-03-15 16:14:09,walking
2016-03-15 16:18:45,in_vehicle
2016-03-15 16:33:33,still
2016-03-15 16:56:16,walking
2016-03-15 16:57:49,still
2016-03-15 18:16:12,walking
2016-03-15 18:22:09,still
2016-03-15 19:07:51,still
2016-03-15 20:37:33,walking
2016-03-15 20:38:56,still
2016-03-15 20:40:40,walking
2016-03-15 20:52:30,still
2016-03-15 22:28:31,walking
2016-03-15 22:55:40,still
2016-03-15 23:00:28,still
2016-03-15 23:03:38,walking
2016-03-15 23:04:40,still
2016-03-15 23:19:05,walking
2016-03-15 23:23:55,still
