date,ActivFit
2016-04-24 00:00:00,walking
2016-04-24 00:25:10,still
2016-04-24 08:27:44,in_vehicle
2016-04-24 08:28:46,still
2016-04-24 08:46:04,still
2016-04-24 08:56:24,walking
2016-04-24 09:02:23,still
2016-04-24 09:05:41,walking
2016-04-24 09:08:54,still
2016-04-24 09:20:25,walking
2016-04-24 09:27:11,still
2016-04-24 09:39:28,still
2016-04-24 09:48:08,in_vehicle
2016-04-24 11:34:32,still
2016-04-24 11:49:13,in_vehicle
2016-04-24 15:08:53,walking
2016-04-24 15:09:59,in_vehicle
2016-04-24 15:12:16,walking
2016-04-24 15:13:34,in_vehicle
2016-04-24 18:46:08,walking
2016-04-24 18:56:29,still
2016-04-24 19:00:32,walking
2016-04-24 19:04:25,still
2016-04-24 19:16:24,in_vehicle
2016-04-24 19:41:24,in_vehicle
2016-04-24 20:24:22,still
2016-04-24 22:35:44,still
2016-04-24 23:32:10,still
2016-04-25 00:00:00,still
2016-04-25 05:49:35,still
2016-04-25 07:01:38,walking
2016-04-25 07:08:35,still
2016-04-25 07:36:10,in_vehicle
2016-04-25 07:53:44,still
2016-04-25 08:01:57,in_vehicle
2016-04-25 08:07:58,still
2016-04-25 08:30:28,in_vehicle
2016-04-25 09:36:31,walking
2016-04-25 09:40:32,still
2016-04-25 10:23:28,walking
2016-04-25 10:27:51,still
2016-04-25 10:41:59,walking
2016-04-25 10:54:02,still
2016-04-25 11:07:12,walking
2016-04-25 11:08:44,still
2016-04-25 11:36:24,walking
2016-04-25 11:42:24,still
2016-04-25 11:47:11,walking
2016-04-25 11:52:29,still
2016-04-25 12:07:43,still
2016-04-25 12:29:46,walking
2016-04-25 12:37:55,still
2016-04-25 12:45:33,walking
2016-04-25 12:54:25,still
2016-04-25 13:12:20,still
2016-04-25 13:25:57,walking
2016-04-25 13:30:05,still
2016-04-25 13:43:22,in_vehicle
2016-04-25 14:01:56,still
2016-04-25 14:03:40,walking
2016-04-25 14:06:16,still
2016-04-25 14:42:50,walking
2016-04-25 14:44:24,still
2016-04-25 15:06:09,walking
2016-04-25 15:07:28,still
2016-04-25 15:10:00,walking
2016-04-25 15:15:09,still
2016-04-25 15:51:10,walking
2016-04-25 15:54:49,still
2016-04-25 16:25:53,walking
2016-04-25 16:29:09,still
2016-04-25 17:08:07,walking
2016-04-25 17:10:34,in_vehicle
2016-04-25 18:29:47,walking
2016-04-25 18:34:14,in_vehicle
2016-04-25 18:53:36,walking
2016-04-25 19:04:39,in_vehicle
2016-04-25 19:54:22,still
2016-04-25 22:07:05,still
2016-04-26 07:11:12,still
2016-04-26 07:40:21,in_vehicle
2016-04-26 08:16:25,walking
2016-04-26 08:19:06,still
2016-04-26 08:44:19,still
2016-04-26 11:43:57,still
2016-04-26 11:57:30,walking
2016-04-26 11:59:18,still
2016-04-26 13:35:18,walking
2016-04-26 13:40:05,still
2016-04-26 13:48:47,walking
2016-04-26 13:50:01,still
2016-04-26 15:16:18,walking
2016-04-26 15:17:51,still
2016-04-26 16:39:46,walking
2016-04-26 16:41:06,still
2016-04-26 17:00:35,still
2016-04-26 17:02:27,in_vehicle
2016-04-26 17:34:22,walking
2016-04-26 17:38:52,walking
2016-04-26 17:40:05,walking
2016-04-26 17:47:51,walking
2016-04-26 17:53:03,in_vehicle
2016-04-26 18:05:04,still
2016-04-26 21:41:50,still
2016-04-26 23:05:10,walking
2016-04-26 23:07:29,still
2016-04-27 05:51:42,still
2016-04-27 06:48:08,in_vehicle
2016-04-27 06:57:58,walking
2016-04-27 07:09:50,walking
2016-04-27 07:11:16,in_vehicle
2016-04-27 07:56:56,walking
2016-04-27 08:00:47,still
2016-04-27 08:34:59,walking
2016-04-27 08:41:00,walking
2016-04-27 08:42:39,still
2016-04-27 08:53:47,still
2016-04-27 09:08:44,still
2016-04-27 09:16:37,walking
2016-04-27 09:20:26,still
2016-04-27 09:34:55,walking
2016-04-27 09:38:03,still
2016-04-27 09:51:52,walking
2016-04-27 09:53:27,still
