date,ActivFit
2016-06-16 08:12:05,in_vehicle
2016-06-16 08:17:36,walking
2016-06-16 08:21:00,still
2016-06-16 09:47:00,walking
2016-06-16 09:48:14,still
2016-06-16 10:55:59,walking
2016-06-16 10:57:00,still
2016-06-16 13:39:19,still
2016-06-16 13:54:33,walking
2016-06-16 13:55:34,still
2016-06-16 16:40:23,still
2016-06-16 17:35:30,walking
2016-06-16 17:38:54,in_vehicle
2016-06-16 18:03:47,walking
2016-06-16 18:04:57,still
2016-06-16 18:28:02,walking
2016-06-16 18:30:00,still
2016-06-17 00:00:00,still
2016-06-17 07:33:59,walking
2016-06-17 07:36:59,still
2016-06-17 07:45:57,in_vehicle
2016-06-17 08:27:24,walking
2016-06-17 08:29:31,still
2016-06-17 08:32:54,walking
2016-06-17 08:34:11,still
2016-06-17 09:07:13,walking
2016-06-17 09:08:36,still
2016-06-17 09:30:10,walking
2016-06-17 09:31:10,still
2016-06-17 13:36:59,walking
2016-06-17 13:38:08,still
2016-06-17 13:59:59,walking
2016-06-17 14:01:27,still
2016-06-17 14:35:06,walking
2016-06-17 14:36:15,still
2016-06-17 16:41:54,walking
2016-06-17 16:43:34,still
2016-06-17 17:04:08,walking
2016-06-17 17:05:10,still
2016-06-17 17:11:59,walking
2016-06-17 17:13:00,still
2016-06-17 17:43:54,walking
2016-06-17 17:46:19,in_vehicle
2016-06-17 18:09:07,still
2016-06-17 18:18:27,still
2016-06-17 18:22:21,walking
2016-06-17 18:23:59,still
2016-06-17 19:08:52,still
2016-06-17 19:14:32,still
2016-06-17 19:49:32,walking
2016-06-17 19:50:59,in_vehicle
2016-06-17 20:24:16,walking
2016-06-17 20:28:40,still
2016-06-17 21:02:22,walking
2016-06-17 21:26:54,walking
2016-06-17 21:32:34,still
2016-06-17 22:11:59,still
2016-06-18 00:00:00,still
2016-06-18 07:36:48,walking
2016-06-18 07:38:10,still
2016-06-18 07:48:50,walking
2016-06-18 07:50:07,still
2016-06-18 08:00:17,in_vehicle
2016-06-18 08:24:21,walking
2016-06-18 08:26:19,still
2016-06-18 13:51:18,walking
2016-06-18 13:54:00,still
2016-06-18 14:55:46,walking
2016-06-18 14:57:18,still
2016-06-18 18:28:29,in_vehicle
2016-06-18 18:51:24,walking
2016-06-18 18:53:46,still
2016-06-18 18:56:49,in_vehicle
2016-06-18 19:10:45,walking
2016-06-18 19:13:02,still
2016-06-18 20:28:46,still
2016-06-18 20:53:40,walking
2016-06-18 20:54:42,still
2016-06-18 21:14:24,walking
2016-06-18 21:15:57,in_vehicle
2016-06-18 21:31:12,still
2016-06-18 21:37:52,walking
2016-06-18 21:39:51,still
2016-06-18 21:43:59,walking
2016-06-18 22:01:19,walking
2016-06-18 22:02:23,still
2016-06-19 00:00:00,still
2016-06-19 07:27:58,walking
2016-06-19 07:29:04,still
2016-06-19 07:33:07,walking
2016-06-19 07:35:15,still
2016-06-19 07:47:09,walking
2016-06-19 07:48:36,walking
2016-06-19 07:49:49,walking
2016-06-19 07:50:54,in_vehicle
2016-06-19 08:19:00,walking
2016-06-19 08:20:42,still
2016-06-19 08:30:28,walking
2016-06-19 08:33:46,walking
2016-06-19 08:34:49,still
2016-06-19 15:50:59,walking
2016-06-19 15:51:59,still
2016-06-19 16:15:00,walking
2016-06-19 16:17:03,still
2016-06-19 17:45:11,walking
2016-06-19 17:46:15,still
2016-06-19 17:50:34,walking
2016-06-19 17:53:00,still
2016-06-19 18:01:44,walking
2016-06-19 18:07:48,still
2016-06-19 18:25:04,still
2016-06-19 18:34:18,in_vehicle
2016-06-19 18:55:33,still
2016-06-19 19:46:34,still
2016-06-19 22:07:49,still
2016-06-21 00:00:00,still
2016-06-21 07:19:33,in_vehicle
2016-06-21 07:26:41,walking
2016-06-21 07:28:00,in_vehicle
2016-06-21 07:33:07,still
2016-06-21 07:36:35,walking
2016-06-21 07:41:46,in_vehicle
2016-06-21 07:49:31,walking
2016-06-21 07:57:02,still
2016-06-21 08:20:43,in_vehicle
2016-06-21 08:48:27,walking
2016-06-21 08:50:00,in_vehicle
2016-06-21 08:51:51,walking
2016-06-21 08:53:00,in_vehicle
2016-06-21 08:56:45,walking
2016-06-21 08:58:50,still
2016-06-21 09:01:09,walking
2016-06-21 09:04:04,in_vehicle
2016-06-21 09:11:59,walking
2016-06-21 09:13:05,still
2016-06-21 09:26:00,walking
2016-06-21 09:28:00,still
2016-06-21 11:50:48,walking
2016-06-21 12:22:10,still
2016-06-21 13:37:04,still
2016-06-21 13:40:41,walking
2016-06-21 13:41:58,still
2016-06-21 14:00:01,still
2016-06-21 14:01:05,in_vehicle
2016-06-21 14:11:27,still
2016-06-21 14:36:53,walking
2016-06-21 14:38:39,walking
2016-06-21 14:40:40,still
2016-06-21 14:59:47,still
2016-06-21 15:25:10,still
2016-06-21 15:31:00,walking
2016-06-21 15:33:00,still
2016-06-21 17:19:34,in_vehicle
2016-06-21 17:38:43,walking
2016-06-21 17:41:07,in_vehicle
2016-06-21 17:57:15,still
2016-06-21 18:22:30,walking
2016-06-21 18:29:15,still
2016-06-21 19:48:08,walking
2016-06-21 19:49:28,in_vehicle
2016-06-21 20:14:07,still
2016-06-21 20:55:00,walking
2016-06-21 20:56:00,still
2016-06-21 21:46:53,still
2016-06-21 21:53:14,walking
2016-06-21 21:54:15,still
