date,ActivFit
2016-02-13 00:00:00,still
2016-02-13 00:20:37,in_vehicle
2016-02-13 00:40:56,still
2016-02-13 00:50:07,walking
2016-02-13 01:05:01,walking
2016-02-13 01:06:01,still
2016-02-13 14:36:34,in_vehicle
2016-02-13 15:35:01,still
2016-02-13 16:10:12,walking
2016-02-13 16:11:52,still
2016-02-13 16:29:03,still
2016-02-13 21:36:32,walking
2016-02-13 21:39:20,still
2016-02-13 21:44:18,walking
2016-02-13 21:46:35,in_vehicle
2016-02-13 22:26:27,walking
2016-02-13 22:27:59,in_vehicle
2016-02-13 22:35:00,still
2016-02-14 00:00:00,still
2016-02-14 01:14:26,still
2016-02-14 10:33:46,walking
2016-02-14 10:44:00,still
2016-02-14 10:47:31,walking
2016-02-14 11:14:18,still
2016-02-14 11:20:28,walking
2016-02-14 11:35:00,still
2016-02-14 12:00:07,walking
2016-02-14 12:25:00,walking
2016-02-14 12:26:00,still
2016-02-14 12:40:07,walking
2016-02-14 12:56:09,walking
2016-02-14 12:57:59,still
2016-02-14 14:13:10,walking
2016-02-14 14:22:22,still
2016-02-14 16:11:07,walking
2016-02-14 16:27:30,walking
2016-02-14 16:30:00,still
2016-02-14 16:36:31,in_vehicle
2016-02-14 17:40:00,still
2016-02-14 17:56:01,in_vehicle
2016-02-14 17:57:58,walking
2016-02-14 17:58:59,in_vehicle
2016-02-14 18:20:00,in_vehicle
2016-02-14 18:21:00,still
2016-02-14 18:51:00,still
2016-02-14 23:23:09,still
2016-02-15 00:00:00,still
2016-02-15 03:18:36,walking
2016-02-15 03:21:07,walking
2016-02-15 03:56:01,still
2016-02-15 04:59:05,walking
2016-02-15 05:00:07,walking
2016-02-15 05:16:00,still
2016-02-15 05:43:11,walking
2016-02-15 05:50:33,walking
2016-02-15 06:31:30,still
2016-02-15 11:50:48,walking
2016-02-15 11:54:53,walking
2016-02-15 12:01:08,walking
2016-02-15 12:06:07,walking
2016-02-15 12:18:38,still
2016-02-15 20:15:08,walking
2016-02-15 20:40:21,in_vehicle
2016-02-15 20:46:23,walking
2016-02-15 20:48:22,in_vehicle
2016-02-15 20:55:02,walking
2016-02-15 20:57:59,walking
2016-02-15 21:01:13,still
2016-02-15 21:10:26,still
2016-02-15 21:16:42,walking
2016-02-15 21:24:18,walking
2016-02-15 21:30:13,still
2016-02-15 21:35:17,walking
2016-02-15 21:45:16,still
2016-02-15 22:56:59,still
2016-02-16 00:00:00,still
2016-02-16 07:11:00,in_vehicle
2016-02-16 07:25:40,still
2016-02-16 07:28:46,walking
2016-02-16 07:30:07,walking
2016-02-16 07:51:26,still
2016-02-16 09:37:40,walking
2016-02-16 09:38:40,still
2016-02-16 12:37:25,walking
2016-02-16 12:45:00,still
2016-02-16 16:37:46,walking
2016-02-16 16:39:38,still
2016-02-16 16:57:40,walking
2016-02-16 17:32:34,still
2016-02-16 20:29:08,walking
2016-02-16 20:30:08,walking
2016-02-16 20:51:01,still
2016-02-16 21:01:00,still
2016-02-16 21:40:09,in_vehicle
2016-02-16 22:11:59,walking
2016-02-16 22:31:00,biking
2016-02-16 22:41:00,walking
2016-02-16 22:46:00,biking
2016-02-16 23:08:13,walking
2016-02-16 23:20:21,still
2016-02-16 23:22:24,still
2016-02-17 00:00:00,still
2016-02-17 07:11:00,still
2016-02-17 07:22:53,still
2016-02-17 07:25:16,walking
2016-02-17 07:46:01,still
2016-02-17 11:47:31,walking
2016-02-17 11:50:43,walking
2016-02-17 12:20:16,still
2016-02-17 12:56:05,still
2016-02-17 13:05:00,still
2016-02-17 19:25:27,still
2016-02-17 22:55:57,still
2016-02-19 00:00:00,still
2016-02-19 07:39:45,walking
2016-02-19 07:45:50,walking
2016-02-19 08:10:44,walking
2016-02-19 08:11:44,still
2016-02-19 17:07:27,walking
2016-02-19 17:16:50,walking
2016-02-19 17:27:41,still
2016-02-19 17:35:18,in_vehicle
2016-02-19 18:31:04,walking
2016-02-19 18:35:12,still
2016-02-19 19:37:56,walking
2016-02-19 19:39:03,still
2016-02-19 20:14:26,still
2016-02-19 21:40:50,walking
2016-02-19 21:43:22,still
2016-02-19 21:45:56,walking
2016-02-19 21:48:28,still
2016-02-20 00:00:00,still
2016-02-20 09:40:44,in_vehicle
2016-02-20 09:52:30,walking
2016-02-20 10:00:43,still
2016-02-20 11:30:42,walking
2016-02-20 11:34:50,still
2016-02-20 11:36:14,walking
2016-02-20 11:45:19,still
2016-02-20 11:49:56,walking
2016-02-20 11:51:51,walking
2016-02-20 12:08:14,still
2016-02-20 12:10:44,walking
2016-02-20 12:11:44,still
2016-02-20 12:20:40,walking
2016-02-20 12:38:14,walking
2016-02-20 12:40:47,walking
2016-02-20 12:42:37,still
2016-02-20 15:06:42,still
2016-02-20 15:58:34,walking
2016-02-20 16:06:01,still
2016-02-20 16:07:52,walking
2016-02-20 16:28:52,still
2016-02-20 16:34:42,walking
2016-02-20 16:42:20,still
2016-02-20 16:47:55,walking
2016-02-20 16:51:41,still
2016-02-20 17:00:17,walking
