date,ActivFit
2015-12-27 15:23:31,still
2015-12-27 15:28:07,strength_training
2015-12-27 15:29:07,still
2015-12-27 18:47:15,still
2015-12-27 18:53:15,walking
2015-12-27 18:55:31,still
2015-12-27 22:04:39,walking
2015-12-27 22:06:14,still
2015-12-27 23:35:06,walking
2015-12-27 23:40:38,still
2015-12-28 00:00:00,still
2015-12-28 02:10:34,walking
2015-12-28 02:13:03,still
2015-12-28 12:07:53,walking
2015-12-28 12:08:58,still
2015-12-28 12:27:14,walking
2015-12-28 12:35:14,walking
2015-12-28 12:41:11,still
2015-12-28 12:54:15,walking
2015-12-28 12:55:52,walking
2015-12-28 13:04:50,still
2015-12-28 13:58:32,still
2015-12-28 15:24:44,still
2015-12-28 15:32:58,walking
2015-12-28 15:35:54,still
2015-12-28 15:38:57,walking
2015-12-28 16:00:13,still
2015-12-28 16:04:44,walking
2015-12-28 16:24:57,walking
2015-12-28 16:31:47,in_vehicle
2015-12-28 17:53:35,walking
2015-12-28 18:03:42,walking
2015-12-28 18:06:10,still
2015-12-28 18:11:19,walking
2015-12-28 18:23:55,still
2015-12-28 18:29:50,walking
2015-12-28 18:46:16,still
2015-12-28 19:17:10,walking
2015-12-28 19:19:23,walking
2015-12-28 19:29:22,walking
2015-12-28 19:35:31,in_vehicle
2015-12-28 19:57:44,running
2015-12-28 19:59:11,walking
2015-12-28 20:00:58,in_vehicle
2015-12-28 20:15:49,walking
2015-12-28 20:20:01,in_vehicle
2015-12-28 20:39:24,walking
2015-12-28 20:46:07,walking
2015-12-28 20:48:01,still
2015-12-28 20:54:26,walking
2015-12-28 20:57:53,still
2015-12-29 00:00:00,still
2015-12-29 01:03:14,still
2015-12-29 16:44:24,walking
2015-12-29 16:45:27,in_vehicle
2015-12-29 16:55:25,walking
2015-12-29 16:58:05,still
2015-12-29 18:04:21,still
2015-12-29 18:26:43,walking
2015-12-29 18:27:59,still
2015-12-29 18:30:44,walking
2015-12-29 18:32:54,still
2015-12-29 19:16:52,walking
2015-12-29 19:21:54,in_vehicle
2015-12-29 19:55:58,walking
2015-12-29 19:57:00,in_vehicle
2015-12-29 21:39:56,still
2015-12-29 23:41:22,walking
2015-12-29 23:43:45,still
2015-12-30 20:29:59,walking
2015-12-30 21:00:28,walking
2015-12-30 21:03:35,walking
2015-12-30 21:42:10,walking
2015-12-30 22:05:30,walking
2016-01-01 19:30:11,walking
2016-01-01 21:08:29,walking
2016-01-01 21:15:24,walking
2016-01-01 22:08:42,walking
2016-01-01 22:20:15,walking
2016-01-02 00:38:49,walking
2016-01-02 12:23:59,walking
2016-01-02 12:25:50,walking
2016-01-02 12:35:58,walking
2016-01-02 12:45:41,walking
2016-01-02 12:55:00,walking
2016-01-02 13:46:40,walking
2016-01-02 13:57:59,walking
2016-01-02 15:52:18,walking
2016-01-02 15:53:59,walking
2016-01-02 16:13:42,walking
2016-01-02 16:38:55,walking
2016-01-02 17:57:53,walking
2016-01-02 18:12:57,walking
2016-01-02 18:18:42,walking
2016-01-02 18:21:12,walking
2016-01-02 19:15:25,walking
2016-01-02 19:43:56,walking
2016-01-04 17:18:59,walking
2016-01-04 18:21:08,walking
2016-01-04 22:31:10,walking
