date,ActivFit
2016-06-24 00:00:00,still
2016-06-24 07:25:08,walking
2016-06-24 07:26:10,still
2016-06-24 07:29:03,in_vehicle
2016-06-24 07:50:07,still
2016-06-24 12:37:10,still
2016-06-24 17:18:52,still
2016-06-24 17:22:09,in_vehicle
2016-06-24 17:47:53,still
2016-06-24 18:09:57,in_vehicle
2016-06-24 18:22:00,walking
2016-06-24 18:23:45,still
2016-06-24 20:05:51,walking
2016-06-24 20:07:25,still
2016-06-24 20:11:11,in_vehicle
2016-06-24 20:17:52,still
2016-06-24 21:10:17,in_vehicle
2016-06-24 21:39:41,still
2016-06-24 22:14:25,still
2016-06-24 23:09:53,in_vehicle
2016-06-25 00:00:00,still
2016-06-25 11:41:25,still
2016-06-25 14:30:23,still
2016-06-25 15:57:34,still
2016-06-25 16:08:07,in_vehicle
2016-06-25 16:53:03,still
2016-06-25 17:10:18,in_vehicle
2016-06-25 18:28:50,walking
2016-06-25 18:30:00,in_vehicle
2016-06-25 18:36:11,walking
2016-06-25 18:37:12,in_vehicle
2016-06-25 18:44:34,walking
2016-06-25 18:46:01,in_vehicle
2016-06-25 19:20:33,still
2016-06-25 21:10:00,walking
2016-06-25 21:13:59,still
2016-06-25 22:47:24,still
2016-06-25 23:09:58,still
