date,ActivFit
2016-04-13 00:00:00,still
2016-04-13 08:37:32,walking
2016-04-13 08:46:02,still
2016-04-13 08:52:02,walking
2016-04-13 09:05:03,still
2016-04-13 09:24:03,walking
2016-04-13 09:25:32,still
2016-04-13 10:45:54,walking
2016-04-13 10:46:57,still
2016-04-13 11:26:22,walking
2016-04-13 11:31:00,still
2016-04-13 12:50:04,walking
2016-04-13 12:53:33,still
2016-04-13 15:22:09,walking
2016-04-13 15:35:04,walking
2016-04-13 15:44:03,still
2016-04-13 16:08:04,still
2016-04-13 17:39:29,still
2016-04-13 17:41:04,walking
2016-04-13 17:45:03,still
2016-04-13 17:49:03,walking
2016-04-13 18:01:34,walking
2016-04-13 18:10:03,walking
2016-04-13 18:17:30,still
2016-04-13 18:19:57,walking
2016-04-13 18:28:04,still
2016-04-13 18:33:04,walking
2016-04-13 18:36:02,still
2016-04-13 18:38:29,in_vehicle
2016-04-13 18:50:33,still
2016-04-13 19:01:03,walking
2016-04-13 19:07:03,still
2016-04-13 19:13:03,walking
2016-04-13 19:18:03,still
2016-04-13 19:38:03,walking
2016-04-13 19:51:34,still
2016-04-13 20:10:33,still
2016-04-13 20:34:32,walking
2016-04-13 20:36:02,still
2016-04-13 20:37:29,in_vehicle
2016-04-13 20:47:33,walking
2016-04-13 20:56:29,still
2016-04-13 21:49:08,still
