date,ActivFit
2016-05-05 11:15:57,still
2016-05-05 11:33:58,still
2016-05-05 13:14:42,still
2016-05-05 15:39:42,still
2016-05-05 16:52:52,walking
2016-05-05 17:10:02,walking
2016-05-05 17:20:01,still
2016-05-05 17:35:03,walking
2016-05-05 17:41:39,still
2016-05-05 17:56:24,walking
2016-05-05 17:59:41,still
2016-05-05 18:23:15,walking
2016-05-05 18:28:10,still
2016-05-05 18:47:09,walking
2016-05-05 18:48:49,in_vehicle
2016-05-05 19:18:56,still
2016-05-06 00:00:00,still
2016-05-06 09:35:22,still
2016-05-06 09:43:19,in_vehicle
2016-05-06 11:04:50,still
2016-05-06 11:18:14,in_vehicle
2016-05-06 12:15:01,still
2016-05-06 12:30:17,still
2016-05-06 13:36:14,walking
2016-05-06 13:37:43,still
2016-05-06 13:49:09,still
2016-05-06 17:27:44,walking
2016-05-06 17:29:25,still
2016-05-06 17:31:03,walking
2016-05-06 17:32:04,still
2016-05-06 17:47:52,walking
2016-05-06 18:05:27,still
2016-05-06 18:10:05,walking
2016-05-06 18:12:15,still
2016-05-06 19:37:57,still
2016-05-06 19:42:50,walking
2016-05-06 19:54:29,still
2016-05-06 22:04:02,still
2016-05-06 23:29:28,still
2016-05-07 00:00:00,still
2016-05-07 05:57:37,still
2016-05-07 06:14:01,in_vehicle
2016-05-07 07:25:26,still
2016-05-07 07:43:27,walking
2016-05-07 07:44:37,still
2016-05-07 10:48:20,in_vehicle
2016-05-07 11:33:40,still
2016-05-07 11:35:11,walking
2016-05-07 11:37:00,still
2016-05-07 11:38:09,in_vehicle
2016-05-07 11:45:56,still
2016-05-07 12:34:08,walking
2016-05-07 12:35:44,still
2016-05-07 12:40:20,in_vehicle
2016-05-07 13:05:35,still
2016-05-07 13:30:57,still
2016-05-07 13:35:04,still
2016-05-07 14:16:53,still
2016-05-07 14:22:05,still
2016-05-07 14:30:24,walking
2016-05-07 14:34:34,still
2016-05-07 14:39:38,walking
2016-05-07 14:41:17,still
2016-05-07 14:53:31,walking
2016-05-07 17:46:35,still
2016-05-07 17:54:32,still
2016-05-07 18:20:36,walking
2016-05-07 18:22:31,still
2016-05-07 19:15:47,walking
2016-05-07 19:20:29,in_vehicle
2016-05-07 19:30:08,still
2016-05-07 19:46:07,walking
2016-05-07 19:47:39,in_vehicle
2016-05-07 19:56:08,still
2016-05-07 20:16:58,still
2016-05-07 20:32:33,still
2016-05-09 00:00:00,still
2016-05-09 05:50:52,still
2016-05-09 06:03:35,still
2016-05-09 06:09:25,in_vehicle
2016-05-09 06:59:21,still
2016-05-09 07:06:48,walking
2016-05-09 07:08:11,still
2016-05-09 08:18:56,in_vehicle
2016-05-09 09:56:43,in_vehicle
2016-05-09 11:16:04,still
2016-05-09 11:51:07,still
2016-05-09 12:47:07,still
2016-05-09 13:01:29,in_vehicle
