date,ActivFit
2016-05-13 00:00:00,in_vehicle
2016-05-13 00:56:22,walking
2016-05-13 00:57:57,in_vehicle
2016-05-13 01:06:04,walking
2016-05-13 01:08:12,in_vehicle
2016-05-13 01:56:29,walking
2016-05-13 01:57:57,in_vehicle
2016-05-13 02:09:45,walking
2016-05-13 02:11:39,still
2016-05-13 02:29:56,walking
2016-05-13 02:32:16,still
2016-05-13 02:35:30,walking
2016-05-13 02:39:47,still
2016-05-13 02:41:12,in_vehicle
2016-05-13 02:57:58,walking
2016-05-13 02:59:51,in_vehicle
2016-05-13 03:15:28,walking
2016-05-13 03:17:38,still
2016-05-13 03:29:09,walking
2016-05-13 03:31:15,still
2016-05-13 11:45:33,walking
2016-05-13 11:46:37,still
2016-05-13 12:15:16,walking
2016-05-13 12:16:37,still
2016-05-13 12:20:06,walking
2016-05-13 12:22:42,still
2016-05-13 12:44:01,walking
2016-05-13 12:46:27,still
2016-05-13 12:50:31,walking
2016-05-13 13:00:16,in_vehicle
2016-05-13 13:47:54,walking
2016-05-13 13:56:34,in_vehicle
2016-05-13 14:04:23,walking
2016-05-13 14:05:31,in_vehicle
2016-05-13 14:28:54,walking
2016-05-13 14:30:45,in_vehicle
2016-05-13 14:34:13,walking
2016-05-13 14:35:27,in_vehicle
2016-05-13 14:43:10,still
2016-05-13 14:49:30,walking
2016-05-13 14:50:31,still
2016-05-13 14:56:24,walking
2016-05-13 14:59:33,in_vehicle
2016-05-13 17:30:33,walking
2016-05-13 17:31:43,in_vehicle
2016-05-13 17:35:43,still
2016-05-13 17:40:26,walking
2016-05-13 17:42:49,still
2016-05-13 17:45:06,walking
2016-05-13 17:49:05,walking
2016-05-13 17:51:52,walking
2016-05-13 17:54:27,in_vehicle
2016-05-13 17:58:37,walking
2016-05-13 18:11:45,walking
2016-05-13 18:27:33,walking
2016-05-13 18:30:08,still
2016-05-13 18:32:40,in_vehicle
2016-05-13 18:50:02,walking
2016-05-13 18:51:39,still
2016-05-13 18:56:18,walking
2016-05-13 19:02:11,walking
2016-05-13 19:03:12,still
2016-05-13 20:01:31,walking
2016-05-13 20:45:53,in_vehicle
2016-05-13 21:21:43,still
2016-05-13 21:24:10,walking
2016-05-13 21:47:54,walking
2016-05-13 21:54:58,in_vehicle
2016-05-13 22:06:52,walking
2016-05-13 22:09:42,walking
2016-05-13 22:17:34,walking
2016-05-13 22:21:52,walking
2016-05-13 22:23:34,still
2016-05-13 22:26:58,walking
2016-05-13 22:28:07,walking
2016-05-13 22:30:02,walking
2016-05-13 22:31:11,still
2016-05-13 22:39:14,in_vehicle
2016-05-13 23:06:37,walking
2016-05-13 23:08:28,in_vehicle
2016-05-13 23:10:58,walking
2016-05-13 23:14:35,in_vehicle
2016-05-13 23:26:07,walking
2016-05-13 23:32:55,in_vehicle
2016-05-15 00:00:00,still
2016-05-15 08:11:56,still
2016-05-15 08:42:41,walking
2016-05-15 08:45:57,in_vehicle
2016-05-15 09:04:32,walking
2016-05-15 09:14:44,walking
2016-05-15 09:15:45,walking
2016-05-15 09:30:46,walking
2016-05-15 09:42:06,still
2016-05-15 09:43:37,walking
2016-05-15 09:45:53,still
2016-05-15 09:53:59,walking
2016-05-15 09:55:16,still
2016-05-15 09:56:59,walking
2016-05-15 10:04:51,walking
2016-05-15 10:07:36,walking
2016-05-15 10:11:37,still
2016-05-15 10:20:23,walking
2016-05-15 10:30:16,still
2016-05-15 10:32:32,walking
2016-05-15 10:33:51,still
2016-05-15 10:38:35,in_vehicle
2016-05-15 11:02:56,still
2016-05-15 11:09:13,walking
2016-05-15 11:12:00,still
2016-05-15 11:16:49,in_vehicle
2016-05-15 11:36:07,still
2016-05-15 11:50:18,walking
2016-05-15 11:53:37,still
2016-05-15 13:00:38,walking
2016-05-15 13:02:38,still
2016-05-15 13:04:17,in_vehicle
2016-05-15 13:24:26,still
2016-05-15 13:27:49,walking
2016-05-15 13:30:23,walking
2016-05-15 13:35:40,still
2016-05-15 13:38:01,walking
2016-05-15 13:41:31,still
2016-05-15 13:48:00,walking
2016-05-15 13:53:33,in_vehicle
2016-05-15 14:10:17,in_vehicle
2016-05-15 15:10:01,walking
2016-05-15 15:11:14,in_vehicle
2016-05-15 15:31:47,walking
2016-05-15 15:33:49,in_vehicle
2016-05-15 15:34:51,walking
2016-05-15 15:35:51,in_vehicle
2016-05-15 15:36:53,walking
2016-05-15 15:38:28,in_vehicle
2016-05-15 16:32:18,still
2016-05-15 16:49:38,walking
2016-05-15 17:09:58,walking
2016-05-15 17:22:07,walking
2016-05-15 17:23:24,walking
2016-05-15 17:28:07,walking
2016-05-15 17:37:27,walking
2016-05-15 17:48:06,walking
2016-05-15 17:52:59,in_vehicle
2016-05-15 18:37:57,still
2016-05-15 18:50:18,walking
2016-05-15 19:10:47,still
