date,ActivFit
2015-12-29 00:00:00,still
2015-12-29 08:16:57,walking
2015-12-29 08:19:28,walking
2015-12-29 08:20:40,in_vehicle
2015-12-29 08:27:28,walking
2015-12-29 08:28:33,walking
2015-12-29 08:31:24,still
2015-12-29 08:42:02,walking
2015-12-29 08:43:03,still
2015-12-29 09:00:47,walking
2015-12-29 09:02:18,in_vehicle
2015-12-29 09:15:32,still
2015-12-29 10:23:59,walking
2015-12-29 10:25:00,still
2015-12-29 10:30:14,walking
2015-12-29 10:32:04,still
2015-12-29 11:22:30,still
2015-12-29 11:35:58,walking
2015-12-29 11:37:55,walking
2015-12-29 11:40:15,still
2015-12-29 13:23:29,walking
2015-12-29 13:25:24,walking
2015-12-29 13:27:35,still
2015-12-29 14:19:22,walking
2015-12-29 14:21:19,still
2015-12-29 14:34:40,still
2015-12-29 15:48:02,walking
2015-12-29 15:51:29,still
2015-12-29 15:58:03,walking
2015-12-29 15:59:32,still
2015-12-29 16:15:58,walking
2015-12-29 16:17:30,walking
2015-12-29 16:20:05,still
2015-12-29 17:21:09,walking
2015-12-29 17:23:10,in_vehicle
2015-12-29 17:37:37,still
2015-12-29 19:48:49,still
2015-12-29 21:46:07,still
2015-12-31 00:00:00,still
2015-12-31 08:09:39,in_vehicle
2015-12-31 08:14:50,walking
2015-12-31 08:16:32,walking
2015-12-31 08:19:00,still
2015-12-31 08:35:38,walking
2015-12-31 08:36:39,still
2015-12-31 09:01:27,walking
2015-12-31 09:03:29,walking
2015-12-31 09:09:03,still
2015-12-31 09:21:02,still
2015-12-31 10:03:15,walking
2015-12-31 10:07:38,still
2015-12-31 11:12:29,walking
2015-12-31 11:14:22,walking
2015-12-31 11:17:43,in_vehicle
2015-12-31 11:47:45,still
2015-12-31 12:22:59,walking
2015-12-31 12:26:01,in_vehicle
2015-12-31 13:06:14,walking
2015-12-31 13:08:36,walking
2015-12-31 13:15:24,still
2015-12-31 13:54:31,walking
2015-12-31 13:57:00,still
2015-12-31 14:12:58,walking
2015-12-31 14:14:39,still
2015-12-31 14:49:33,walking
2015-12-31 14:51:37,still
2015-12-31 15:01:05,still
2015-12-31 15:46:52,still
2015-12-31 16:53:21,walking
2015-12-31 16:57:07,still
2015-12-31 17:12:01,walking
2015-12-31 17:16:00,in_vehicle
2015-12-31 17:41:34,still
2015-12-31 21:52:25,still
2016-01-01 00:00:00,still
2016-01-01 15:35:06,in_vehicle
2016-01-01 15:56:09,still
2016-01-01 16:23:18,still
2016-01-01 17:18:26,in_vehicle
2016-01-01 17:29:09,still
2016-01-01 22:52:21,still
2016-01-02 00:00:00,still
2016-01-02 18:56:18,still
2016-01-02 19:56:11,still
2016-01-02 22:56:02,still
2016-01-04 00:00:00,still
2016-01-04 18:44:26,in_vehicle
2016-01-04 18:49:01,still
2016-01-04 19:14:28,still
2016-01-04 21:45:41,still
2016-01-05 00:00:00,still
2016-01-05 07:51:32,in_vehicle
2016-01-05 07:59:57,walking
2016-01-05 08:05:01,still
2016-01-05 08:14:49,still
2016-01-05 08:21:01,still
2016-01-05 08:58:08,still
2016-01-05 09:29:31,walking
2016-01-05 09:35:16,still
2016-01-05 10:28:00,walking
2016-01-05 10:31:26,still
2016-01-05 10:49:42,still
2016-01-05 11:35:35,walking
2016-01-05 11:37:21,still
2016-01-05 11:45:51,walking
2016-01-05 11:48:26,still
2016-01-05 11:51:36,in_vehicle
2016-01-05 11:58:50,still
2016-01-05 12:44:54,walking
2016-01-05 12:46:01,in_vehicle
2016-01-05 12:57:00,walking
2016-01-05 12:59:47,still
2016-01-05 13:15:07,walking
2016-01-05 13:16:15,still
2016-01-05 13:24:27,walking
2016-01-05 13:25:33,still
2016-01-05 13:54:27,walking
2016-01-05 13:58:31,still
2016-01-05 14:47:52,still
2016-01-05 15:03:39,still
2016-01-05 15:22:55,still
2016-01-05 15:50:14,walking
2016-01-05 15:52:03,still
2016-01-05 16:17:56,still
2016-01-05 16:57:46,still
2016-01-05 17:40:41,still
2016-01-05 17:45:35,walking
2016-01-05 17:49:15,in_vehicle
2016-01-05 17:56:30,still
2016-01-06 00:00:00,still
2016-01-06 07:40:42,still
2016-01-06 07:41:43,in_vehicle
2016-01-06 07:50:39,walking
2016-01-06 07:51:49,in_vehicle
2016-01-06 07:53:37,walking
2016-01-06 07:54:44,in_vehicle
