date,ActivFit
2015-12-21 00:00:00,still
2015-12-21 09:54:07,walking
2015-12-21 09:55:32,walking
2015-12-21 09:57:33,walking
2015-12-21 09:58:59,walking
2015-12-21 10:09:59,walking
2015-12-21 10:12:30,still
2015-12-21 10:16:59,walking
2015-12-21 10:21:08,still
2015-12-21 10:25:58,still
2015-12-21 10:41:09,walking
2015-12-21 10:44:12,still
2015-12-21 10:49:50,walking
2015-12-21 10:50:51,still
2015-12-21 10:53:20,walking
2015-12-21 10:54:57,walking
2015-12-21 10:57:59,still
2015-12-21 11:06:08,still
2015-12-21 11:08:57,walking
2015-12-21 11:10:45,still
2015-12-21 11:11:57,walking
2015-12-21 11:13:16,still
2015-12-21 11:30:26,walking
2015-12-21 11:31:57,walking
2015-12-21 11:41:58,walking
2015-12-21 11:48:57,walking
2015-12-21 11:50:26,still
2015-12-21 11:59:58,walking
2015-12-21 12:01:34,walking
2015-12-21 12:03:43,walking
2015-12-21 12:05:09,walking
2015-12-21 12:07:33,walking
2015-12-21 12:08:40,walking
2015-12-21 12:12:58,walking
2015-12-21 12:14:06,walking
2015-12-21 12:22:19,walking
2015-12-21 12:23:29,walking
2015-12-21 12:24:58,walking
2015-12-21 12:28:58,walking
2015-12-21 12:30:24,still
2015-12-21 12:33:14,in_vehicle
2015-12-21 12:47:48,still
2015-12-21 12:59:32,walking
2015-12-21 13:02:57,walking
2015-12-21 13:05:30,still
2015-12-21 14:21:58,walking
2015-12-21 14:27:29,still
2015-12-21 14:30:58,walking
2015-12-21 14:34:57,walking
2015-12-21 14:36:55,still
2015-12-21 15:48:37,walking
2015-12-21 15:49:43,still
2015-12-21 16:09:55,walking
2015-12-21 16:11:27,still
2015-12-21 16:36:34,still
2015-12-21 17:53:29,walking
2015-12-21 17:55:55,walking
2015-12-21 17:58:03,walking
2015-12-21 17:59:32,walking
2015-12-21 18:05:55,walking
2015-12-21 18:06:56,walking
2015-12-21 18:12:03,walking
2015-12-21 18:13:19,still
2015-12-21 21:45:42,still
2015-12-22 00:00:00,still
2015-12-22 09:02:58,in_vehicle
2015-12-22 09:29:50,still
2015-12-22 10:57:49,still
2015-12-22 11:02:47,walking
2015-12-22 11:03:48,walking
2015-12-22 11:10:47,walking
2015-12-22 11:13:58,walking
2015-12-22 11:18:46,walking
2015-12-22 11:20:47,walking
2015-12-22 11:22:58,walking
2015-12-22 11:24:05,still
2015-12-22 11:57:26,walking
2015-12-22 12:12:59,still
2015-12-22 12:23:53,still
2015-12-22 12:42:05,walking
2015-12-22 12:43:48,walking
2015-12-22 12:48:30,still
2015-12-22 13:34:36,still
2015-12-22 13:40:47,walking
2015-12-22 13:41:50,walking
2015-12-22 13:42:58,walking
2015-12-22 13:47:58,walking
2015-12-22 13:54:08,walking
2015-12-22 13:55:09,still
2015-12-22 14:34:41,walking
2015-12-22 14:35:42,walking
2015-12-22 14:40:56,walking
2015-12-22 14:43:56,walking
2015-12-22 14:45:15,still
2015-12-22 14:46:56,walking
2015-12-22 14:51:46,in_vehicle
2015-12-22 14:54:00,still
2015-12-22 16:32:28,still
2015-12-22 16:39:17,walking
2015-12-22 16:40:33,still
2015-12-22 16:44:53,still
2015-12-22 17:31:54,still
2015-12-22 18:09:09,walking
2015-12-22 18:10:20,walking
2015-12-22 18:14:34,walking
2015-12-22 18:30:26,walking
2015-12-22 18:31:27,still
2015-12-23 00:00:00,still
2015-12-23 09:42:06,walking
2015-12-23 09:47:58,walking
2015-12-23 09:57:56,walking
2015-12-23 10:02:08,walking
2015-12-23 10:03:46,still
2015-12-23 11:46:53,walking
2015-12-23 11:49:43,walking
2015-12-23 12:00:23,still
2015-12-23 12:02:43,walking
2015-12-23 12:13:28,walking
2015-12-23 12:15:50,walking
2015-12-23 12:38:50,walking
2015-12-23 12:44:23,still
2015-12-23 12:46:08,in_vehicle
2015-12-23 13:09:33,still
2015-12-23 13:30:59,walking
2015-12-23 13:33:10,walking
2015-12-23 13:36:01,walking
2015-12-23 13:44:48,still
2015-12-23 13:46:49,walking
2015-12-23 13:49:08,still
2015-12-23 15:33:48,still
2015-12-23 16:06:31,walking
2015-12-23 16:08:47,walking
2015-12-23 16:15:45,walking
2015-12-23 16:17:50,walking
2015-12-23 16:28:49,walking
2015-12-23 16:38:29,walking
2015-12-23 16:39:30,still
2015-12-23 16:44:07,walking
2015-12-23 16:51:59,walking
2015-12-23 17:07:32,still
2015-12-23 18:35:57,in_vehicle
2015-12-23 18:45:56,still
2015-12-23 21:47:47,still
2015-12-23 23:33:24,still
2015-12-24 00:00:00,still
2015-12-24 13:31:45,walking
2015-12-24 13:41:54,walking
2015-12-24 13:45:56,still
2015-12-24 14:03:43,walking
2015-12-24 14:30:42,walking
2015-12-24 14:54:35,walking
2015-12-24 15:01:15,walking
2015-12-24 15:03:42,walking
2015-12-24 15:19:16,walking
2015-12-24 15:23:17,walking
2015-12-24 15:35:51,walking
2015-12-24 15:37:43,walking
2015-12-24 15:38:58,walking
2015-12-24 16:00:09,walking
2015-12-24 16:01:10,walking
2015-12-24 16:06:03,still
2015-12-24 20:28:11,still
2015-12-24 23:56:28,walking
2015-12-25 00:00:00,still
2015-12-25 11:07:59,in_vehicle
2015-12-25 11:13:09,still
2015-12-25 16:30:08,walking
2015-12-25 16:31:16,walking
2015-12-25 16:34:18,still
2015-12-25 16:36:49,walking
2015-12-25 16:38:10,still
2015-12-25 17:07:54,walking
2015-12-25 17:11:26,still
2015-12-25 17:14:13,still
2015-12-25 18:19:28,walking
2015-12-25 18:21:24,walking
2015-12-25 18:24:48,still
2015-12-25 20:35:24,walking
2015-12-25 20:48:37,walking
2015-12-25 20:50:07,walking
2015-12-25 20:57:23,walking
2015-12-25 20:59:32,still
2015-12-25 21:06:04,walking
2015-12-25 21:25:23,walking
2015-12-25 21:29:15,walking
2015-12-25 21:36:01,walking
2015-12-25 21:38:25,still
2015-12-26 00:00:00,still
2015-12-26 06:16:42,still
2015-12-26 13:04:48,walking
2015-12-26 13:09:01,walking
2015-12-26 13:10:20,walking
2015-12-26 13:12:04,walking
2015-12-26 13:20:19,walking
2015-12-26 13:21:26,walking
2015-12-26 13:36:19,walking
2015-12-26 14:03:19,walking
2015-12-26 14:16:20,walking
2015-12-26 14:19:08,still
2015-12-26 14:20:40,walking
2015-12-26 14:23:19,walking
2015-12-26 14:25:19,walking
2015-12-26 14:48:19,walking
2015-12-26 14:51:15,still
2015-12-26 16:42:43,walking
2015-12-26 16:49:27,walking
2015-12-26 17:08:12,walking
2015-12-26 17:10:16,walking
2015-12-26 17:12:33,walking
2015-12-26 17:13:38,still
2015-12-26 18:30:18,walking
2015-12-26 18:36:13,walking
2015-12-26 18:37:35,walking
2015-12-26 18:44:18,walking
2015-12-26 18:47:27,still
2015-12-26 22:34:43,still
2015-12-28 00:09:06,walking
2015-12-28 00:22:59,still
2015-12-28 00:45:46,walking
2015-12-28 00:46:52,still
2015-12-28 00:55:10,walking
2015-12-28 01:00:20,still
2015-12-28 01:49:48,walking
2015-12-28 01:59:29,still
2015-12-28 02:46:44,in_vehicle
2015-12-28 02:56:46,walking
2015-12-28 03:00:55,walking
2015-12-28 03:23:03,walking
2015-12-28 03:24:03,still
2015-12-28 03:32:28,still
2015-12-28 04:05:40,in_vehicle
2015-12-28 04:38:57,in_vehicle
2015-12-28 04:40:01,still
2015-12-28 04:44:42,still
2015-12-28 04:56:23,in_vehicle
2015-12-28 05:09:04,still
2015-12-28 05:17:24,walking
2015-12-28 05:18:33,walking
2015-12-28 05:25:50,still
2015-12-28 05:28:35,walking
2015-12-28 05:30:37,walking
2015-12-28 05:33:26,still
2015-12-28 05:35:58,in_vehicle
2015-12-28 12:04:41,in_vehicle
2015-12-28 12:05:41,still
2015-12-28 12:57:40,in_vehicle
2015-12-28 13:07:23,still
2015-12-28 13:20:20,in_vehicle
2015-12-28 13:42:04,still
2015-12-29 00:00:00,still
2015-12-29 00:36:43,still
2015-12-29 09:34:47,in_vehicle
2015-12-29 09:59:17,still
2015-12-29 10:48:01,in_vehicle
2015-12-29 11:13:35,walking
2015-12-29 11:35:37,walking
2015-12-29 11:36:53,still
2015-12-29 11:40:08,walking
2015-12-29 11:41:15,walking
2015-12-29 11:48:37,walking
2015-12-29 11:49:39,walking
2015-12-29 11:56:22,still
2015-12-29 12:12:37,walking
2015-12-29 12:16:47,still
2015-12-29 12:36:48,still
2015-12-29 12:45:37,walking
2015-12-29 12:51:37,walking
2015-12-29 12:54:11,still
2015-12-29 13:29:37,walking
2015-12-29 13:33:37,walking
2015-12-29 13:37:12,walking
2015-12-29 13:38:50,walking
2015-12-29 13:48:22,still
2015-12-29 14:00:17,walking
2015-12-29 14:07:37,walking
2015-12-29 14:11:12,still
2015-12-29 14:16:35,walking
2015-12-29 14:35:37,walking
2015-12-29 14:42:06,still
2015-12-29 14:50:54,walking
2015-12-29 15:02:43,still
2015-12-29 15:30:53,walking
2015-12-29 15:32:35,walking
2015-12-29 15:36:36,walking
2015-12-29 15:43:37,walking
2015-12-29 15:53:37,walking
2015-12-29 16:02:10,still
2015-12-29 16:05:17,walking
2015-12-29 16:07:35,walking
2015-12-29 16:27:38,walking
2015-12-29 16:28:40,walking
2015-12-29 16:31:21,still
2015-12-29 17:19:40,still
2015-12-29 17:55:37,walking
2015-12-29 18:02:46,still
2015-12-29 18:03:47,walking
2015-12-29 18:07:24,still
2015-12-29 18:15:36,walking
2015-12-29 18:21:38,walking
2015-12-29 18:23:41,walking
2015-12-29 18:24:47,still
2015-12-29 19:02:23,still
2015-12-30 00:00:00,still
2015-12-30 09:25:08,still
2015-12-30 10:56:22,still
2015-12-30 12:50:11,walking
2015-12-30 12:52:34,walking
2015-12-30 13:00:24,still
2015-12-30 13:11:34,walking
2015-12-30 13:15:14,still
2015-12-30 13:16:49,walking
2015-12-30 13:40:38,walking
2015-12-30 13:42:11,walking
2015-12-30 13:50:43,still
2015-12-30 13:52:34,walking
2015-12-30 13:56:35,walking
2015-12-30 14:01:22,walking
2015-12-30 14:03:08,walking
2015-12-30 14:18:00,walking
2015-12-30 14:23:31,walking
2015-12-30 14:28:38,still
2015-12-30 14:31:42,walking
2015-12-30 14:36:20,still
2015-12-30 14:38:24,walking
2015-12-30 14:42:34,still
2015-12-30 15:22:58,walking
2015-12-30 15:29:23,walking
2015-12-30 15:38:59,walking
2015-12-30 15:47:34,walking
2015-12-30 15:49:40,still
2015-12-30 17:08:59,walking
2015-12-30 17:25:32,walking
2015-12-30 17:33:36,walking
2015-12-30 17:54:15,still
2015-12-30 18:29:47,still
2015-12-31 00:00:00,still
2015-12-31 07:12:53,still
2015-12-31 09:13:11,walking
2015-12-31 09:28:52,walking
2015-12-31 09:30:05,walking
2015-12-31 09:32:55,still
2015-12-31 09:41:22,in_vehicle
2015-12-31 09:52:49,walking
2015-12-31 09:55:05,walking
2015-12-31 10:03:47,walking
2015-12-31 10:04:57,still
2015-12-31 10:09:49,walking
2015-12-31 10:18:09,walking
2015-12-31 10:27:03,walking
2015-12-31 10:32:05,walking
2015-12-31 10:35:51,walking
2015-12-31 10:39:11,walking
2015-12-31 11:00:01,in_vehicle
2015-12-31 11:15:32,still
2015-12-31 11:19:05,walking
2015-12-31 11:21:05,walking
2015-12-31 11:26:33,still
2015-12-31 11:39:19,walking
2015-12-31 11:41:23,still
2015-12-31 11:48:00,in_vehicle
2015-12-31 12:12:58,walking
2015-12-31 12:15:22,still
2015-12-31 12:18:05,walking
2015-12-31 12:27:10,still
2015-12-31 12:28:41,walking
2015-12-31 12:31:28,walking
2015-12-31 12:34:03,walking
2015-12-31 12:35:42,still
2015-12-31 12:38:28,walking
2015-12-31 12:41:33,walking
2015-12-31 12:44:23,still
2015-12-31 16:31:26,walking
2015-12-31 16:33:04,walking
2015-12-31 16:34:05,walking
2015-12-31 16:38:12,walking
2015-12-31 16:41:06,walking
2015-12-31 16:46:48,walking
2015-12-31 16:49:01,walking
2015-12-31 16:54:28,walking
2015-12-31 16:57:46,still
2015-12-31 18:57:46,walking
2015-12-31 18:59:01,walking
2015-12-31 19:11:59,walking
