date,ActivFit
2016-01-21 12:30:35,walking
2016-01-21 15:47:43,walking
2016-01-21 17:31:51,walking
2016-01-21 17:40:07,walking
2016-01-21 18:28:44,walking
2016-01-21 18:35:42,walking
2016-01-22 15:49:08,walking
2016-01-22 19:03:00,walking
2016-01-23 10:02:34,walking
2016-01-23 10:10:56,walking
2016-01-23 10:14:47,walking
2016-01-23 12:50:15,walking
2016-01-23 14:42:40,walking
2016-01-23 14:50:04,walking
2016-01-23 15:28:38,walking
2016-01-24 13:42:33,walking
2016-01-24 15:41:20,walking
2016-01-24 15:45:51,walking
2016-01-24 15:49:01,walking
