date,ActivFit
2016-06-15 00:00:00,still
2016-06-15 04:22:32,still
2016-06-15 12:49:04,walking
2016-06-15 12:55:04,still
2016-06-15 13:27:24,still
2016-06-15 18:49:33,in_vehicle
2016-06-15 19:18:06,still
2016-06-15 19:22:16,walking
2016-06-15 19:23:57,walking
2016-06-15 19:25:04,still
2016-06-15 19:26:58,walking
2016-06-15 19:29:07,in_vehicle
2016-06-15 19:36:07,still
2016-06-15 20:33:46,walking
2016-06-15 20:35:31,running
2016-06-15 20:37:00,still
2016-06-15 23:29:36,still
2016-06-16 00:00:00,still
2016-06-16 06:10:37,still
2016-06-16 07:52:54,biking
2016-06-16 08:01:53,still
2016-06-16 08:02:58,in_vehicle
2016-06-16 08:33:41,walking
2016-06-16 08:40:24,still
2016-06-16 08:47:19,still
2016-06-16 09:08:32,still
2016-06-16 09:53:50,still
2016-06-16 10:51:56,still
2016-06-16 11:22:12,walking
2016-06-16 11:38:51,still
2016-06-16 11:57:07,walking
2016-06-16 11:59:37,still
2016-06-16 16:21:03,still
2016-06-16 16:29:35,walking
2016-06-16 16:54:22,still
2016-06-16 17:57:27,still
2016-06-16 18:41:06,still
2016-06-16 21:31:36,walking
2016-06-16 21:45:54,walking
2016-06-16 21:47:30,still
2016-06-16 21:52:32,in_vehicle
2016-06-16 22:11:02,walking
2016-06-16 22:12:40,biking
2016-06-16 22:18:21,still
2016-06-17 00:00:00,still
2016-06-17 08:29:35,walking
2016-06-17 08:30:38,still
2016-06-17 08:39:18,biking
2016-06-17 08:46:26,in_vehicle
2016-06-17 09:00:15,walking
2016-06-17 09:16:14,still
2016-06-17 09:17:23,walking
2016-06-17 09:18:52,walking
2016-06-17 09:19:59,still
2016-06-17 10:07:43,still
2016-06-17 12:30:05,walking
2016-06-17 12:50:13,still
2016-06-17 14:06:32,still
2016-06-17 15:02:04,still
2016-06-17 16:10:19,still
2016-06-17 18:22:34,walking
2016-06-17 18:27:03,still
2016-06-17 18:29:40,walking
2016-06-17 18:40:01,still
2016-06-17 18:42:54,walking
2016-06-17 18:46:35,still
2016-06-17 18:51:56,in_vehicle
2016-06-17 19:17:36,walking
2016-06-17 19:26:07,still
2016-06-17 20:08:54,walking
2016-06-17 20:12:20,still
2016-06-17 21:04:45,still
2016-06-18 00:00:00,still
2016-06-18 01:41:10,still
2016-06-18 22:24:52,still
2016-06-19 00:00:00,still
2016-06-19 15:03:00,walking
2016-06-19 15:05:27,still
2016-06-19 15:23:26,still
2016-06-19 15:38:33,walking
2016-06-19 15:41:14,still
2016-06-19 16:08:01,still
2016-06-19 16:09:13,walking
2016-06-19 16:13:28,walking
2016-06-19 16:17:46,walking
2016-06-19 16:20:27,still
2016-06-19 16:48:38,still
2016-06-19 18:20:45,still
2016-06-19 20:01:42,still
2016-06-19 20:10:40,still
2016-06-19 20:27:01,still
2016-06-21 00:00:00,still
2016-06-21 02:08:25,still
2016-06-21 08:27:29,biking
2016-06-21 08:33:08,still
2016-06-21 08:36:20,in_vehicle
2016-06-21 08:56:50,walking
2016-06-21 09:06:07,walking
2016-06-21 09:07:12,still
2016-06-21 10:40:55,still
2016-06-21 11:34:20,still
2016-06-21 11:58:42,walking
2016-06-21 11:59:57,still
2016-06-21 12:02:52,still
2016-06-21 13:33:01,walking
2016-06-21 13:34:18,still
2016-06-21 14:26:55,still
2016-06-21 16:03:31,walking
2016-06-21 16:06:14,still
2016-06-21 18:08:23,walking
2016-06-21 18:17:50,in_vehicle
2016-06-21 18:36:09,walking
2016-06-21 18:37:59,biking
2016-06-21 18:48:20,still
2016-06-22 00:00:00,still
2016-06-22 07:21:43,still
2016-06-22 07:24:01,biking
2016-06-22 07:32:42,in_vehicle
2016-06-22 07:49:30,walking
2016-06-22 08:00:17,still
2016-06-22 08:14:40,still
2016-06-22 09:16:30,walking
2016-06-22 09:17:45,still
2016-06-22 09:20:30,walking
2016-06-22 09:21:58,still
2016-06-22 09:25:37,still
2016-06-22 10:56:20,still
2016-06-22 12:58:52,walking
2016-06-22 13:02:22,still
2016-06-22 13:04:59,walking
2016-06-22 13:09:08,walking
2016-06-22 13:17:16,still
2016-06-22 13:20:22,walking
2016-06-22 13:39:51,still
2016-06-22 14:09:10,walking
2016-06-22 14:10:13,still
2016-06-22 17:18:57,walking
2016-06-22 17:26:23,walking
2016-06-22 17:27:25,walking
2016-06-22 17:28:57,in_vehicle
2016-06-22 17:48:46,walking
2016-06-22 17:52:09,walking
2016-06-22 17:58:44,walking
2016-06-22 18:02:36,still
2016-06-22 23:36:36,still
2016-06-23 00:00:00,still
2016-06-23 00:36:06,walking
2016-06-23 00:44:36,still
2016-06-23 05:38:14,still
2016-06-23 17:21:09,still
2016-06-23 17:34:33,still
2016-06-23 18:03:14,walking
2016-06-23 18:19:49,still
2016-06-23 19:05:14,still
2016-06-26 21:14:58,in_vehicle
2016-06-26 21:37:48,in_vehicle
2016-06-26 22:36:56,walking
2016-06-26 22:40:09,still
2016-06-26 23:15:13,still
