date,ActivFit
2016-03-28 00:00:00,still
2016-03-28 11:25:53,walking
2016-03-28 11:29:02,still
2016-03-28 11:33:00,walking
2016-03-28 11:36:01,still
2016-03-28 11:40:32,walking
2016-03-28 11:42:01,still
2016-03-28 11:53:59,walking
2016-03-28 11:57:53,walking
2016-03-28 11:58:53,still
2016-03-28 12:02:19,walking
2016-03-28 12:04:53,in_vehicle
2016-03-28 12:17:52,walking
2016-03-28 12:19:23,in_vehicle
2016-03-28 12:35:32,walking
2016-03-28 12:45:09,still
2016-03-28 13:43:58,walking
2016-03-28 13:47:19,still
2016-03-28 13:55:00,walking
2016-03-28 13:56:18,walking
2016-03-28 14:02:55,still
2016-03-28 14:04:56,in_vehicle
2016-03-28 18:46:14,still
2016-03-28 18:49:22,walking
2016-03-28 19:04:44,walking
2016-03-28 19:06:00,walking
2016-03-28 19:12:19,still
2016-03-28 19:18:25,walking
2016-03-28 19:21:50,in_vehicle
2016-03-28 20:37:47,in_vehicle
2016-03-28 20:56:28,walking
2016-03-28 20:58:01,in_vehicle
2016-03-28 21:05:30,walking
2016-03-28 21:07:01,still
2016-03-29 00:00:00,still
2016-03-29 11:29:18,in_vehicle
2016-03-29 11:46:26,still
2016-03-29 12:47:58,in_vehicle
2016-03-29 12:53:37,in_vehicle
2016-03-29 13:28:07,walking
2016-03-29 13:44:57,still
2016-03-29 13:51:20,walking
2016-03-29 13:53:26,still
2016-03-29 14:25:44,still
2016-03-29 14:57:13,still
2016-03-29 15:03:42,walking
2016-03-29 15:28:35,still
2016-03-29 15:53:41,still
2016-03-29 16:07:10,walking
2016-03-29 16:08:56,still
2016-03-29 16:28:09,walking
2016-03-29 16:30:57,still
2016-03-29 17:40:59,walking
2016-03-29 17:49:55,still
2016-03-29 17:59:00,walking
2016-03-29 18:07:09,walking
2016-03-29 18:08:40,in_vehicle
2016-03-29 18:18:35,still
2016-03-29 18:25:49,still
2016-03-29 18:49:15,still
2016-03-29 18:54:01,walking
2016-03-29 18:56:17,still
2016-03-29 20:03:06,in_vehicle
2016-03-29 20:19:57,still
2016-03-29 20:43:01,walking
2016-03-29 20:44:20,still
2016-03-29 21:15:01,walking
2016-03-29 21:16:01,still
2016-03-29 23:07:25,still
2016-03-30 00:00:00,still
2016-03-30 09:54:56,still
2016-03-30 10:11:42,in_vehicle
2016-03-30 10:41:16,still
2016-03-30 13:11:40,in_vehicle
2016-03-30 13:27:39,still
2016-03-30 14:16:51,still
2016-03-30 14:19:29,walking
2016-03-30 14:24:45,in_vehicle
2016-03-30 15:42:51,still
2016-03-30 15:58:00,walking
2016-03-30 15:59:31,still
2016-03-30 16:05:34,in_vehicle
2016-03-30 17:01:32,walking
2016-03-30 17:03:00,in_vehicle
2016-03-30 17:12:36,still
2016-03-30 17:23:13,walking
2016-03-30 17:32:12,still
2016-03-30 17:37:45,walking
2016-03-30 17:44:17,walking
2016-03-30 17:52:33,walking
2016-03-30 17:57:26,still
2016-03-30 18:00:37,in_vehicle
2016-03-30 18:09:17,walking
2016-03-30 18:27:07,still
2016-03-30 18:29:50,walking
2016-03-30 18:36:46,in_vehicle
2016-03-30 18:50:16,walking
2016-03-30 18:51:38,in_vehicle
2016-03-30 19:57:49,still
2016-03-30 19:59:42,walking
2016-03-30 20:05:16,walking
2016-03-30 20:08:38,in_vehicle
2016-03-30 20:41:01,walking
2016-03-30 20:42:08,still
2016-03-30 21:16:15,in_vehicle
2016-03-30 22:37:30,in_vehicle
2016-03-30 22:50:50,still
2016-03-31 00:00:00,still
2016-03-31 13:03:06,walking
2016-03-31 13:05:01,in_vehicle
2016-03-31 13:27:34,walking
2016-03-31 13:39:58,still
2016-03-31 14:08:19,walking
2016-03-31 14:09:37,walking
2016-03-31 14:14:51,still
2016-03-31 14:16:41,in_vehicle
2016-03-31 14:43:43,still
2016-03-31 14:50:18,in_vehicle
2016-03-31 14:59:14,walking
2016-03-31 15:00:43,in_vehicle
2016-03-31 16:15:23,walking
2016-03-31 16:17:08,in_vehicle
2016-03-31 16:26:13,still
2016-03-31 17:03:04,in_vehicle
2016-03-31 17:28:56,still
2016-03-31 17:42:11,still
2016-03-31 19:00:36,walking
2016-03-31 19:01:44,still
2016-03-31 19:08:01,walking
2016-03-31 19:09:20,walking
2016-03-31 19:13:26,running
2016-03-31 19:20:33,still
2016-03-31 19:21:33,walking
2016-03-31 19:25:28,running
2016-03-31 19:27:20,walking
2016-03-31 19:29:34,still
2016-03-31 19:31:05,walking
2016-03-31 19:32:10,still
2016-03-31 19:34:14,walking
2016-03-31 19:51:34,still
2016-03-31 21:02:37,in_vehicle
2016-03-31 21:15:58,walking
2016-03-31 21:50:46,still
2016-03-31 21:52:17,in_vehicle
2016-03-31 22:00:02,walking
2016-03-31 22:05:53,still
2016-03-31 22:13:37,walking
2016-03-31 22:15:37,still
2016-03-31 22:33:09,still
2016-03-31 22:37:43,in_vehicle
2016-03-31 22:58:52,still
2016-04-01 00:00:00,still
2016-04-01 13:29:26,in_vehicle
2016-04-01 14:37:31,walking
2016-04-01 14:42:31,in_vehicle
2016-04-01 15:07:29,still
2016-04-01 15:08:59,walking
2016-04-01 15:21:56,still
2016-04-01 16:10:13,still
2016-04-01 16:29:07,still
2016-04-01 16:37:31,walking
2016-04-01 16:40:01,still
2016-04-01 17:31:55,still
2016-04-01 17:41:25,in_vehicle
2016-04-01 18:38:20,walking
2016-04-01 18:39:44,in_vehicle
2016-04-01 18:46:17,still
2016-04-01 19:04:18,in_vehicle
2016-04-01 19:17:36,walking
2016-04-01 19:19:10,still
2016-04-01 19:26:55,still
2016-04-01 19:35:46,walking
2016-04-01 19:37:56,still
2016-04-01 19:42:22,in_vehicle
2016-04-01 20:06:43,walking
2016-04-01 20:11:29,still
2016-04-01 20:49:08,walking
2016-04-01 20:50:40,still
2016-04-01 20:51:42,walking
2016-04-01 20:57:58,still
2016-04-01 21:01:01,in_vehicle
2016-04-01 21:47:08,walking
2016-04-01 21:48:14,still
2016-04-01 21:54:46,walking
2016-04-01 21:55:49,in_vehicle
2016-04-01 22:15:23,walking
2016-04-01 22:19:12,still
2016-04-01 22:40:10,walking
2016-04-01 22:43:19,in_vehicle
2016-04-01 23:05:34,still
2016-04-01 23:15:19,in_vehicle
2016-04-02 00:00:00,in_vehicle
2016-04-02 00:13:48,still
2016-04-02 10:15:42,in_vehicle
2016-04-02 10:37:33,still
2016-04-02 11:25:15,in_vehicle
2016-04-02 12:19:37,walking
2016-04-02 12:20:41,still
2016-04-02 12:46:30,walking
2016-04-02 12:47:39,still
2016-04-02 12:51:42,walking
2016-04-02 12:52:56,still
2016-04-02 12:54:34,walking
2016-04-02 12:55:59,still
2016-04-02 13:18:19,walking
2016-04-02 13:19:27,still
2016-04-02 13:50:02,walking
2016-04-02 13:51:57,still
2016-04-02 13:58:28,walking
2016-04-02 13:59:30,still
2016-04-02 14:02:17,walking
2016-04-02 14:03:19,still
2016-04-02 14:42:39,still
2016-04-02 15:34:37,walking
2016-04-02 15:41:31,walking
2016-04-02 15:44:34,still
2016-04-02 15:48:44,in_vehicle
2016-04-02 16:25:00,walking
2016-04-02 16:30:09,in_vehicle
2016-04-02 16:42:41,still
2016-04-02 17:01:11,walking
2016-04-02 17:03:37,still
2016-04-02 17:10:40,still
2016-04-02 17:35:38,walking
2016-04-02 17:36:38,still
2016-04-02 17:41:03,walking
2016-04-02 17:42:07,walking
2016-04-02 17:50:19,in_vehicle
2016-04-02 18:16:05,in_vehicle
2016-04-02 20:13:03,still
2016-04-02 20:52:02,still
2016-04-02 20:53:02,in_vehicle
2016-04-02 21:51:10,still
2016-04-03 02:00:00,still
2016-04-03 10:49:43,walking
2016-04-03 10:50:47,still
2016-04-03 10:53:51,walking
2016-04-03 10:54:51,still
2016-04-03 11:19:57,walking
2016-04-03 11:30:30,in_vehicle
2016-04-03 11:38:56,walking
2016-04-03 11:40:06,still
2016-04-03 12:00:15,still
2016-04-03 13:02:33,walking
2016-04-03 13:07:28,still
2016-04-03 13:08:59,in_vehicle
2016-04-03 14:28:29,still
2016-04-03 14:32:31,walking
2016-04-03 14:33:41,still
2016-04-03 14:35:03,walking
2016-04-03 14:38:43,still
2016-04-03 15:34:29,walking
2016-04-03 15:37:04,still
2016-04-03 15:45:28,in_vehicle
2016-04-03 16:32:39,still
2016-04-03 16:36:31,in_vehicle
2016-04-03 16:54:32,walking
2016-04-03 16:58:57,still
2016-04-03 17:12:28,still
2016-04-03 17:26:18,walking
2016-04-03 17:27:57,still
2016-04-03 17:29:04,walking
2016-04-03 17:38:09,still
2016-04-03 17:45:14,walking
2016-04-03 17:46:14,still
2016-04-03 18:04:36,walking
2016-04-03 18:07:21,in_vehicle
2016-04-03 18:30:46,still
2016-04-03 18:55:38,walking
2016-04-03 18:58:34,still
2016-04-03 19:02:04,walking
2016-04-03 19:06:55,in_vehicle
2016-04-03 19:35:36,walking
2016-04-03 19:36:49,in_vehicle
2016-04-03 19:41:05,walking
2016-04-03 19:46:10,walking
2016-04-03 19:48:02,in_vehicle
2016-04-03 19:49:09,walking
2016-04-03 19:51:22,in_vehicle
2016-04-03 19:56:23,walking
2016-04-03 19:57:39,still
2016-04-03 20:24:19,walking
2016-04-03 20:52:37,still
2016-04-03 21:56:41,walking
2016-04-03 21:57:46,still
2016-04-03 21:59:51,walking
2016-04-03 22:01:23,still
2016-04-03 22:07:39,walking
2016-04-03 22:08:51,still
2016-04-03 22:59:20,walking
2016-04-03 23:00:51,still
2016-04-03 23:38:10,walking
2016-04-03 23:41:19,walking
2016-04-04 02:00:00,still
2016-04-04 02:47:02,still
2016-04-04 09:41:48,walking
2016-04-04 09:42:49,still
2016-04-04 09:45:47,walking
2016-04-04 09:47:08,still
2016-04-04 09:54:46,walking
2016-04-04 09:56:38,walking
2016-04-04 10:00:13,still
2016-04-04 10:08:54,walking
2016-04-04 10:10:27,still
2016-04-04 10:15:50,in_vehicle
2016-04-04 10:53:36,still
2016-04-04 14:06:05,still
2016-04-04 14:18:08,walking
2016-04-04 14:19:40,in_vehicle
2016-04-04 14:28:08,still
