date,ActivFit
2016-01-15 00:00:00,still
2016-01-15 00:26:00,in_vehicle
2016-01-15 00:41:22,still
2016-01-15 01:14:32,still
2016-01-15 02:01:29,still
2016-01-15 08:16:36,in_vehicle
2016-01-15 08:51:33,still
2016-01-15 11:56:27,walking
2016-01-15 11:57:34,still
2016-01-15 12:08:46,walking
2016-01-15 12:12:13,still
2016-01-15 13:00:27,walking
2016-01-15 13:05:59,still
2016-01-15 13:12:04,walking
2016-01-15 13:23:45,still
2016-01-15 16:04:06,still
2016-01-15 16:48:43,walking
2016-01-15 16:51:44,still
2016-01-15 16:54:45,walking
2016-01-15 16:56:16,still
2016-01-15 16:57:47,walking
2016-01-15 17:00:49,in_vehicle
2016-01-15 17:15:54,walking
2016-01-15 17:20:09,still
2016-01-15 17:30:13,walking
2016-01-15 17:34:50,still
2016-01-15 17:52:37,walking
2016-01-15 18:01:42,in_vehicle
2016-01-15 18:23:47,still
2016-01-15 18:35:41,walking
2016-01-15 18:38:08,still
2016-01-15 18:43:42,walking
2016-01-15 18:46:14,still
2016-01-15 18:49:31,walking
2016-01-15 18:56:42,still
2016-01-15 19:05:50,in_vehicle
2016-01-15 19:18:05,still
2016-01-15 19:42:35,in_vehicle
2016-01-15 20:30:34,still
