date,ActivFit
2016-02-05 00:00:00,still
2016-02-05 08:00:23,walking
2016-02-05 08:02:23,in_vehicle
2016-02-05 08:14:11,still
2016-02-05 08:31:15,in_vehicle
2016-02-05 08:40:47,still
2016-02-05 08:42:01,walking
2016-02-05 08:44:49,still
2016-02-05 12:06:33,walking
2016-02-05 12:13:23,walking
2016-02-05 12:14:55,still
2016-02-05 12:50:23,still
2016-02-05 13:06:42,walking
2016-02-05 13:08:19,still
2016-02-05 13:56:24,walking
2016-02-05 13:58:10,still
2016-02-05 13:59:31,in_vehicle
2016-02-05 14:15:59,walking
2016-02-05 14:21:05,walking
2016-02-05 14:25:43,still
2016-02-05 14:29:40,walking
2016-02-05 14:32:22,still
2016-02-05 15:43:04,still
2016-02-05 22:25:53,still
2016-02-06 00:00:00,still
2016-02-06 00:26:20,still
2016-02-06 10:10:11,walking
2016-02-06 10:16:17,walking
2016-02-06 10:40:38,still
2016-02-06 10:51:11,still
2016-02-06 19:40:23,in_vehicle
2016-02-06 19:46:37,still
2016-02-08 00:00:00,still
2016-02-08 07:59:24,walking
2016-02-08 08:05:02,in_vehicle
2016-02-08 08:16:57,still
2016-02-08 08:20:15,walking
2016-02-08 08:24:50,still
2016-02-08 09:24:34,walking
2016-02-08 09:36:33,still
2016-02-08 09:46:15,walking
2016-02-08 09:48:31,still
2016-02-08 10:02:43,walking
2016-02-08 10:16:12,still
2016-02-08 10:21:05,in_vehicle
2016-02-08 10:33:23,walking
2016-02-08 10:40:53,still
2016-02-08 10:55:10,walking
2016-02-08 11:04:35,still
2016-02-08 11:10:57,walking
2016-02-08 11:19:28,still
2016-02-08 13:57:03,walking
2016-02-08 13:58:29,still
2016-02-08 14:03:04,in_vehicle
2016-02-08 14:33:55,still
2016-02-09 00:00:00,still
2016-02-09 08:29:03,still
2016-02-09 08:48:29,walking
2016-02-09 08:50:42,still
2016-02-09 09:09:58,still
2016-02-09 11:00:49,walking
2016-02-09 11:06:40,still
2016-02-09 12:20:28,still
2016-02-09 12:27:34,walking
2016-02-09 12:30:51,in_vehicle
2016-02-09 12:34:08,walking
2016-02-09 12:35:28,in_vehicle
2016-02-09 12:46:33,still
2016-02-09 13:27:38,walking
2016-02-09 13:28:56,walking
2016-02-09 13:36:00,still
2016-02-09 13:39:34,in_vehicle
2016-02-09 13:49:17,still
2016-02-09 13:58:14,walking
2016-02-09 14:00:47,still
2016-02-09 14:09:38,in_vehicle
2016-02-09 14:30:29,walking
2016-02-09 14:31:40,still
2016-02-09 15:03:08,in_vehicle
2016-02-09 16:21:01,still
