date,ActivFit
2016-02-14 00:00:00,in_vehicle
2016-02-14 00:04:49,walking
2016-02-14 00:07:50,still
2016-02-14 09:28:46,still
2016-02-14 11:56:34,in_vehicle
2016-02-14 12:07:24,still
2016-02-14 12:46:49,walking
2016-02-14 12:48:57,still
2016-02-14 13:04:46,in_vehicle
2016-02-14 13:15:19,still
2016-02-14 13:49:37,still
2016-02-14 13:50:37,walking
2016-02-14 13:51:40,still
2016-02-14 16:13:57,in_vehicle
2016-02-14 16:20:37,still
2016-02-14 16:44:54,still
2016-02-14 16:47:40,still
2016-02-14 17:21:36,in_vehicle
2016-02-14 17:29:43,still
2016-02-14 17:34:31,walking
2016-02-14 17:37:55,still
2016-02-14 21:26:58,still
2016-02-14 21:52:43,in_vehicle
2016-02-14 21:58:20,still
2016-02-14 22:39:01,still
2016-02-14 22:41:57,still
2016-02-14 23:07:57,still
2016-02-15 00:00:00,still
2016-02-15 08:27:20,walking
2016-02-15 08:29:16,still
2016-02-15 08:35:05,in_vehicle
2016-02-15 08:56:03,still
2016-02-15 09:35:16,still
2016-02-15 10:00:13,walking
2016-02-15 10:03:02,walking
2016-02-15 10:07:19,in_vehicle
2016-02-15 10:12:12,walking
2016-02-15 10:13:19,in_vehicle
2016-02-15 11:07:49,walking
2016-02-15 11:16:23,still
2016-02-15 11:23:26,walking
2016-02-15 11:24:27,still
2016-02-15 11:27:27,walking
2016-02-15 11:35:31,still
2016-02-15 11:38:39,walking
2016-02-15 11:44:41,still
2016-02-15 11:46:41,walking
2016-02-15 11:51:13,still
2016-02-15 11:52:43,in_vehicle
2016-02-15 12:05:35,walking
2016-02-15 12:08:03,in_vehicle
2016-02-15 12:11:44,walking
2016-02-15 12:14:20,still
2016-02-15 12:15:50,in_vehicle
2016-02-15 12:44:23,walking
2016-02-15 12:46:47,still
2016-02-15 14:16:44,still
2016-02-15 14:26:20,walking
2016-02-15 14:27:51,in_vehicle
2016-02-15 15:34:06,still
2016-02-15 15:43:21,walking
2016-02-15 15:44:34,still
2016-02-15 16:05:10,in_vehicle
2016-02-15 16:21:19,still
2016-02-15 17:14:04,still
2016-02-17 00:00:00,still
2016-02-17 10:34:15,walking
2016-02-17 10:39:33,still
2016-02-17 14:23:06,still
2016-02-17 14:59:57,still
2016-02-17 20:36:13,walking
2016-02-17 20:42:13,in_vehicle
2016-02-17 21:00:20,walking
2016-02-17 21:02:13,still
2016-02-17 21:18:41,still
