date,ActivFit
2016-05-31 00:00:00,still
2016-05-31 06:01:29,still
2016-05-31 06:39:06,walking
2016-05-31 06:41:03,in_vehicle
2016-05-31 07:05:07,walking
2016-05-31 07:16:05,still
2016-05-31 09:18:52,walking
2016-05-31 09:20:16,still
2016-05-31 10:08:26,walking
2016-05-31 10:15:55,still
2016-05-31 10:25:38,walking
2016-05-31 10:28:48,still
2016-05-31 13:08:53,walking
2016-05-31 13:12:28,still
2016-05-31 13:20:37,walking
2016-05-31 13:22:52,walking
2016-05-31 13:28:20,still
2016-05-31 13:38:20,walking
2016-05-31 13:41:46,still
2016-05-31 14:59:59,walking
2016-05-31 15:02:46,still
2016-05-31 15:06:19,walking
2016-05-31 15:07:59,still
2016-05-31 16:06:14,walking
2016-05-31 16:08:18,still
2016-05-31 16:28:12,walking
2016-05-31 16:35:18,still
2016-05-31 16:54:16,walking
2016-05-31 16:56:53,walking
2016-05-31 17:05:41,in_vehicle
2016-05-31 17:45:27,walking
2016-05-31 17:54:40,still
2016-05-31 17:58:42,walking
2016-05-31 18:01:41,still
2016-05-31 18:04:50,walking
2016-05-31 18:21:31,still
2016-05-31 19:08:24,walking
2016-05-31 19:14:13,in_vehicle
2016-05-31 19:22:47,walking
2016-05-31 19:28:29,still
2016-05-31 19:37:23,walking
2016-05-31 19:45:09,in_vehicle
2016-05-31 19:55:29,still
2016-05-31 20:16:40,walking
2016-05-31 20:18:44,still
2016-05-31 21:01:36,still
2016-05-31 21:20:01,still
2016-06-01 00:00:00,still
2016-06-01 05:47:42,biking
2016-06-01 06:04:39,still
2016-06-01 06:05:47,biking
2016-06-01 06:17:12,biking
2016-06-01 06:27:47,still
2016-06-01 07:10:51,still
2016-06-01 07:20:06,still
2016-06-01 07:21:40,in_vehicle
2016-06-01 07:49:39,walking
2016-06-01 07:53:24,still
2016-06-01 09:43:21,walking
2016-06-01 09:46:33,in_vehicle
2016-06-01 10:05:19,walking
2016-06-01 10:16:09,still
2016-06-01 11:28:23,walking
2016-06-01 11:33:35,still
2016-06-01 12:12:01,walking
2016-06-01 12:20:04,walking
2016-06-01 12:24:12,still
2016-06-01 12:29:14,walking
2016-06-01 12:30:47,still
2016-06-01 13:50:54,walking
2016-06-01 13:53:54,still
2016-06-01 13:55:44,walking
2016-06-01 14:07:57,walking
2016-06-01 14:10:49,still
2016-06-01 16:11:02,still
2016-06-01 16:35:08,walking
2016-06-01 16:36:09,still
2016-06-01 17:00:06,walking
2016-06-01 17:09:46,in_vehicle
2016-06-01 18:02:51,still
2016-06-01 18:12:12,walking
2016-06-01 18:49:29,walking
2016-06-01 19:02:06,still
2016-06-01 19:05:00,walking
2016-06-01 19:06:22,still
2016-06-01 19:15:55,walking
2016-06-01 19:17:00,still
2016-06-01 19:19:24,walking
2016-06-01 19:22:22,in_vehicle
2016-06-01 19:52:46,walking
2016-06-01 19:54:25,still
2016-06-02 00:00:00,still
2016-06-02 06:35:49,in_vehicle
2016-06-02 07:01:33,walking
2016-06-02 07:10:18,still
2016-06-02 08:18:54,walking
2016-06-02 08:19:59,still
2016-06-02 08:45:38,walking
2016-06-02 09:00:57,still
2016-06-02 11:06:48,walking
2016-06-02 11:15:51,walking
2016-06-02 11:24:55,in_vehicle
2016-06-02 11:50:33,walking
2016-06-02 11:53:18,still
2016-06-02 17:00:03,walking
2016-06-02 17:03:25,in_vehicle
2016-06-02 17:34:01,walking
2016-06-02 17:35:10,still
2016-06-02 18:28:49,in_vehicle
2016-06-02 18:44:28,still
2016-06-02 19:03:28,still
2016-06-02 19:47:48,in_vehicle
2016-06-02 20:11:45,walking
2016-06-02 20:18:21,still
2016-06-03 00:00:00,still
2016-06-03 05:59:01,walking
2016-06-03 06:01:27,still
2016-06-03 06:02:58,biking
2016-06-03 06:36:44,biking
2016-06-03 06:51:01,biking
2016-06-03 06:55:15,still
2016-06-03 07:48:38,walking
2016-06-03 07:49:42,still
2016-06-03 08:04:14,still
2016-06-03 08:09:21,in_vehicle
2016-06-03 08:37:31,walking
2016-06-03 08:45:48,still
2016-06-03 09:08:57,still
2016-06-03 09:58:46,walking
2016-06-03 10:03:56,still
2016-06-03 10:11:19,still
2016-06-03 10:49:52,walking
2016-06-03 10:53:58,still
2016-06-03 10:58:09,walking
2016-06-03 11:01:44,still
2016-06-03 11:39:35,walking
2016-06-03 11:42:52,still
2016-06-03 11:57:49,walking
2016-06-03 12:08:00,in_vehicle
2016-06-03 12:42:55,walking
2016-06-03 12:45:25,still
2016-06-03 13:07:58,walking
2016-06-03 13:10:37,still
2016-06-03 15:53:37,walking
2016-06-03 15:57:14,in_vehicle
2016-06-03 16:30:14,still
2016-06-03 16:44:13,walking
2016-06-03 16:55:06,still
2016-06-03 17:14:29,in_vehicle
2016-06-03 17:37:45,walking
2016-06-03 17:42:51,still
2016-06-03 17:45:07,in_vehicle
2016-06-03 17:53:59,still
2016-06-03 18:02:28,walking
2016-06-03 18:04:02,still
2016-06-03 18:13:24,in_vehicle
2016-06-03 18:55:56,walking
2016-06-03 18:58:31,still
2016-06-03 19:20:39,walking
2016-06-03 19:27:47,in_vehicle
2016-06-03 19:39:56,still
2016-06-03 19:48:34,still
2016-06-03 19:57:33,walking
2016-06-03 20:09:14,still
2016-06-04 00:00:00,still
2016-06-04 08:34:13,still
2016-06-04 08:52:47,walking
2016-06-04 08:53:57,still
2016-06-04 09:14:12,in_vehicle
2016-06-04 09:38:17,walking
2016-06-04 09:50:42,walking
2016-06-04 10:02:22,walking
2016-06-04 10:51:21,still
2016-06-04 10:53:32,walking
2016-06-04 11:05:14,walking
2016-06-04 11:13:41,in_vehicle
2016-06-04 11:42:02,still
2016-06-04 13:05:49,still
2016-06-04 13:15:53,in_vehicle
2016-06-04 13:38:22,in_vehicle
2016-06-04 14:30:58,still
2016-06-04 14:35:43,walking
2016-06-04 14:41:28,still
2016-06-04 14:49:52,still
2016-06-04 14:52:34,walking
2016-06-04 14:55:08,still
2016-06-04 15:31:39,in_vehicle
2016-06-04 16:32:16,walking
2016-06-04 16:33:54,still
2016-06-04 16:38:56,still
2016-06-04 16:47:00,walking
2016-06-04 16:52:42,walking
2016-06-04 17:07:15,walking
2016-06-04 17:14:23,in_vehicle
2016-06-04 17:34:04,walking
2016-06-04 17:35:16,in_vehicle
2016-06-04 17:38:21,still
2016-06-04 18:04:12,still
2016-06-04 18:41:30,walking
2016-06-04 18:47:28,in_vehicle
2016-06-04 19:06:52,walking
2016-06-04 19:18:17,still
2016-06-04 19:20:19,in_vehicle
2016-06-04 20:45:06,still
