date,ActivFit
2016-06-01 00:00:00,still
2016-06-01 07:40:47,in_vehicle
2016-06-01 08:13:00,walking
2016-06-01 08:15:01,in_vehicle
2016-06-01 08:53:09,walking
2016-06-01 08:56:29,still
2016-06-01 09:13:13,still
2016-06-01 09:30:44,still
2016-06-01 09:36:33,still
2016-06-01 09:38:06,in_vehicle
2016-06-01 10:01:51,still
2016-06-01 11:28:17,still
2016-06-01 12:27:36,in_vehicle
2016-06-01 13:19:46,still
2016-06-01 13:49:10,walking
2016-06-01 13:50:41,in_vehicle
2016-06-01 14:05:14,still
2016-06-01 16:08:01,still
2016-06-01 17:59:43,in_vehicle
2016-06-01 18:28:46,walking
2016-06-01 18:30:02,walking
2016-06-01 18:31:54,walking
2016-06-01 18:34:23,still
2016-06-01 19:59:54,walking
2016-06-01 20:01:02,walking
2016-06-01 20:03:57,still
2016-06-01 21:30:15,walking
2016-06-01 21:33:53,walking
2016-06-01 21:35:01,still
2016-06-01 21:36:19,in_vehicle
2016-06-01 21:56:34,still
2016-06-02 00:00:00,still
2016-06-02 07:20:19,in_vehicle
2016-06-02 08:41:41,walking
2016-06-02 08:44:23,still
2016-06-02 13:25:21,walking
2016-06-02 13:27:51,walking
2016-06-02 13:30:21,still
2016-06-02 14:02:02,walking
2016-06-02 14:03:35,walking
2016-06-02 14:09:00,walking
2016-06-02 14:12:30,still
2016-06-02 18:45:04,still
