date,ActivFit
2016-05-05 00:00:00,still
2016-05-05 06:13:13,still
2016-05-05 13:54:17,in_vehicle
2016-05-05 14:08:18,still
2016-05-05 14:58:23,still
2016-05-05 15:33:06,in_vehicle
2016-05-05 16:02:32,still
2016-05-05 19:32:54,in_vehicle
2016-05-05 19:40:36,still
2016-05-05 20:23:57,still
2016-05-05 20:27:07,biking
2016-05-05 21:29:16,still
2016-05-05 22:14:19,still
2016-05-05 22:46:32,still
2016-05-06 00:00:00,still
2016-05-06 06:15:06,still
2016-05-06 08:17:24,in_vehicle
2016-05-06 08:38:51,walking
2016-05-06 08:44:02,still
2016-05-06 10:12:05,walking
2016-05-06 10:13:15,walking
2016-05-06 10:15:07,still
2016-05-06 10:23:55,in_vehicle
2016-05-06 10:27:14,still
2016-05-06 10:48:17,still
2016-05-06 13:36:31,walking
2016-05-06 13:39:53,still
2016-05-06 13:57:43,walking
2016-05-06 13:59:35,still
2016-05-06 16:32:57,walking
2016-05-06 16:34:12,still
2016-05-06 16:46:00,walking
2016-05-06 16:48:01,still
2016-05-06 16:56:34,still
2016-05-06 18:19:30,walking
2016-05-06 18:22:21,still
2016-05-06 18:41:34,still
2016-05-06 18:58:33,walking
2016-05-06 19:04:08,still
2016-05-06 20:03:21,in_vehicle
2016-05-06 20:17:37,still
2016-05-06 21:13:11,walking
2016-05-06 21:15:50,walking
2016-05-06 21:17:17,still
2016-05-06 21:57:56,walking
2016-05-06 22:02:56,still
2016-05-06 23:16:00,walking
2016-05-06 23:18:20,still
2016-05-06 23:20:58,still
2016-05-06 23:31:49,in_vehicle
2016-05-07 00:00:00,still
2016-05-07 17:40:03,still
2016-05-07 20:58:11,in_vehicle
2016-05-07 21:18:48,still
2016-05-07 21:41:38,still
2016-05-08 00:00:00,still
2016-05-08 07:28:35,still
2016-05-08 08:51:15,walking
2016-05-08 09:00:43,still
2016-05-08 09:04:34,walking
2016-05-08 09:06:16,still
2016-05-08 09:11:22,walking
2016-05-08 09:16:25,still
2016-05-08 09:18:26,walking
2016-05-08 09:28:17,in_vehicle
2016-05-08 09:32:58,still
2016-05-08 10:05:20,still
2016-05-08 10:20:30,still
2016-05-08 12:36:06,still
2016-05-08 13:58:57,walking
2016-05-08 14:00:31,still
2016-05-08 17:11:39,walking
2016-05-08 17:15:15,still
2016-05-08 17:21:19,walking
2016-05-08 17:22:20,still
2016-05-09 00:00:00,still
2016-05-09 06:36:46,still
2016-05-09 08:17:02,walking
2016-05-09 08:20:41,walking
2016-05-09 08:23:50,in_vehicle
2016-05-09 08:44:48,still
2016-05-09 08:48:18,walking
2016-05-09 08:52:00,still
2016-05-09 10:25:01,walking
2016-05-09 10:27:28,still
2016-05-09 13:32:11,walking
2016-05-09 13:44:59,still
2016-05-09 13:49:12,walking
2016-05-09 14:01:10,in_vehicle
2016-05-09 14:10:58,walking
2016-05-09 14:13:32,still
2016-05-09 18:37:45,walking
2016-05-09 18:42:42,in_vehicle
2016-05-09 19:12:00,still
2016-05-09 19:51:38,walking
2016-05-09 19:58:15,still
2016-05-09 20:50:16,still
2016-05-10 00:00:00,still
2016-05-10 06:14:23,still
2016-05-10 08:13:59,walking
2016-05-10 08:21:41,walking
2016-05-10 08:25:34,in_vehicle
2016-05-10 08:43:07,walking
2016-05-10 08:49:30,still
2016-05-10 13:07:28,still
2016-05-10 15:25:09,walking
2016-05-10 15:27:08,still
2016-05-10 19:16:49,walking
2016-05-10 19:22:37,in_vehicle
2016-05-10 19:38:55,walking
2016-05-10 19:45:21,walking
2016-05-10 19:46:42,still
2016-05-10 22:52:37,walking
2016-05-10 22:57:29,still
2016-05-11 00:00:00,still
2016-05-11 05:47:19,still
2016-05-11 11:51:23,walking
