date,ActivFit
2016-06-28 06:27:23,still
2016-06-28 07:11:02,walking
2016-06-28 07:17:29,in_vehicle
2016-06-28 07:47:53,walking
2016-06-28 07:49:27,in_vehicle
2016-06-28 08:12:13,walking
2016-06-28 08:21:00,still
2016-06-28 08:25:16,walking
2016-06-28 08:26:24,still
2016-06-28 10:22:34,still
2016-06-28 12:22:39,walking
2016-06-28 12:25:29,still
2016-06-28 12:31:03,in_vehicle
2016-06-28 13:02:10,still
2016-06-28 14:20:53,walking
2016-06-28 14:22:35,still
2016-06-28 14:30:29,still
2016-06-28 14:58:31,walking
2016-06-28 14:59:46,still
2016-06-28 15:10:12,walking
2016-06-28 15:14:45,walking
2016-06-28 15:16:01,still
2016-06-28 16:17:14,still
2016-06-28 16:57:52,walking
2016-06-28 17:08:44,in_vehicle
2016-06-28 17:34:42,walking
2016-06-28 17:36:54,in_vehicle
2016-06-28 18:11:44,walking
2016-06-28 18:12:58,in_vehicle
2016-06-28 18:18:07,still
2016-06-28 18:36:17,still
2016-06-28 19:04:09,still
2016-06-28 19:07:14,in_vehicle
2016-06-28 19:26:46,walking
2016-06-28 19:27:57,still
