date,ActivFit
2016-01-18 00:00:00,still
2016-01-18 01:11:10,in_vehicle
2016-01-18 01:26:15,still
2016-01-18 03:15:07,still
2016-01-18 12:24:57,still
2016-01-18 13:34:03,still
2016-01-18 13:52:57,walking
2016-01-18 14:00:49,still
2016-01-18 14:39:44,in_vehicle
2016-01-18 14:46:26,still
2016-01-18 15:10:03,walking
2016-01-18 15:18:48,walking
2016-01-18 15:20:50,walking
2016-01-18 15:24:21,still
2016-01-18 15:33:25,walking
2016-01-18 15:43:57,walking
2016-01-18 15:48:01,still
2016-01-18 16:27:22,still
2016-01-18 18:06:11,walking
2016-01-18 18:08:57,walking
2016-01-18 18:10:58,still
2016-01-18 19:44:41,still
2016-01-19 00:00:00,still
2016-01-19 02:02:32,still
2016-01-19 02:30:44,walking
2016-01-19 02:31:50,still
2016-01-19 08:39:00,still
2016-01-19 09:26:12,walking
2016-01-19 09:46:26,in_vehicle
2016-01-19 10:02:47,still
2016-01-19 10:23:19,in_vehicle
2016-01-19 10:55:41,still
2016-01-19 10:57:45,walking
2016-01-19 10:59:45,still
2016-01-19 11:01:47,walking
2016-01-19 11:02:47,still
2016-01-19 11:56:19,walking
2016-01-19 11:57:54,still
2016-01-19 12:07:58,walking
2016-01-19 12:17:28,still
2016-01-19 12:30:34,still
2016-01-19 12:52:09,still
2016-01-19 13:59:05,walking
2016-01-19 14:03:06,still
2016-01-19 14:43:47,walking
2016-01-19 14:45:48,still
2016-01-19 16:02:15,walking
2016-01-19 16:04:48,still
2016-01-19 16:07:50,walking
2016-01-19 16:20:31,still
2016-01-19 16:27:30,walking
2016-01-19 16:36:20,walking
2016-01-19 16:37:27,still
2016-01-19 17:07:51,walking
2016-01-19 17:17:55,still
2016-01-19 17:22:34,walking
2016-01-19 17:33:36,still
2016-01-19 17:37:59,walking
2016-01-19 17:39:58,walking
2016-01-19 17:41:00,walking
2016-01-19 17:47:38,still
2016-01-19 18:30:31,biking
2016-01-19 18:42:39,still
2016-01-19 18:58:48,walking
2016-01-19 19:21:31,still
2016-01-19 19:23:02,in_vehicle
2016-01-19 19:40:05,still
2016-01-19 19:42:01,walking
2016-01-19 19:55:49,still
2016-01-19 20:36:10,walking
2016-01-19 20:37:10,in_vehicle
2016-01-19 20:51:58,still
2016-01-19 21:31:16,still
2016-01-20 00:00:00,still
2016-01-20 11:03:15,still
2016-01-20 13:42:37,walking
2016-01-20 13:45:21,still
2016-01-20 13:56:53,still
2016-01-20 18:47:50,still
2016-01-20 19:07:07,still
2016-01-20 21:46:28,in_vehicle
2016-01-20 21:55:41,still
2016-01-20 22:57:10,still
2016-01-21 00:00:00,still
2016-01-21 09:52:01,walking
2016-01-21 09:53:36,in_vehicle
2016-01-21 10:01:33,walking
2016-01-21 10:02:47,in_vehicle
2016-01-21 10:24:04,walking
2016-01-21 10:30:08,still
2016-01-21 10:32:08,walking
2016-01-21 10:36:42,still
2016-01-21 10:42:32,still
2016-01-21 10:51:59,walking
2016-01-21 10:57:32,in_vehicle
2016-01-21 11:30:39,still
2016-01-21 11:41:13,walking
2016-01-21 11:46:47,walking
2016-01-21 11:50:33,still
2016-01-21 12:20:40,walking
2016-01-21 12:26:42,still
2016-01-21 12:32:50,walking
2016-01-21 12:33:52,still
2016-01-21 12:36:24,still
2016-01-21 12:38:58,in_vehicle
2016-01-21 12:49:53,still
2016-01-21 12:53:37,walking
2016-01-21 12:54:46,still
2016-01-21 12:56:17,in_vehicle
2016-01-21 13:05:02,walking
2016-01-21 13:12:12,in_vehicle
2016-01-21 13:27:27,walking
2016-01-21 13:41:13,still
2016-01-21 16:33:59,walking
2016-01-21 16:37:59,still
2016-01-21 16:48:59,walking
2016-01-21 16:59:58,still
2016-01-21 20:41:18,still
2016-01-21 22:40:26,in_vehicle
2016-01-21 22:50:27,in_vehicle
2016-01-21 23:02:04,still
2016-01-23 00:00:00,still
2016-01-23 10:05:03,walking
2016-01-23 10:07:29,still
2016-01-23 10:10:24,in_vehicle
2016-01-23 10:47:47,walking
2016-01-23 10:53:22,still
2016-01-23 11:01:14,walking
2016-01-23 11:09:44,still
2016-01-23 12:06:58,walking
2016-01-23 12:17:07,still
2016-01-23 14:32:31,walking
2016-01-23 14:34:02,in_vehicle
2016-01-23 14:43:47,walking
2016-01-23 14:48:12,still
2016-01-23 22:00:57,still
