date,ActivFit
2016-02-22 00:00:00,still
2016-02-22 00:53:45,still
2016-02-22 07:42:19,still
2016-02-22 07:49:21,walking
2016-02-22 07:56:06,walking
2016-02-22 08:01:12,in_vehicle
2016-02-22 08:29:22,still
2016-02-22 08:41:15,walking
2016-02-22 08:45:23,walking
2016-02-22 08:51:47,still
2016-02-22 08:56:11,still
2016-02-22 11:08:44,in_vehicle
2016-02-22 11:33:12,still
2016-02-22 12:16:45,walking
2016-02-22 12:24:38,in_vehicle
2016-02-22 12:49:50,walking
2016-02-22 12:55:52,still
2016-02-22 12:59:13,still
2016-02-22 18:08:32,in_vehicle
2016-02-22 18:31:30,still
2016-02-22 19:26:45,walking
2016-02-22 19:31:25,walking
2016-02-22 19:33:54,walking
2016-02-22 19:37:09,in_vehicle
2016-02-22 20:28:07,walking
2016-02-22 20:30:15,still
2016-02-22 20:48:40,walking
2016-02-22 20:51:30,in_vehicle
2016-02-22 21:29:24,in_vehicle
2016-02-22 21:35:55,still
2016-02-23 00:00:00,still
2016-02-23 06:38:54,in_vehicle
2016-02-23 07:35:41,in_vehicle
2016-02-23 07:36:41,walking
2016-02-23 07:47:37,in_vehicle
2016-02-23 08:23:31,walking
2016-02-23 08:36:36,still
2016-02-23 12:07:58,walking
2016-02-23 12:09:26,still
2016-02-23 12:14:55,walking
2016-02-23 12:20:33,walking
2016-02-23 12:22:19,still
2016-02-23 12:48:40,walking
2016-02-23 12:52:30,still
2016-02-23 12:57:48,walking
2016-02-23 12:59:07,still
2016-02-23 15:16:18,walking
2016-02-23 15:19:00,still
2016-02-23 15:37:38,still
2016-02-23 17:15:41,walking
2016-02-23 17:22:55,walking
2016-02-23 17:25:20,in_vehicle
2016-02-23 17:50:01,still
2016-02-23 17:53:50,walking
2016-02-23 17:54:50,walking
2016-02-23 18:01:59,still
2016-02-23 18:04:08,in_vehicle
2016-02-23 18:14:32,walking
2016-02-23 18:25:03,still
2016-02-23 18:42:35,walking
2016-02-23 18:48:48,walking
2016-02-23 18:50:19,walking
2016-02-23 18:54:19,still
2016-02-23 22:12:42,walking
2016-02-23 22:20:36,in_vehicle
2016-02-23 22:34:31,walking
2016-02-23 22:37:48,in_vehicle
2016-02-23 22:45:06,walking
2016-02-23 22:58:57,still
2016-02-23 23:15:11,still
2016-02-24 00:00:00,still
2016-02-24 06:38:50,in_vehicle
2016-02-24 07:05:36,still
2016-02-24 07:24:27,still
2016-02-24 07:56:08,walking
2016-02-24 08:09:10,in_vehicle
2016-02-24 08:48:34,walking
2016-02-24 09:02:53,still
2016-02-24 12:07:37,walking
2016-02-24 12:16:28,still
2016-02-24 13:02:52,still
2016-02-24 13:04:47,walking
2016-02-24 13:07:38,walking
2016-02-24 13:11:51,still
2016-02-24 15:52:48,in_vehicle
2016-02-24 16:19:54,still
2016-02-24 18:49:31,walking
2016-02-24 18:57:55,still
2016-02-24 19:13:54,walking
2016-02-24 19:25:48,still
2016-02-24 19:37:40,still
2016-02-24 19:40:14,walking
2016-02-24 19:57:02,still
2016-02-24 20:23:05,walking
2016-02-24 20:29:44,still
2016-02-24 20:36:09,walking
2016-02-24 20:40:28,still
2016-02-24 20:41:35,walking
2016-02-24 20:46:15,still
2016-02-24 20:48:24,walking
2016-02-24 20:54:26,still
2016-02-24 21:29:19,walking
2016-02-24 21:30:29,walking
2016-02-24 21:49:14,in_vehicle
2016-02-24 22:03:34,walking
2016-02-24 22:08:16,in_vehicle
