date,ActivFit
2016-01-06 00:00:04,walking
2016-01-06 00:01:54,still
2016-01-06 13:23:05,still
2016-01-06 19:53:58,in_vehicle
2016-01-06 21:10:34,walking
2016-01-06 21:11:38,in_vehicle
2016-01-06 22:38:41,still
2016-01-06 23:04:00,still
2016-01-08 00:00:00,still
2016-01-08 21:29:32,walking
2016-01-08 21:36:01,still
2016-01-08 22:02:32,still
2016-01-09 00:00:00,still
2016-01-09 10:00:40,still
2016-01-09 11:05:49,still
2016-01-09 14:02:00,walking
2016-01-09 14:05:00,still
2016-01-09 14:10:27,walking
2016-01-09 14:12:56,still
2016-01-09 14:18:23,in_vehicle
2016-01-09 14:38:21,walking
2016-01-09 14:50:13,still
2016-01-09 14:54:17,walking
2016-01-09 14:56:50,still
2016-01-09 15:36:27,still
2016-01-09 15:56:52,walking
2016-01-09 16:12:38,walking
2016-01-09 16:24:56,walking
2016-01-09 16:36:09,walking
2016-01-09 16:48:12,still
2016-01-09 16:51:22,walking
2016-01-09 16:55:56,still
2016-01-09 17:10:12,walking
2016-01-09 17:15:49,still
2016-01-09 17:19:51,walking
2016-01-09 17:26:58,still
2016-01-09 17:53:46,still
2016-01-09 18:15:17,still
2016-01-09 18:24:58,walking
2016-01-09 18:29:58,walking
2016-01-09 18:33:37,still
2016-01-09 18:36:10,walking
2016-01-09 18:54:48,still
2016-01-09 18:59:53,walking
2016-01-09 19:03:57,still
2016-01-09 19:18:01,walking
2016-01-09 19:34:31,still
2016-01-09 19:46:58,still
2016-01-09 19:59:13,walking
2016-01-09 20:01:59,in_vehicle
2016-01-09 20:18:02,still
2016-01-09 20:24:38,walking
2016-01-09 20:25:48,walking
2016-01-09 20:27:48,in_vehicle
2016-01-09 20:42:16,still
2016-01-09 21:36:05,still
2016-01-09 21:50:53,still
2016-01-09 23:20:00,still
2016-01-09 23:25:28,walking
2016-01-09 23:29:15,in_vehicle
2016-01-10 00:00:00,in_vehicle
2016-01-10 00:19:32,still
2016-01-10 02:18:41,still
2016-01-10 14:04:27,walking
2016-01-10 14:07:50,in_vehicle
2016-01-10 14:41:25,walking
2016-01-10 14:44:43,still
2016-01-10 14:47:07,walking
2016-01-10 14:57:37,walking
2016-01-10 14:59:48,in_vehicle
2016-01-10 15:24:00,walking
2016-01-10 15:25:17,walking
2016-01-10 15:32:44,walking
2016-01-10 15:36:07,walking
2016-01-10 15:43:09,still
2016-01-10 15:45:59,walking
2016-01-10 15:55:00,walking
2016-01-10 16:02:25,still
2016-01-10 16:08:31,still
2016-01-10 16:11:33,walking
2016-01-10 16:13:04,in_vehicle
2016-01-10 16:22:22,walking
2016-01-10 16:27:00,walking
2016-01-10 16:28:59,still
2016-01-10 19:15:59,walking
2016-01-10 19:17:00,still
2016-01-10 21:22:56,still
2016-01-10 21:38:58,walking
2016-01-10 21:39:58,still
2016-01-10 21:46:46,walking
2016-01-10 21:49:41,still
2016-01-10 21:58:04,walking
2016-01-10 22:09:18,still
2016-01-10 22:17:22,in_vehicle
2016-01-10 22:54:45,walking
2016-01-10 23:07:00,still
2016-01-10 23:15:56,walking
2016-01-10 23:19:59,walking
2016-01-10 23:20:59,in_vehicle
2016-01-10 23:26:34,walking
2016-01-10 23:28:05,walking
2016-01-10 23:32:46,walking
2016-01-10 23:33:56,still
2016-01-11 00:00:00,still
2016-01-11 04:36:01,in_vehicle
2016-01-11 09:38:18,still
2016-01-11 15:57:20,still
2016-01-11 16:34:54,in_vehicle
2016-01-11 16:38:48,walking
2016-01-11 16:40:00,walking
2016-01-11 16:41:45,in_vehicle
2016-01-11 17:08:31,walking
2016-01-11 17:17:34,walking
2016-01-11 17:18:37,walking
2016-01-11 17:30:20,walking
2016-01-11 17:41:11,running
2016-01-11 17:42:11,walking
2016-01-11 17:45:13,still
2016-01-11 17:48:15,walking
2016-01-11 17:55:22,in_vehicle
2016-01-11 18:12:38,walking
2016-01-11 18:14:00,in_vehicle
2016-01-11 18:15:52,walking
2016-01-11 18:21:23,walking
2016-01-11 18:26:22,still
2016-01-11 23:17:03,still
2016-01-12 00:00:00,still
2016-01-12 14:43:51,still
2016-01-12 15:16:47,walking
2016-01-12 15:20:38,walking
2016-01-12 15:22:15,in_vehicle
2016-01-12 15:52:02,walking
2016-01-12 16:02:44,still
2016-01-12 16:07:27,walking
2016-01-12 16:11:34,still
2016-01-12 16:17:07,walking
2016-01-12 16:18:11,walking
2016-01-12 16:34:38,still
2016-01-12 16:43:35,walking
2016-01-12 16:51:44,still
