date,ActivFit
2016-06-22 00:00:00,still
2016-06-22 16:16:57,walking
2016-06-22 16:21:27,walking
2016-06-22 16:22:33,still
2016-06-22 18:14:56,walking
2016-06-22 18:19:39,still
2016-06-23 00:00:00,still
2016-06-23 01:19:36,still
2016-06-23 22:35:01,still
2016-06-24 00:00:00,still
2016-06-24 08:12:21,still
2016-06-24 12:36:10,walking
2016-06-24 13:06:09,still
2016-06-24 13:19:40,walking
2016-06-24 13:24:35,still
2016-06-24 13:33:07,walking
2016-06-24 13:58:35,still
2016-06-24 14:41:53,walking
2016-06-24 14:47:55,still
2016-06-24 20:28:39,walking
2016-06-24 20:31:47,still
2016-06-24 22:11:32,still
2016-06-24 22:15:29,walking
2016-06-24 22:17:04,still
2016-06-24 22:27:22,still
2016-06-25 00:00:00,still
2016-06-25 15:59:56,walking
2016-06-25 16:06:52,walking
2016-06-25 16:09:07,still
2016-06-25 17:39:27,walking
2016-06-25 17:43:36,still
2016-06-25 21:13:50,still
2016-06-26 00:00:00,still
2016-06-26 17:46:53,still
