date,ActivFit
2016-04-12 00:00:00,still
2016-04-12 09:20:54,still
2016-04-12 09:31:36,still
2016-04-12 09:37:13,walking
2016-04-12 09:43:46,running
2016-04-12 09:47:46,walking
2016-04-12 09:59:29,still
2016-04-12 11:46:14,walking
2016-04-12 11:51:06,still
2016-04-12 13:36:39,walking
2016-04-12 13:37:42,still
2016-04-12 13:40:28,walking
2016-04-12 13:43:11,still
2016-04-12 15:06:18,walking
2016-04-12 15:07:43,in_vehicle
2016-04-12 15:16:25,still
2016-04-12 15:23:01,walking
2016-04-12 15:25:04,still
2016-04-12 15:40:46,in_vehicle
2016-04-12 16:15:03,walking
2016-04-12 16:23:01,still
2016-04-12 17:37:52,walking
2016-04-12 17:40:24,still
2016-04-12 18:12:51,still
2016-04-12 19:47:23,walking
2016-04-12 19:49:57,walking
2016-04-12 19:51:07,in_vehicle
2016-04-12 20:02:10,walking
2016-04-12 20:04:50,still
2016-04-14 00:00:00,still
2016-04-14 10:03:43,walking
2016-04-14 10:06:43,running
2016-04-14 10:14:47,walking
2016-04-14 10:27:38,still
2016-04-14 10:46:14,walking
2016-04-14 10:47:26,still
2016-04-14 10:50:47,walking
2016-04-14 10:52:21,still
2016-04-14 11:48:16,walking
2016-04-14 11:50:24,running
2016-04-14 11:57:09,walking
2016-04-14 12:09:35,still
2016-04-14 12:29:40,walking
2016-04-14 12:31:11,still
2016-04-14 14:22:51,walking
2016-04-14 14:48:14,still
2016-04-14 15:17:11,walking
2016-04-14 15:19:06,still
2016-04-14 17:47:32,walking
2016-04-14 17:49:00,still
2016-04-14 19:17:00,walking
2016-04-14 19:25:45,still
2016-04-14 19:27:51,in_vehicle
2016-04-14 19:40:49,still
2016-04-14 20:04:27,in_vehicle
2016-04-14 20:13:30,still
2016-04-14 23:14:57,still
2016-04-15 00:00:00,still
2016-04-15 07:55:15,still
2016-04-15 08:14:51,walking
2016-04-15 08:38:44,still
2016-04-15 09:22:31,walking
2016-04-15 09:25:08,still
2016-04-15 09:35:43,walking
2016-04-15 09:37:44,still
2016-04-15 11:39:13,walking
2016-04-15 11:42:49,in_vehicle
2016-04-15 11:49:15,still
2016-04-15 12:34:35,still
2016-04-15 12:52:23,walking
2016-04-15 13:14:31,still
2016-04-15 13:19:37,walking
2016-04-15 13:20:38,running
2016-04-15 13:27:00,walking
2016-04-15 13:32:44,still
2016-04-15 13:40:30,walking
2016-04-15 13:47:30,still
2016-04-15 14:27:40,walking
2016-04-15 14:29:11,still
2016-04-15 15:24:49,walking
2016-04-15 15:36:47,running
2016-04-15 15:48:33,walking
2016-04-15 16:15:23,still
2016-04-15 16:37:26,still
2016-04-15 21:51:41,walking
2016-04-15 21:55:30,still
2016-04-15 23:18:24,still
2016-04-16 00:00:00,still
2016-04-16 18:17:16,walking
2016-04-16 18:18:19,still
2016-04-16 22:53:56,still
2016-04-17 00:00:00,still
2016-04-17 13:23:55,still
2016-04-17 13:26:55,walking
2016-04-17 13:33:10,still
2016-04-17 17:39:33,still
2016-04-17 17:41:41,still
2016-04-17 22:19:18,still
2016-04-18 00:00:00,still
2016-04-18 08:15:42,walking
2016-04-18 08:38:47,still
2016-04-18 09:01:48,walking
2016-04-18 09:03:40,still
2016-04-18 10:20:58,walking
2016-04-18 10:24:31,still
2016-04-18 10:26:06,walking
2016-04-18 10:27:34,still
2016-04-18 10:43:31,in_vehicle
2016-04-18 11:57:38,still
2016-04-18 12:53:42,walking
2016-04-18 12:57:56,still
2016-04-18 13:18:41,walking
2016-04-18 13:24:10,still
2016-04-18 15:55:35,walking
2016-04-18 16:00:20,still
2016-04-18 17:00:09,running
2016-04-18 17:03:59,in_vehicle
2016-04-18 17:12:50,still
2016-04-18 17:15:13,walking
2016-04-18 17:16:18,still
2016-04-18 20:06:15,still
2016-04-19 00:00:00,still
2016-04-19 08:17:20,walking
2016-04-19 08:43:20,still
2016-04-19 10:45:09,walking
2016-04-19 10:47:52,in_vehicle
2016-04-19 10:52:23,still
2016-04-19 11:21:26,still
2016-04-19 11:41:17,walking
2016-04-19 11:48:44,still
2016-04-19 12:21:25,walking
2016-04-19 12:23:26,still
2016-04-19 12:34:43,walking
2016-04-19 12:38:28,still
2016-04-19 14:12:59,walking
2016-04-19 14:16:30,still
2016-04-19 14:46:09,walking
2016-04-19 14:47:42,still
2016-04-19 14:48:45,walking
2016-04-19 14:54:17,still
2016-04-19 15:12:21,walking
2016-04-19 15:15:24,still
2016-04-19 15:16:49,walking
2016-04-19 15:42:00,still
2016-04-19 17:47:32,still
2016-04-19 20:39:35,still
