date,ActivFit
2016-01-13 00:00:00,still
2016-01-13 00:03:34,still
2016-01-13 02:53:05,walking
2016-01-13 03:04:20,walking
2016-01-13 03:08:38,walking
2016-01-13 03:13:11,still
2016-01-13 16:34:53,still
2016-01-13 18:05:23,walking
2016-01-13 18:06:26,still
2016-01-13 18:16:37,in_vehicle
2016-01-13 18:28:24,still
2016-01-13 18:43:43,walking
2016-01-13 18:45:59,still
2016-01-13 18:47:02,walking
2016-01-13 18:48:15,still
2016-01-13 19:52:37,walking
2016-01-13 19:53:49,still
2016-01-13 23:08:44,still
2016-01-15 00:00:00,still
2016-01-15 03:00:13,running
2016-01-15 03:03:10,walking
2016-01-15 03:13:13,still
2016-01-15 03:44:57,walking
2016-01-15 03:47:25,still
2016-01-15 14:51:39,walking
2016-01-15 14:52:56,still
2016-01-17 00:00:00,still
2016-01-17 08:26:27,in_vehicle
2016-01-17 08:38:20,walking
2016-01-17 08:42:19,still
2016-01-17 08:56:52,still
2016-01-17 09:56:52,still
2016-01-17 11:24:16,still
2016-01-17 12:50:48,still
2016-01-17 14:37:44,walking
2016-01-17 14:38:47,still
2016-01-17 17:36:05,walking
2016-01-17 17:41:37,still
2016-01-17 17:43:00,walking
2016-01-17 17:44:02,in_vehicle
2016-01-17 17:59:47,walking
2016-01-17 18:02:36,still
2016-01-17 18:58:33,walking
2016-01-17 19:10:48,still
2016-01-17 19:35:27,walking
2016-01-17 19:38:02,running
2016-01-17 19:41:14,walking
2016-01-17 19:42:46,still
2016-01-17 20:10:43,in_vehicle
2016-01-17 20:45:42,walking
2016-01-17 20:47:12,in_vehicle
2016-01-17 20:51:21,still
2016-01-18 00:00:00,still
2016-01-18 16:23:08,walking
2016-01-18 16:24:10,still
2016-01-18 16:26:44,in_vehicle
2016-01-18 16:38:49,walking
2016-01-18 16:41:55,still
2016-01-18 16:55:59,still
2016-01-18 21:10:38,still
2016-01-18 21:37:54,walking
2016-01-18 21:40:37,still
2016-01-18 21:44:18,in_vehicle
2016-01-18 21:56:15,walking
2016-01-18 22:01:29,still
2016-01-19 00:00:00,still
2016-01-19 02:02:24,walking
2016-01-19 02:06:30,running
2016-01-19 02:09:52,walking
2016-01-19 02:12:58,still
2016-01-19 10:19:59,still
2016-01-19 11:44:04,still
2016-01-19 12:15:30,still
2016-01-19 12:22:50,walking
2016-01-19 12:24:22,still
2016-01-19 12:26:53,in_vehicle
2016-01-19 12:38:39,running
2016-01-19 12:40:37,walking
2016-01-19 12:42:16,still
2016-01-19 13:49:59,in_vehicle
2016-01-19 13:59:58,still
2016-01-19 15:18:46,still
2016-01-19 16:14:01,walking
2016-01-19 16:16:57,still
2016-01-19 16:20:01,walking
2016-01-19 16:26:07,in_vehicle
2016-01-19 16:51:25,walking
2016-01-19 16:52:26,in_vehicle
2016-01-19 16:54:57,walking
2016-01-19 16:56:19,still
2016-01-19 21:07:37,still
2016-01-19 21:14:32,walking
2016-01-19 21:21:41,still
2016-01-19 21:37:49,walking
2016-01-19 21:39:25,in_vehicle
2016-01-19 21:53:24,walking
2016-01-19 21:57:45,still
2016-01-20 00:00:00,still
2016-01-20 00:33:56,walking
2016-01-20 00:36:57,running
2016-01-20 00:38:58,walking
2016-01-20 00:44:47,still
2016-01-20 07:34:44,in_vehicle
2016-01-20 07:39:39,still
2016-01-20 08:19:38,walking
2016-01-20 08:24:17,in_vehicle
2016-01-20 08:37:33,walking
2016-01-20 08:44:01,still
2016-01-20 08:52:45,walking
2016-01-20 08:54:47,still
2016-01-20 13:05:25,walking
2016-01-20 13:16:00,still
2016-01-20 13:44:55,walking
2016-01-20 13:46:46,still
2016-01-20 15:07:22,still
2016-01-20 17:06:59,walking
2016-01-20 17:38:00,in_vehicle
2016-01-20 18:34:11,still
2016-01-20 23:29:40,still
2016-01-23 00:00:00,in_vehicle
2016-01-23 00:08:52,still
2016-01-23 01:35:35,walking
2016-01-23 01:38:41,still
2016-01-23 09:20:24,still
2016-01-23 14:00:29,walking
2016-01-23 14:01:52,still
2016-01-23 14:05:33,in_vehicle
2016-01-23 14:13:44,walking
2016-01-23 14:18:46,still
2016-01-23 14:44:10,walking
2016-01-23 14:46:06,walking
2016-01-23 15:02:41,still
2016-01-23 15:52:12,walking
2016-01-23 16:13:27,still
2016-01-23 16:52:31,still
2016-01-23 16:54:23,walking
2016-01-23 16:56:36,still
2016-01-23 17:05:25,in_vehicle
2016-01-23 17:16:09,walking
2016-01-23 17:26:46,still
2016-01-23 17:31:00,still
2016-01-23 17:51:30,walking
2016-01-23 17:56:21,still
2016-01-23 23:29:43,still
2016-01-24 00:00:00,still
2016-01-24 10:57:10,still
2016-01-24 15:44:23,still
2016-01-24 16:22:10,walking
2016-01-24 16:23:46,still
2016-01-24 16:30:38,in_vehicle
2016-01-24 16:40:50,walking
2016-01-24 16:53:49,still
2016-01-24 17:51:00,still
2016-01-24 21:10:20,still
2016-01-24 21:28:10,walking
2016-01-24 21:33:37,still
2016-01-24 21:46:32,walking
2016-01-24 21:49:03,in_vehicle
2016-01-25 00:00:00,still
2016-01-25 01:41:53,walking
2016-01-25 01:43:31,walking
2016-01-25 01:56:46,still
2016-01-25 07:05:27,still
2016-01-25 08:22:04,in_vehicle
2016-01-25 08:35:40,walking
2016-01-25 08:36:47,walking
2016-01-25 08:40:19,still
2016-01-25 08:56:07,walking
2016-01-25 08:59:24,still
2016-01-25 09:24:23,still
2016-01-25 10:39:57,still
2016-01-25 11:12:21,still
2016-01-25 12:02:34,walking
2016-01-25 12:06:43,still
2016-01-25 13:00:29,walking
2016-01-25 13:04:05,still
2016-01-25 13:12:18,still
2016-01-25 13:38:00,walking
2016-01-25 13:40:06,still
2016-01-25 17:03:49,walking
2016-01-25 17:12:25,still
2016-01-25 17:15:20,walking
2016-01-25 17:31:35,still
2016-01-25 17:56:22,walking
2016-01-25 17:58:58,still
2016-01-25 18:04:06,in_vehicle
2016-01-25 18:21:37,still
2016-01-25 21:22:12,in_vehicle
2016-01-25 21:53:40,still
2016-01-25 23:11:25,still
2016-01-26 00:00:00,still
2016-01-26 08:42:26,in_vehicle
2016-01-26 08:59:01,walking
2016-01-26 09:10:08,still
2016-01-26 10:13:00,walking
2016-01-26 10:15:49,still
2016-01-26 10:32:17,walking
2016-01-26 10:42:26,still
2016-01-26 12:23:33,still
2016-01-26 13:04:44,still
2016-01-26 13:40:42,walking
2016-01-26 13:42:20,still
2016-01-26 14:19:12,still
2016-01-26 15:01:32,walking
2016-01-26 15:03:41,still
2016-01-26 16:54:51,in_vehicle
2016-01-26 17:12:11,walking
2016-01-26 17:17:58,still
2016-01-26 17:21:18,walking
2016-01-26 17:22:20,walking
2016-01-26 17:23:21,still
2016-01-26 17:26:06,in_vehicle
2016-01-26 17:39:11,walking
2016-01-26 17:43:28,still
2016-01-26 19:38:31,still
2016-01-26 20:26:44,running
2016-01-26 20:27:46,walking
2016-01-26 20:34:49,still
2016-01-26 22:00:24,still
2016-01-27 00:00:00,still
2016-01-27 01:57:02,walking
2016-01-27 01:59:26,walking
2016-01-27 02:10:43,still
2016-01-27 12:18:57,walking
2016-01-27 12:23:04,in_vehicle
2016-01-27 12:35:14,walking
2016-01-27 12:38:24,still
2016-01-27 12:43:58,walking
2016-01-27 12:45:28,still
2016-01-27 14:31:23,walking
2016-01-27 14:33:39,still
2016-01-27 15:59:26,walking
2016-01-27 16:00:55,still
2016-01-27 16:09:38,still
2016-01-27 16:16:33,walking
2016-01-27 16:19:47,still
2016-01-27 16:53:49,walking
2016-01-27 16:57:39,still
2016-01-27 21:14:24,walking
2016-01-27 21:17:46,running
2016-01-27 21:20:19,still
2016-01-27 21:35:18,walking
2016-01-27 21:38:18,still
2016-01-27 21:45:39,in_vehicle
2016-01-27 21:51:57,walking
2016-01-27 21:54:42,still
2016-01-27 23:04:27,still
2016-01-28 00:00:00,still
2016-01-28 11:53:23,walking
2016-01-28 11:55:23,still
2016-01-28 13:46:01,in_vehicle
2016-01-28 13:50:23,still
2016-01-28 14:29:52,still
2016-01-28 14:55:48,walking
2016-01-28 14:58:09,walking
2016-01-28 15:14:26,still
2016-01-28 15:19:10,in_vehicle
2016-01-28 15:30:59,still
2016-01-28 19:32:59,in_vehicle
2016-01-28 20:20:56,still
2016-01-28 23:36:16,still
2016-01-29 00:00:00,still
2016-01-29 01:21:03,walking
2016-01-29 01:23:53,still
2016-01-29 10:54:13,still
2016-01-29 14:07:39,walking
2016-01-29 14:12:07,running
2016-01-29 14:15:29,still
2016-01-29 14:33:28,still
2016-01-29 14:34:58,in_vehicle
2016-01-29 14:46:39,still
2016-01-29 15:00:01,still
2016-01-29 16:16:42,walking
2016-01-29 16:23:49,still
2016-01-29 16:25:41,in_vehicle
2016-01-29 17:18:09,still
2016-01-29 17:22:22,walking
2016-01-29 17:24:57,still
2016-01-29 17:50:52,walking
2016-01-29 17:51:52,running
2016-01-29 17:53:22,walking
2016-01-29 18:02:45,still
2016-01-29 23:27:59,still
2016-01-31 00:04:08,walking
2016-01-31 00:37:20,still
2016-01-31 00:55:02,walking
2016-01-31 01:06:01,still
2016-01-31 01:21:14,walking
2016-01-31 01:22:47,in_vehicle
2016-01-31 01:29:14,still
2016-01-31 01:44:17,still
2016-01-31 05:02:39,walking
2016-01-31 05:03:43,running
2016-01-31 05:07:51,walking
2016-01-31 05:12:40,still
2016-01-31 08:27:59,walking
2016-01-31 08:31:03,in_vehicle
2016-01-31 08:41:14,walking
2016-01-31 08:43:49,still
2016-01-31 08:52:34,walking
2016-01-31 08:55:48,still
2016-01-31 12:31:31,still
2016-01-31 13:08:54,walking
2016-01-31 13:14:08,still
2016-01-31 14:48:03,walking
2016-01-31 14:49:07,walking
2016-01-31 14:54:11,still
2016-01-31 14:56:07,walking
2016-01-31 15:01:41,still
2016-01-31 15:14:49,walking
2016-01-31 15:21:28,still
2016-01-31 16:42:04,walking
2016-01-31 16:44:47,in_vehicle
2016-01-31 16:59:53,still
2016-01-31 19:21:21,still
2016-02-01 00:00:00,still
2016-02-01 01:40:26,walking
2016-02-01 01:49:10,still
2016-02-01 22:45:20,still
2016-02-02 00:00:00,still
2016-02-02 03:06:36,walking
2016-02-02 03:09:54,still
2016-02-02 10:12:12,still
2016-02-02 11:43:42,in_vehicle
2016-02-02 11:50:32,still
2016-02-02 12:25:17,walking
2016-02-02 12:27:43,still
2016-02-02 12:32:48,in_vehicle
2016-02-02 12:54:17,walking
2016-02-02 13:06:57,walking
2016-02-02 13:13:33,still
2016-02-02 14:42:45,walking
2016-02-02 14:44:50,still
2016-02-02 15:44:15,still
2016-02-02 16:16:14,walking
2016-02-02 16:25:41,still
2016-02-02 16:57:01,walking
2016-02-02 17:06:54,still
2016-02-02 21:12:45,walking
2016-02-02 21:21:25,still
2016-02-02 21:36:37,walking
2016-02-02 21:37:39,in_vehicle
2016-02-02 21:55:01,walking
2016-02-02 21:58:01,still
2016-02-02 22:35:10,still
2016-02-02 23:13:44,still
2016-02-03 00:00:00,still
2016-02-03 01:18:24,walking
