date,ActivFit
2016-04-20 10:32:51,walking
2016-04-20 10:41:01,walking
2016-04-20 10:46:59,walking
2016-04-20 12:34:58,walking
2016-04-20 13:58:01,walking
2016-04-20 14:42:38,walking
2016-04-20 20:11:51,walking
2016-04-20 20:16:01,walking
2016-04-20 20:20:01,walking
2016-04-20 22:30:01,walking
2016-04-21 21:29:59,walking
2016-04-21 23:26:52,walking
2016-04-22 10:36:05,walking
2016-04-22 10:37:38,walking
2016-04-22 19:23:00,walking
2016-04-22 19:25:59,walking
2016-04-22 19:37:00,walking
2016-04-22 19:38:05,walking
2016-04-22 20:01:48,walking
2016-04-22 21:44:12,walking
2016-04-22 23:34:52,walking
2016-04-25 10:49:27,walking
2016-04-25 12:26:01,walking
2016-04-25 14:22:01,walking
2016-04-25 16:14:00,walking
2016-04-25 16:26:53,walking
2016-04-25 17:40:38,walking
2016-04-25 17:42:00,walking
2016-04-25 18:59:00,walking
2016-04-29 11:03:01,walking
2016-04-29 11:04:01,walking
2016-04-29 11:56:18,walking
2016-04-29 12:00:36,walking
2016-04-29 17:03:05,walking
2016-04-29 20:05:01,walking
2016-04-29 20:46:00,walking
2016-05-01 17:33:01,walking
2016-05-01 17:35:01,walking
2016-05-02 10:37:27,walking
2016-05-02 15:11:00,walking
2016-05-02 16:20:00,walking
2016-05-03 10:40:22,walking
2016-05-03 18:57:07,walking
2016-05-03 21:11:01,walking
2016-05-03 21:22:01,walking
2016-05-03 21:43:45,walking
2016-05-05 01:33:01,walking
2016-05-05 10:44:47,walking
2016-05-05 11:08:00,walking
2016-05-05 18:40:00,walking
2016-05-05 18:41:26,walking
2016-05-06 10:44:01,walking
2016-05-06 11:01:38,walking
2016-05-06 11:30:49,walking
2016-05-06 15:04:01,walking
2016-05-06 19:35:24,walking
2016-05-07 12:32:36,walking
2016-05-07 12:34:55,walking
2016-05-07 12:50:27,walking
2016-05-07 15:10:00,walking
2016-05-07 15:39:24,walking
2016-05-07 15:43:01,walking
2016-05-07 15:50:48,walking
2016-05-07 15:57:20,walking
2016-05-07 16:16:17,walking
2016-05-07 16:21:02,walking
2016-05-07 16:22:29,walking
2016-05-07 16:48:59,walking
2016-05-07 17:18:00,walking
2016-05-07 17:35:12,walking
2016-05-07 17:39:46,walking
2016-05-07 17:40:49,walking
2016-05-07 17:51:00,walking
2016-05-07 18:04:19,walking
2016-05-07 18:13:01,walking
2016-05-07 18:19:22,walking
2016-05-07 18:31:59,walking
2016-05-07 18:53:41,walking
2016-05-08 10:50:28,walking
2016-05-08 10:56:19,walking
2016-05-08 11:01:01,walking
2016-05-08 11:20:30,walking
2016-05-08 11:46:54,walking
2016-05-08 11:51:00,walking
2016-05-08 11:59:01,walking
2016-05-08 12:05:01,walking
2016-05-08 12:06:01,walking
2016-05-08 12:11:01,walking
2016-05-08 12:17:01,walking
2016-05-08 12:19:54,walking
2016-05-08 12:21:17,walking
2016-05-08 12:32:59,walking
2016-05-08 14:14:01,walking
2016-05-09 10:52:49,walking
2016-05-09 12:33:01,walking
2016-05-09 14:15:01,walking
2016-05-09 14:16:42,walking
2016-05-09 14:57:51,walking
2016-05-09 18:29:35,walking
2016-05-09 18:31:39,walking
2016-05-10 10:31:00,walking
2016-05-10 10:53:00,walking
2016-05-10 14:15:39,walking
2016-05-10 14:43:00,walking
2016-05-10 14:50:24,walking
2016-05-10 15:34:01,walking
2016-05-10 18:47:01,walking
2016-05-11 10:08:00,walking
2016-05-11 10:26:37,walking
2016-05-11 10:28:00,walking
2016-05-11 17:36:00,walking
2016-05-11 17:50:59,walking
2016-05-11 18:44:34,walking
2016-05-11 19:18:32,walking
2016-05-11 22:51:51,running
2016-05-11 22:54:30,walking
2016-05-11 23:15:00,walking
2016-05-12 10:41:59,walking
2016-05-12 12:37:58,walking
2016-05-12 13:43:00,walking
2016-05-12 13:46:00,walking
2016-05-12 13:48:00,walking
2016-05-12 17:31:59,walking
2016-05-12 18:42:58,walking
2016-05-12 21:07:00,walking
2016-05-12 21:08:00,walking
2016-05-13 00:20:00,walking
2016-05-13 00:30:51,walking
2016-05-13 10:46:41,walking
2016-05-13 10:47:52,walking
2016-05-13 14:20:01,walking
2016-05-13 14:53:01,walking
2016-05-13 18:16:43,walking
2016-05-13 18:17:48,walking
2016-05-13 18:41:01,walking
2016-05-13 18:51:00,walking
2016-05-13 21:03:59,walking
2016-05-13 22:47:01,walking
2016-05-15 00:26:05,walking
2016-05-15 01:07:00,walking
2016-05-15 01:10:00,walking
2016-05-15 02:01:00,walking
2016-05-15 02:31:11,walking
2016-05-15 02:34:00,walking
2016-05-15 03:10:06,walking
2016-05-15 03:18:00,walking
2016-05-15 03:23:16,walking
2016-05-15 03:26:00,walking
2016-05-15 03:42:00,walking
2016-05-15 04:00:00,walking
2016-05-17 11:05:01,walking
2016-05-17 18:46:00,walking
2016-05-17 20:55:01,walking
2016-05-18 10:45:46,walking
2016-05-18 17:36:26,walking
2016-05-20 11:01:04,walking
2016-05-20 17:30:15,walking
2016-05-20 17:51:18,walking
2016-05-20 19:01:30,walking
2016-05-25 10:28:59,walking
2016-05-25 16:43:31,walking
2016-05-26 10:37:44,walking
2016-05-26 18:48:59,walking
2016-05-26 18:50:30,walking
2016-05-27 10:25:59,walking
2016-05-27 10:46:00,walking
2016-05-27 15:34:33,walking
2016-05-27 19:28:59,walking
2016-05-27 20:37:59,walking
2016-05-27 23:06:59,walking
2016-05-27 23:13:59,walking
