date,ActivFit
2016-11-18 02:10:35,still
2016-11-18 03:33:33,still
2016-11-18 04:08:16,walking
2016-11-18 04:12:50,still
2016-11-18 05:46:30,still
2016-11-18 07:09:21,walking
2016-11-18 07:11:43,still
2016-11-18 07:20:30,still
2016-11-18 07:42:59,in_vehicle
2016-11-18 08:01:51,still
2016-11-18 19:23:15,in_vehicle
2016-11-18 19:28:36,in_vehicle
2016-11-18 19:43:11,still
2016-11-18 19:50:12,still
2016-11-18 21:01:56,walking
2016-11-18 21:03:23,still
2016-11-18 22:16:54,still
2016-11-18 23:08:26,still
2016-11-18 23:45:54,still
2016-11-19 00:00:00,still
2016-11-19 00:08:17,in_vehicle
2016-11-19 00:16:27,still
2016-11-19 01:58:40,still
2016-11-19 02:07:54,still
2016-11-19 02:24:30,in_vehicle
2016-11-19 02:32:47,still
2016-11-19 02:36:17,in_vehicle
2016-11-19 02:45:12,still
2016-11-19 03:07:31,still
2016-11-19 03:55:07,still
2016-11-19 04:01:36,still
2016-11-19 05:09:47,still
2016-11-19 06:14:41,walking
2016-11-19 06:20:01,walking
2016-11-19 06:24:20,walking
2016-11-19 06:26:34,still
2016-11-19 06:50:31,walking
2016-11-19 06:54:00,still
2016-11-19 07:21:49,walking
2016-11-19 07:22:50,still
2016-11-19 07:35:40,walking
2016-11-19 07:40:59,still
2016-11-19 07:49:54,walking
2016-11-19 07:52:00,in_vehicle
2016-11-19 08:08:38,in_vehicle
2016-11-19 08:10:46,still
2016-11-19 18:24:30,still
2016-11-19 19:16:20,in_vehicle
2016-11-19 19:42:34,walking
2016-11-19 19:45:23,still
2016-11-19 19:52:24,still
2016-11-19 20:32:18,walking
2016-11-19 20:33:22,still
2016-11-19 21:39:19,walking
2016-11-19 21:41:15,still
2016-11-19 21:51:01,walking
2016-11-19 21:53:37,still
2016-11-19 23:34:50,still
2016-11-19 23:43:37,still
2016-11-20 00:00:00,still
2016-11-20 02:03:45,walking
2016-11-20 02:05:24,still
2016-11-20 02:06:42,walking
2016-11-20 02:11:51,still
2016-11-20 05:54:09,walking
2016-11-20 05:57:42,still
2016-11-20 06:16:14,still
2016-11-20 06:23:45,still
2016-11-20 06:24:50,walking
2016-11-20 06:29:57,still
2016-11-20 06:59:49,in_vehicle
2016-11-20 07:17:37,still
2016-11-20 14:36:29,in_vehicle
2016-11-20 14:58:47,walking
2016-11-20 15:02:46,still
2016-11-20 21:50:25,still
2016-11-21 00:00:00,in_vehicle
2016-11-21 00:06:52,still
2016-11-21 00:11:54,in_vehicle
2016-11-21 00:19:57,still
2016-11-21 00:58:23,still
2016-11-21 02:45:14,in_vehicle
2016-11-21 02:52:46,still
2016-11-21 04:54:45,still
2016-11-21 10:07:23,in_vehicle
2016-11-21 10:57:04,still
2016-11-21 12:59:16,still
2016-11-21 13:13:17,still
2016-11-21 17:14:02,in_vehicle
2016-11-21 17:27:48,walking
2016-11-21 17:30:03,still
2016-11-21 18:35:26,in_vehicle
2016-11-21 18:46:18,walking
2016-11-21 18:50:07,still
2016-11-21 22:58:41,still
2016-11-22 00:00:00,still
2016-11-22 04:09:35,in_vehicle
2016-11-22 04:18:52,still
2016-11-22 22:00:03,still
2016-11-22 22:27:03,in_vehicle
2016-11-22 23:24:06,walking
2016-11-22 23:30:05,still
