date,ActivFit
2016-06-28 00:00:00,still
2016-06-28 01:45:20,still
2016-06-28 02:07:06,still
2016-06-28 11:57:35,still
2016-06-28 12:43:18,in_vehicle
2016-06-28 13:00:47,walking
2016-06-28 13:01:58,in_vehicle
2016-06-28 13:05:36,walking
2016-06-28 13:29:04,still
2016-06-28 14:37:17,still
2016-06-28 15:00:00,still
2016-06-28 15:52:11,still
2016-06-28 16:31:58,in_vehicle
2016-06-28 16:37:14,in_vehicle
2016-06-28 16:57:16,still
2016-06-28 17:53:32,in_vehicle
2016-06-28 18:46:01,still
2016-06-28 19:03:18,still
2016-06-28 19:24:52,in_vehicle
2016-06-28 19:43:17,still
2016-06-28 19:44:31,still
2016-06-28 19:59:27,in_vehicle
2016-06-28 20:09:03,still
2016-06-28 20:15:52,still
