date,ActivFit
2016-03-19 00:00:00,still
2016-03-19 07:11:49,walking
2016-03-19 07:13:32,still
2016-03-19 07:22:00,in_vehicle
2016-03-19 07:52:29,still
2016-03-19 07:55:25,walking
2016-03-19 07:59:02,still
2016-03-19 10:57:47,still
2016-03-19 11:45:04,walking
2016-03-19 11:46:56,in_vehicle
2016-03-19 11:55:05,still
2016-03-19 12:02:12,walking
2016-03-19 12:05:22,still
2016-03-19 13:30:40,still
2016-03-19 14:31:28,still
2016-03-19 16:09:27,walking
2016-03-19 16:12:51,still
2016-03-19 16:16:21,in_vehicle
2016-03-19 16:50:30,walking
2016-03-19 16:51:31,still
2016-03-19 17:40:21,in_vehicle
2016-03-19 18:02:31,walking
2016-03-19 18:25:59,in_vehicle
2016-03-19 19:00:17,still
2016-03-19 19:10:01,walking
2016-03-19 19:11:58,still
2016-03-19 22:49:18,still
2016-03-20 00:00:00,still
2016-03-20 07:24:34,walking
2016-03-20 07:25:48,in_vehicle
2016-03-20 07:52:32,walking
2016-03-20 07:57:44,still
2016-03-20 11:54:17,walking
2016-03-20 11:55:23,walking
2016-03-20 12:08:06,walking
2016-03-20 12:10:10,walking
2016-03-20 12:11:31,running
2016-03-20 12:13:02,still
2016-03-20 12:22:56,walking
2016-03-20 12:24:13,still
2016-03-20 13:12:13,walking
2016-03-20 13:13:15,still
2016-03-20 14:49:37,walking
2016-03-20 14:51:35,still
2016-03-20 15:05:09,walking
2016-03-20 15:07:59,still
2016-03-20 15:10:00,walking
2016-03-20 15:12:28,still
2016-03-20 16:03:36,walking
2016-03-20 16:04:42,still
2016-03-20 16:09:59,walking
2016-03-20 16:10:59,still
2016-03-20 16:58:42,walking
2016-03-20 17:01:59,still
2016-03-20 17:08:17,walking
2016-03-20 17:09:20,still
2016-03-20 17:17:34,walking
2016-03-20 17:22:48,in_vehicle
2016-03-20 17:55:52,still
2016-03-20 18:09:32,walking
2016-03-20 18:10:34,still
2016-03-20 18:31:12,walking
2016-03-20 18:32:21,still
2016-03-20 18:34:31,in_vehicle
2016-03-20 18:49:23,still
2016-03-20 19:53:11,still
2016-03-20 20:57:36,still
2016-03-20 22:09:35,still
2016-03-20 22:18:00,still
2016-03-20 22:52:35,walking
2016-03-20 22:53:51,still
2016-03-21 00:00:00,still
2016-03-21 10:31:23,in_vehicle
2016-03-21 10:56:25,walking
2016-03-21 11:02:02,walking
2016-03-21 11:04:04,still
2016-03-21 11:24:34,still
2016-03-21 12:10:41,still
2016-03-21 12:21:32,walking
2016-03-21 12:25:00,still
2016-03-21 12:34:44,walking
2016-03-21 12:38:48,still
2016-03-21 12:59:45,walking
2016-03-21 13:09:47,still
2016-03-21 13:11:48,walking
2016-03-21 13:22:31,walking
2016-03-21 13:30:29,walking
2016-03-21 13:33:36,still
2016-03-21 13:37:41,walking
2016-03-21 13:44:27,still
2016-03-21 14:00:37,walking
