date,ActivFit
2016-02-17 00:00:00,still
2016-02-17 08:20:50,in_vehicle
2016-02-17 08:33:04,walking
2016-02-17 08:35:11,still
2016-02-17 10:04:47,still
2016-02-17 10:06:41,walking
2016-02-17 10:08:28,still
2016-02-17 11:00:59,walking
2016-02-17 11:04:43,still
2016-02-17 12:08:46,walking
2016-02-17 12:09:52,still
2016-02-17 12:17:04,walking
2016-02-17 12:23:39,still
2016-02-17 12:45:05,walking
2016-02-17 13:00:08,walking
2016-02-17 13:02:06,still
2016-02-17 13:11:22,walking
2016-02-17 13:13:25,still
2016-02-17 13:33:30,walking
2016-02-17 13:36:28,still
2016-02-17 14:53:22,walking
2016-02-17 14:54:53,in_vehicle
2016-02-17 15:04:01,walking
2016-02-17 15:06:14,still
2016-02-17 15:28:10,walking
2016-02-17 15:30:01,still
2016-02-17 16:31:17,walking
2016-02-17 16:37:05,still
2016-02-17 17:41:41,in_vehicle
2016-02-17 18:11:12,walking
2016-02-17 18:12:25,still
2016-02-17 18:47:08,walking
2016-02-17 18:58:07,in_vehicle
2016-02-17 19:19:27,still
2016-02-17 19:26:22,walking
2016-02-17 19:28:20,still
2016-02-17 19:30:39,in_vehicle
2016-02-17 19:51:03,still
2016-02-17 20:40:33,in_vehicle
2016-02-17 21:00:21,still
2016-02-17 23:03:04,still
2016-02-19 00:00:00,still
2016-02-19 08:33:52,walking
2016-02-19 08:35:01,in_vehicle
2016-02-19 08:48:36,walking
2016-02-19 08:50:01,walking
2016-02-19 08:51:36,still
2016-02-19 09:01:13,walking
2016-02-19 09:02:47,in_vehicle
2016-02-19 09:12:31,still
2016-02-19 11:03:02,walking
2016-02-19 11:05:50,still
2016-02-19 11:13:28,walking
2016-02-19 11:15:07,still
2016-02-19 11:33:56,in_vehicle
2016-02-19 12:02:00,walking
2016-02-19 12:03:10,in_vehicle
2016-02-19 12:14:28,still
2016-02-19 12:30:45,in_vehicle
2016-02-19 12:49:15,walking
2016-02-19 12:51:30,still
2016-02-19 13:04:51,walking
2016-02-19 13:07:29,still
