date,ActivFit
2016-02-01 06:29:08,walking
2016-02-01 06:32:11,walking
2016-02-01 07:37:02,walking
2016-02-01 07:40:01,running
2016-02-01 07:41:40,walking
2016-02-01 08:11:37,walking
2016-02-01 11:00:20,walking
2016-02-01 11:03:01,walking
2016-02-01 11:33:35,walking
2016-02-01 12:27:06,walking
2016-02-01 17:08:48,walking
2016-02-01 17:42:50,walking
2016-02-01 17:51:00,walking
2016-02-01 18:04:51,walking
2016-02-01 20:28:03,walking
2016-02-02 07:13:01,walking
2016-02-02 07:16:59,walking
2016-02-02 07:50:13,walking
2016-02-02 08:32:01,walking
2016-02-02 08:44:05,walking
2016-02-02 09:09:01,walking
2016-02-02 10:47:17,walking
2016-02-02 11:23:49,walking
2016-02-02 11:26:59,walking
2016-02-02 13:05:18,walking
2016-02-02 16:56:48,walking
2016-02-03 08:31:29,walking
2016-02-03 10:38:52,walking
2016-02-03 12:16:16,walking
2016-02-03 12:19:06,walking
2016-02-03 12:40:01,walking
2016-02-03 16:53:23,walking
2016-02-03 17:36:47,walking
2016-02-03 17:39:01,walking
2016-02-03 17:40:47,walking
2016-02-03 17:45:58,walking
2016-02-03 17:49:51,walking
2016-02-03 18:04:02,walking
2016-02-03 18:09:36,walking
2016-02-03 18:19:33,walking
2016-02-03 18:24:24,walking
2016-02-03 18:40:32,walking
2016-02-04 07:14:59,walking
2016-02-04 07:17:19,walking
2016-02-04 07:57:02,walking
2016-02-04 08:00:23,walking
2016-02-04 09:34:01,walking
2016-02-04 12:30:06,walking
2016-02-04 15:52:01,walking
2016-02-04 15:54:51,walking
2016-02-04 16:04:01,walking
2016-02-04 17:26:56,walking
2016-02-04 17:37:52,walking
2016-02-19 07:14:50,walking
2016-02-19 08:00:28,walking
2016-02-19 09:41:39,walking
2016-02-19 09:52:39,walking
2016-02-19 09:57:03,walking
2016-02-19 11:17:33,walking
2016-02-19 12:07:41,walking
2016-02-19 12:39:55,walking
2016-02-19 15:00:15,walking
2016-02-19 17:02:54,walking
2016-02-20 13:57:50,walking
2016-02-20 16:13:07,walking
2016-02-20 21:41:57,walking
2016-02-21 08:53:23,walking
2016-02-21 10:24:35,walking
2016-02-21 10:44:41,walking
2016-02-21 12:51:04,walking
2016-02-21 13:24:41,walking
2016-02-21 13:33:28,walking
2016-02-21 13:54:50,walking
2016-02-21 13:56:03,walking
2016-02-21 14:12:12,walking
2016-02-21 15:53:44,walking
2016-02-21 16:13:40,walking
2016-02-21 17:36:19,walking
