date,ActivFit
2016-03-04 00:00:00,still
2016-03-04 07:54:43,walking
2016-03-04 07:56:46,in_vehicle
2016-03-04 08:18:20,walking
2016-03-04 08:27:27,walking
2016-03-04 08:33:34,walking
2016-03-04 08:41:24,still
2016-03-04 09:56:19,walking
2016-03-04 09:57:47,still
2016-03-04 11:39:56,walking
2016-03-04 11:45:16,still
2016-03-04 11:58:12,walking
2016-03-04 12:09:05,in_vehicle
2016-03-04 12:30:21,still
2016-03-04 12:40:35,in_vehicle
2016-03-04 12:47:54,walking
2016-03-04 12:50:52,still
2016-03-04 17:28:42,walking
2016-03-04 17:51:08,in_vehicle
2016-03-04 18:19:05,walking
2016-03-04 18:30:18,still
2016-03-04 18:40:03,still
2016-03-04 18:43:59,in_vehicle
2016-03-04 19:11:37,still
2016-03-04 23:20:05,still
