date,ActivFit
2016-03-24 00:00:00,still
2016-03-24 07:54:58,in_vehicle
2016-03-24 08:17:21,walking
2016-03-24 08:18:47,still
2016-03-24 08:45:51,walking
2016-03-24 08:50:00,walking
2016-03-24 08:51:33,still
2016-03-24 09:00:23,still
2016-03-24 12:41:26,still
2016-03-24 12:42:34,walking
2016-03-24 12:43:36,still
2016-03-24 15:16:23,walking
2016-03-24 15:17:50,still
2016-03-24 17:05:05,in_vehicle
2016-03-24 17:30:35,walking
2016-03-24 17:33:53,still
2016-03-24 17:36:47,walking
2016-03-24 17:39:40,still
2016-03-24 17:41:56,walking
2016-03-24 17:43:59,still
2016-03-24 20:22:33,walking
2016-03-24 20:25:17,in_vehicle
2016-03-24 20:59:22,walking
2016-03-24 21:03:37,still
2016-03-24 21:52:03,still
2016-03-24 22:44:14,still
2016-03-25 01:00:00,still
2016-03-25 08:53:37,walking
2016-03-25 08:54:39,walking
2016-03-25 08:56:12,in_vehicle
2016-03-25 09:18:10,still
2016-03-25 13:10:12,walking
2016-03-25 13:11:47,walking
2016-03-25 13:12:49,in_vehicle
2016-03-25 13:16:35,walking
2016-03-25 13:17:44,in_vehicle
2016-03-25 13:26:09,walking
2016-03-25 13:31:17,still
2016-03-25 14:06:30,still
2016-03-25 14:26:03,walking
2016-03-25 14:29:17,still
2016-03-25 14:30:51,in_vehicle
2016-03-25 14:41:48,still
2016-03-25 16:30:03,walking
2016-03-25 16:32:28,still
2016-03-25 16:36:39,walking
2016-03-25 16:40:33,still
2016-03-25 17:58:20,in_vehicle
2016-03-25 18:46:11,still
2016-03-25 19:43:18,still
2016-03-25 19:50:46,still
2016-03-25 20:45:13,walking
2016-03-25 20:48:00,walking
2016-03-25 20:51:35,still
2016-03-25 21:45:08,still
2016-03-25 22:09:42,walking
2016-03-25 22:14:52,still
2016-03-25 22:25:24,walking
2016-03-25 22:27:14,in_vehicle
2016-03-25 22:53:45,walking
2016-03-25 23:02:52,still
2016-03-25 23:14:32,still
2016-03-25 23:32:10,walking
2016-03-25 23:34:24,still
2016-03-25 23:49:02,walking
2016-03-25 23:51:02,still
2016-03-25 23:52:44,walking
2016-03-25 23:55:44,still
2016-03-27 00:00:00,in_vehicle
2016-03-27 01:35:51,still
2016-03-27 08:03:26,in_vehicle
2016-03-27 08:15:22,walking
2016-03-27 08:17:05,still
2016-03-27 08:23:31,walking
2016-03-27 08:27:03,still
2016-03-27 08:28:33,in_vehicle
2016-03-27 08:44:22,still
2016-03-27 08:56:16,still
2016-03-27 09:17:27,biking
2016-03-27 11:15:47,still
2016-03-27 11:27:17,walking
2016-03-27 11:35:15,still
2016-03-27 11:45:23,biking
2016-03-27 13:17:48,still
2016-03-27 13:21:19,walking
2016-03-27 13:29:06,still
2016-03-27 13:30:11,in_vehicle
2016-03-27 13:44:28,walking
2016-03-27 13:47:30,still
2016-03-27 20:57:01,still
2016-03-27 20:58:46,in_vehicle
2016-03-27 21:12:26,still
2016-03-27 21:32:19,in_vehicle
2016-03-27 21:53:05,still
2016-03-28 00:00:00,still
2016-03-28 07:21:46,in_vehicle
2016-03-28 07:44:33,still
2016-03-28 08:07:36,in_vehicle
2016-03-28 08:32:24,walking
2016-03-28 08:33:36,still
2016-03-28 16:36:01,in_vehicle
2016-03-28 17:04:28,walking
2016-03-28 17:05:47,still
2016-03-28 17:40:16,in_vehicle
2016-03-28 17:51:30,still
2016-03-28 17:56:51,still
2016-03-28 18:50:03,still
2016-03-28 18:58:17,walking
2016-03-28 18:59:19,still
2016-03-30 00:00:00,still
2016-03-30 07:06:20,in_vehicle
2016-03-30 07:18:19,still
2016-03-30 07:56:52,in_vehicle
2016-03-30 08:25:48,walking
2016-03-30 08:27:13,still
2016-03-30 10:39:01,still
2016-03-30 10:47:56,still
2016-03-30 11:40:33,in_vehicle
2016-03-30 12:26:00,in_vehicle
2016-03-30 12:30:22,still
2016-03-30 12:58:02,still
2016-03-30 15:03:37,still
2016-03-30 15:42:28,still
2016-03-30 16:54:37,in_vehicle
2016-03-30 17:20:18,walking
2016-03-30 17:23:20,still
2016-03-30 19:16:12,still
2016-03-30 20:29:45,still
2016-03-30 21:44:36,still
2016-04-01 00:00:00,still
2016-04-01 07:51:28,in_vehicle
2016-04-01 08:17:35,still
2016-04-01 08:43:40,still
2016-04-01 08:55:58,walking
2016-04-01 09:01:37,walking
2016-04-01 09:03:39,still
2016-04-01 09:32:51,in_vehicle
2016-04-01 09:35:22,still
2016-04-01 10:10:49,still
2016-04-01 11:36:32,in_vehicle
2016-04-01 12:15:53,walking
2016-04-01 12:17:23,still
2016-04-01 12:19:15,in_vehicle
2016-04-01 12:26:16,walking
2016-04-01 12:27:46,still
2016-04-01 13:38:40,walking
2016-04-01 13:42:50,still
2016-04-01 13:50:21,still
2016-04-01 16:46:57,in_vehicle
2016-04-01 17:25:51,walking
2016-04-01 17:27:44,still
2016-04-01 18:14:37,still
2016-04-01 19:27:28,in_vehicle
2016-04-01 19:48:28,still
2016-04-01 20:34:41,walking
2016-04-01 20:35:41,in_vehicle
2016-04-01 21:45:37,walking
2016-04-01 21:53:38,still
2016-04-01 23:34:52,walking
2016-04-01 23:35:55,walking
2016-04-01 23:40:24,in_vehicle
2016-04-02 00:00:31,still
2016-04-02 00:41:39,walking
2016-04-02 00:44:34,in_vehicle
2016-04-02 01:14:48,walking
2016-04-02 01:16:34,still
2016-04-02 10:14:19,walking
2016-04-02 10:16:58,still
2016-04-02 11:00:26,still
2016-04-02 14:23:23,still
2016-04-02 14:25:00,in_vehicle
2016-04-02 14:41:30,still
2016-04-02 14:58:59,walking
2016-04-02 15:01:17,still
2016-04-02 15:16:10,walking
2016-04-02 15:21:49,still
2016-04-02 15:24:51,walking
2016-04-02 15:42:31,still
2016-04-02 15:50:42,walking
2016-04-02 15:58:18,walking
2016-04-02 16:07:38,still
2016-04-02 16:13:28,walking
2016-04-02 16:14:35,walking
2016-04-02 16:17:16,in_vehicle
2016-04-02 16:37:56,walking
2016-04-02 16:41:56,still
2016-04-02 18:29:59,walking
2016-04-02 18:33:52,still
2016-04-02 20:23:42,in_vehicle
2016-04-02 20:35:05,still
2016-04-02 21:13:10,still
2016-04-02 21:38:37,still
2016-04-02 21:40:00,in_vehicle
2016-04-02 21:56:58,still
2016-04-02 22:11:23,walking
2016-04-02 22:14:39,still
2016-04-02 22:16:27,in_vehicle
2016-04-02 22:22:36,walking
2016-04-02 22:23:55,walking
2016-04-02 22:25:59,still
2016-04-02 22:40:49,walking
2016-04-02 22:49:15,walking
2016-04-02 22:50:17,walking
2016-04-02 22:52:20,still
2016-04-02 22:56:20,walking
2016-04-02 22:59:28,still
2016-04-02 23:01:31,walking
2016-04-02 23:03:03,in_vehicle
2016-04-02 23:11:43,walking
2016-04-02 23:12:57,still
2016-04-02 23:23:37,still
2016-04-04 00:00:00,still
2016-04-04 07:16:35,in_vehicle
2016-04-04 07:37:48,still
2016-04-04 08:00:02,in_vehicle
2016-04-04 08:27:24,still
2016-04-04 09:56:50,in_vehicle
2016-04-04 10:06:45,walking
2016-04-04 10:10:00,still
2016-04-04 10:26:28,walking
2016-04-04 10:29:56,still
2016-04-04 10:32:28,walking
2016-04-04 10:34:34,still
2016-04-04 11:25:47,still
2016-04-04 13:34:26,walking
2016-04-04 13:37:33,still
2016-04-04 13:42:33,walking
2016-04-04 13:44:27,still
2016-04-04 14:37:27,walking
2016-04-04 14:39:00,walking
2016-04-04 14:40:59,still
2016-04-04 14:42:22,walking
2016-04-04 14:45:08,walking
2016-04-04 14:46:39,still
2016-04-04 16:47:20,in_vehicle
2016-04-04 17:15:59,walking
2016-04-04 17:17:53,still
2016-04-04 19:27:47,walking
2016-04-04 19:30:49,still
2016-04-04 20:22:31,still
2016-04-04 22:19:08,in_vehicle
2016-04-04 22:32:46,still
2016-04-05 00:00:00,still
2016-04-05 07:57:59,in_vehicle
2016-04-05 08:24:37,still
2016-04-05 12:55:03,walking
2016-04-05 12:56:20,still
2016-04-05 13:15:32,walking
2016-04-05 13:17:59,still
2016-04-05 13:37:47,still
2016-04-05 15:07:33,in_vehicle
2016-04-05 15:14:35,walking
2016-04-05 15:15:48,in_vehicle
2016-04-05 15:24:29,walking
2016-04-05 15:26:26,still
2016-04-05 16:51:36,in_vehicle
2016-04-05 17:20:46,still
2016-04-05 17:46:39,in_vehicle
2016-04-05 18:09:17,walking
2016-04-05 18:12:45,walking
2016-04-05 18:13:45,walking
2016-04-05 18:19:55,still
2016-04-05 18:53:11,walking
2016-04-05 19:01:38,still
2016-04-05 19:06:45,walking
2016-04-05 19:11:16,still
2016-04-05 19:15:59,walking
2016-04-05 19:17:42,still
2016-04-05 19:21:06,walking
2016-04-05 19:23:38,still
2016-04-05 22:16:08,walking
2016-04-05 22:20:35,in_vehicle
2016-04-05 22:35:49,walking
2016-04-05 22:37:51,still
2016-04-05 23:20:51,still
2016-04-05 23:40:00,in_vehicle
