date,ActivFit
2016-01-03 00:00:00,still
2016-01-03 13:22:17,still
2016-01-03 13:35:09,in_vehicle
2016-01-03 13:51:11,walking
2016-01-03 14:12:43,still
2016-01-03 14:32:16,walking
2016-01-03 14:38:44,walking
2016-01-03 14:43:54,still
2016-01-03 17:52:34,biking
2016-01-03 18:00:39,still
2016-01-03 18:34:19,still
2016-01-03 19:51:12,still
2016-01-03 20:09:20,still
2016-01-03 21:51:41,biking
2016-01-03 21:56:52,walking
2016-01-03 21:57:53,still
2016-01-03 22:42:15,still
2016-01-05 00:00:00,still
2016-01-05 00:14:14,walking
2016-01-05 00:15:32,still
2016-01-05 10:17:36,in_vehicle
2016-01-05 11:04:29,still
2016-01-05 12:46:44,still
2016-01-05 13:06:53,still
2016-01-05 17:47:56,walking
2016-01-05 17:50:46,walking
2016-01-05 17:54:28,still
2016-01-05 18:53:43,still
2016-01-05 20:53:37,still
2016-01-05 23:18:02,still
2016-01-06 00:00:00,still
2016-01-06 08:23:24,still
2016-01-06 17:32:23,walking
2016-01-06 17:43:40,still
2016-01-06 17:45:12,walking
2016-01-06 17:46:45,walking
2016-01-06 17:51:47,still
2016-01-06 23:17:45,still
2016-01-08 00:00:00,still
2016-01-08 18:54:41,walking
2016-01-08 18:58:52,still
2016-01-08 21:46:40,in_vehicle
2016-01-08 22:26:34,still
2016-01-08 22:27:40,walking
2016-01-08 22:32:19,still
2016-01-08 22:37:51,in_vehicle
2016-01-08 22:49:06,still
2016-01-08 23:05:16,still
2016-01-09 00:00:00,still
2016-01-09 00:43:54,still
2016-01-09 01:11:17,in_vehicle
2016-01-09 01:16:44,still
2016-01-09 15:16:05,still
2016-01-09 15:37:39,still
2016-01-09 16:32:00,in_vehicle
2016-01-09 17:29:21,still
2016-01-09 17:39:33,still
2016-01-09 17:49:14,in_vehicle
2016-01-09 17:59:16,still
2016-01-09 20:40:48,still
2016-01-09 20:47:34,walking
2016-01-09 20:49:09,walking
2016-01-09 20:50:27,in_vehicle
2016-01-09 21:33:49,walking
2016-01-09 21:37:56,walking
2016-01-09 21:40:46,still
2016-01-09 22:11:01,still
2016-01-09 22:45:56,still
2016-01-09 23:28:24,still
2016-01-09 23:50:33,still
2016-01-10 00:03:46,still
2016-01-10 00:21:22,still
2016-01-10 02:31:32,still
2016-01-10 02:37:43,walking
2016-01-10 02:41:11,still
2016-01-10 02:42:47,in_vehicle
2016-01-10 03:32:42,walking
2016-01-10 03:38:52,still
2016-01-10 03:48:56,still
2016-01-10 03:51:12,walking
2016-01-10 03:58:13,still
2016-01-10 03:59:56,walking
2016-01-10 04:00:57,walking
2016-01-10 04:04:25,walking
2016-01-10 04:05:31,still
2016-01-10 04:16:23,walking
2016-01-10 04:17:39,walking
2016-01-10 04:21:56,still
2016-01-10 04:44:15,walking
2016-01-10 04:54:30,still
2016-01-10 05:13:48,walking
2016-01-10 05:33:25,still
2016-01-10 08:00:25,still
2016-01-10 13:16:04,in_vehicle
2016-01-10 13:29:05,still
2016-01-10 13:55:23,walking
2016-01-10 14:15:54,still
2016-01-10 14:18:04,walking
2016-01-10 14:21:36,still
2016-01-10 15:18:18,walking
2016-01-10 15:23:20,still
2016-01-10 15:26:51,walking
2016-01-10 15:28:37,in_vehicle
2016-01-10 15:44:39,walking
2016-01-10 15:52:20,still
2016-01-10 22:50:09,still
