date,ActivFit
2016-04-23 00:00:00,still
2016-04-23 00:52:52,still
2016-04-23 06:01:24,walking
2016-04-23 06:16:52,in_vehicle
2016-04-23 07:04:40,walking
2016-04-23 07:14:27,still
2016-04-23 08:10:25,walking
2016-04-23 08:11:30,still
2016-04-23 08:12:39,in_vehicle
2016-04-23 08:48:40,still
2016-04-23 09:03:46,in_vehicle
2016-04-23 11:13:34,walking
2016-04-23 11:51:55,walking
2016-04-23 11:57:19,in_vehicle
2016-04-23 12:43:22,walking
2016-04-23 16:37:46,walking
2016-04-23 17:03:30,still
2016-04-23 17:06:27,in_vehicle
2016-04-23 17:32:55,walking
2016-04-23 17:34:45,still
2016-04-23 20:08:27,in_vehicle
2016-04-23 20:33:43,still
2016-04-23 21:42:27,still
2016-04-25 00:00:00,still
2016-04-25 07:50:33,in_vehicle
2016-04-25 08:02:03,walking
2016-04-25 08:20:13,still
2016-04-25 08:31:17,in_vehicle
2016-04-25 08:41:29,still
2016-04-25 11:32:03,walking
2016-04-25 11:33:08,walking
2016-04-25 11:37:26,in_vehicle
2016-04-25 12:29:16,walking
2016-04-25 14:02:31,walking
2016-04-25 14:15:02,walking
2016-04-25 14:35:06,walking
2016-04-25 14:51:24,still
2016-04-25 14:52:36,walking
2016-04-25 14:53:37,still
2016-04-25 14:55:48,walking
2016-04-25 15:11:09,in_vehicle
2016-04-25 15:25:40,walking
2016-04-25 15:26:41,in_vehicle
2016-04-25 15:34:37,still
2016-04-25 17:02:19,walking
2016-04-25 17:03:49,still
2016-04-25 20:34:17,still
2016-04-25 20:57:25,still
2016-04-25 22:07:03,in_vehicle
2016-04-25 23:21:24,walking
2016-04-25 23:22:36,in_vehicle
2016-04-25 23:27:15,still
2016-04-26 00:00:00,still
2016-04-26 02:31:57,walking
2016-04-26 02:43:47,still
2016-04-26 03:23:50,still
2016-04-26 08:34:52,in_vehicle
2016-04-26 09:25:29,walking
2016-04-26 09:26:44,in_vehicle
2016-04-26 09:41:35,walking
2016-04-26 09:43:55,in_vehicle
2016-04-26 11:18:09,walking
2016-04-26 11:25:28,in_vehicle
2016-04-26 11:41:59,walking
2016-04-26 12:03:24,walking
2016-04-26 12:11:53,still
2016-04-26 12:16:44,in_vehicle
2016-04-26 13:55:15,still
2016-04-26 13:58:54,walking
2016-04-26 14:14:17,in_vehicle
2016-04-26 14:33:41,walking
2016-04-26 14:40:42,still
2016-04-26 16:10:09,walking
2016-04-26 16:11:37,walking
2016-04-26 16:13:20,still
2016-04-26 16:26:13,walking
2016-04-26 16:29:02,still
2016-04-26 19:01:43,walking
2016-04-26 19:07:24,running
2016-04-26 19:37:01,walking
2016-04-26 19:47:50,in_vehicle
2016-04-26 19:49:37,weightlifting
2016-04-26 20:13:58,running
2016-04-26 20:15:00,running
2016-04-26 20:19:15,walking
2016-04-26 20:21:22,in_vehicle
2016-04-26 20:27:32,walking
2016-04-26 20:30:41,walking
2016-04-26 20:31:42,in_vehicle
2016-04-26 21:07:07,still
2016-04-26 22:24:49,walking
2016-04-26 22:30:29,still
2016-04-26 23:23:44,still
2016-04-27 00:00:00,still
2016-04-27 05:55:37,walking
2016-04-27 06:03:36,still
2016-04-27 06:05:06,walking
2016-04-27 06:14:08,still
2016-04-27 06:15:16,walking
2016-04-27 06:29:20,still
2016-04-27 08:29:44,still
2016-04-27 09:10:59,walking
2016-04-27 09:16:22,still
2016-04-27 10:07:27,walking
2016-04-27 10:11:30,in_vehicle
2016-04-27 10:50:27,still
2016-04-27 11:03:49,walking
2016-04-27 11:26:37,still
2016-04-27 12:15:21,still
2016-04-27 15:32:16,walking
2016-04-27 15:37:46,in_vehicle
2016-04-27 16:19:37,in_vehicle
2016-04-27 16:26:45,still
2016-04-27 16:37:54,walking
2016-04-27 16:39:09,in_vehicle
2016-04-27 17:20:31,walking
2016-04-27 17:25:33,running
2016-04-27 17:29:17,in_vehicle
2016-04-27 17:56:47,walking
2016-04-27 17:58:03,in_vehicle
2016-04-27 18:17:30,walking
2016-04-27 19:15:35,still
2016-04-28 00:00:00,still
2016-04-28 09:14:37,in_vehicle
2016-04-28 09:42:20,still
2016-04-28 10:33:21,in_vehicle
2016-04-28 10:57:19,walking
2016-04-28 11:00:10,in_vehicle
2016-04-28 12:23:55,walking
2016-04-28 12:41:17,walking
2016-04-28 12:52:47,still
2016-04-28 13:07:38,still
2016-04-28 13:17:56,in_vehicle
2016-04-28 13:30:00,in_vehicle
2016-04-28 13:54:27,still
2016-04-28 13:58:04,walking
2016-04-28 14:41:20,in_vehicle
2016-04-28 15:03:14,still
2016-04-28 15:05:22,walking
2016-04-28 15:40:38,still
2016-04-28 15:41:55,in_vehicle
2016-04-28 15:55:56,walking
2016-04-28 15:58:24,walking
2016-04-28 16:00:22,in_vehicle
2016-04-28 16:14:53,walking
2016-04-28 16:16:53,in_vehicle
2016-04-28 16:21:19,walking
2016-04-28 16:22:19,in_vehicle
2016-04-28 16:41:56,walking
2016-04-28 16:45:20,still
2016-04-28 17:13:59,walking
2016-04-28 17:15:14,running
2016-04-28 17:22:07,walking
2016-04-28 17:24:24,still
2016-04-28 17:28:56,in_vehicle
2016-04-28 17:36:33,walking
2016-04-28 17:43:48,walking
2016-04-28 17:52:26,walking
2016-04-28 18:07:43,running
2016-04-28 18:11:18,walking
2016-04-28 18:15:30,still
2016-04-28 18:34:07,walking
2016-04-28 18:40:26,still
2016-04-28 19:38:13,walking
2016-04-28 19:42:47,in_vehicle
2016-04-28 20:20:51,still
2016-04-28 21:10:56,in_vehicle
2016-04-28 21:47:25,still
2016-04-30 00:00:00,still
2016-04-30 00:47:21,walking
2016-04-30 00:54:26,still
2016-04-30 08:38:57,in_vehicle
2016-04-30 09:31:34,still
2016-04-30 09:59:24,still
2016-04-30 10:18:42,walking
2016-04-30 10:26:28,in_vehicle
2016-04-30 11:35:11,walking
2016-04-30 11:40:29,walking
2016-04-30 11:50:01,walking
2016-04-30 12:17:45,walking
2016-04-30 12:19:06,walking
2016-04-30 12:44:44,in_vehicle
2016-04-30 12:59:44,still
2016-04-30 13:56:51,walking
2016-04-30 14:01:20,still
2016-04-30 14:04:18,in_vehicle
2016-04-30 16:06:51,walking
2016-04-30 16:07:54,in_vehicle
2016-04-30 16:09:12,walking
2016-04-30 17:06:20,in_vehicle
2016-04-30 17:29:16,still
2016-04-30 17:31:26,walking
2016-04-30 18:08:53,walking
2016-04-30 18:27:24,still
2016-04-30 18:44:47,walking
2016-04-30 18:56:03,walking
2016-04-30 19:00:38,walking
2016-04-30 20:00:51,still
2016-04-30 20:12:15,walking
2016-04-30 20:15:06,still
2016-04-30 20:18:35,walking
2016-04-30 20:21:17,still
2016-04-30 20:40:38,running
2016-04-30 20:45:10,in_vehicle
2016-04-30 23:30:00,in_vehicle
2016-05-03 00:00:00,in_vehicle
2016-05-03 00:42:09,still
2016-05-03 01:21:04,still
2016-05-03 01:34:52,still
2016-05-03 07:42:56,still
2016-05-03 08:31:40,still
2016-05-03 08:33:05,walking
2016-05-03 08:39:43,still
2016-05-03 08:42:35,in_vehicle
2016-05-03 09:00:50,walking
2016-05-03 09:56:00,walking
2016-05-03 12:33:46,walking
2016-05-03 14:22:04,still
2016-05-03 14:24:32,in_vehicle
2016-05-03 14:31:53,walking
2016-05-03 15:06:36,walking
2016-05-03 15:27:51,still
2016-05-03 17:21:18,walking
2016-05-03 17:22:31,in_vehicle
2016-05-03 17:54:03,still
2016-05-03 18:11:51,in_vehicle
2016-05-03 18:35:20,still
2016-05-03 20:07:38,in_vehicle
2016-05-03 21:56:16,still
2016-05-03 22:18:44,still
2016-05-04 00:00:00,still
2016-05-04 06:23:08,in_vehicle
2016-05-04 06:32:51,still
2016-05-04 11:03:29,in_vehicle
2016-05-04 11:24:59,still
2016-05-04 12:53:56,still
2016-05-04 12:55:04,walking
2016-05-04 12:56:25,still
2016-05-04 14:39:29,in_vehicle
2016-05-04 16:29:49,walking
2016-05-04 16:37:41,still
2016-05-04 16:40:55,in_vehicle
2016-05-04 17:19:47,still
2016-05-04 18:36:52,in_vehicle
2016-05-04 18:53:48,walking
2016-05-04 19:00:09,still
2016-05-04 19:04:10,in_vehicle
2016-05-04 19:58:01,still
2016-05-04 22:05:58,still
2016-05-04 22:16:53,walking
2016-05-04 22:20:11,walking
2016-05-04 22:25:15,still
2016-05-04 22:52:12,walking
2016-05-04 22:58:30,still
2016-05-04 23:01:31,walking
2016-05-04 23:09:14,still
2016-05-04 23:28:31,in_vehicle
2016-05-04 23:52:35,still
2016-05-06 00:00:00,still
2016-05-06 04:47:44,in_vehicle
2016-05-06 05:00:05,walking
2016-05-06 06:12:30,walking
2016-05-06 06:37:59,walking
2016-05-06 07:47:28,walking
2016-05-06 07:48:29,walking
2016-05-06 07:57:49,walking
2016-05-06 08:24:58,walking
2016-05-06 08:51:53,walking
2016-05-06 08:58:12,in_vehicle
2016-05-06 10:08:05,walking
2016-05-06 10:40:19,still
2016-05-06 13:32:02,still
2016-05-06 13:40:20,walking
2016-05-06 13:41:43,walking
2016-05-06 14:04:49,walking
2016-05-06 14:22:17,walking
2016-05-06 14:34:56,still
2016-05-06 15:01:36,walking
2016-05-06 15:11:11,still
2016-05-06 15:26:52,walking
2016-05-06 15:36:52,running
2016-05-06 15:40:00,still
2016-05-06 15:53:09,walking
2016-05-06 15:58:09,in_vehicle
2016-05-06 16:30:28,still
2016-05-06 17:04:40,still
2016-05-06 22:22:21,walking
2016-05-06 22:27:10,still
2016-05-06 22:51:26,still
2016-05-06 23:07:00,walking
2016-05-06 23:08:41,in_vehicle
2016-05-06 23:38:42,still
2016-05-07 00:00:00,still
2016-05-07 02:25:09,walking
2016-05-07 02:29:11,in_vehicle
2016-05-07 02:39:45,walking
2016-05-07 02:44:08,still
2016-05-07 10:21:27,walking
2016-05-07 10:23:35,in_vehicle
2016-05-07 11:21:21,still
2016-05-07 13:25:57,still
2016-05-07 16:00:38,in_vehicle
2016-05-07 16:09:37,still
2016-05-07 16:29:58,still
2016-05-07 18:37:39,in_vehicle
2016-05-07 19:06:31,still
2016-05-07 19:17:14,in_vehicle
2016-05-07 21:08:55,still
2016-05-08 00:00:00,still
2016-05-08 06:45:58,in_vehicle
2016-05-08 06:58:43,walking
2016-05-08 07:41:53,still
2016-05-08 08:05:54,walking
2016-05-08 08:45:11,still
2016-05-08 10:02:06,walking
2016-05-08 10:06:24,in_vehicle
2016-05-08 11:10:17,walking
2016-05-08 11:28:13,still
2016-05-08 12:19:42,in_vehicle
2016-05-08 12:31:03,walking
2016-05-08 12:44:53,still
2016-05-08 13:21:00,still
2016-05-08 13:45:33,still
2016-05-08 14:10:39,walking
2016-05-08 14:33:39,still
2016-05-08 15:38:44,walking
2016-05-08 16:00:23,in_vehicle
2016-05-08 16:46:30,still
2016-05-08 17:10:11,walking
2016-05-08 17:11:29,still
2016-05-08 18:16:17,still
2016-05-08 18:21:07,in_vehicle
2016-05-08 19:00:45,still
2016-05-08 19:27:23,still
2016-05-08 20:07:26,walking
2016-05-08 20:10:52,running
2016-05-08 20:18:05,in_vehicle
2016-05-08 20:31:50,walking
2016-05-08 20:33:02,in_vehicle
2016-05-08 20:59:09,walking
2016-05-08 21:06:17,walking
2016-05-08 21:08:15,still
2016-05-08 21:41:15,walking
2016-05-08 21:44:40,still
2016-05-08 22:31:25,in_vehicle
2016-05-08 22:57:58,still
2016-05-09 00:00:00,still
2016-05-09 05:50:57,walking
2016-05-09 05:58:31,walking
2016-05-09 06:21:53,still
2016-05-09 06:27:39,in_vehicle
2016-05-09 06:35:09,walking
2016-05-09 06:53:52,still
2016-05-09 07:28:48,walking
2016-05-09 09:14:01,walking
2016-05-09 09:58:35,walking
2016-05-09 10:09:43,still
2016-05-09 10:40:05,in_vehicle
2016-05-09 11:06:06,walking
2016-05-09 12:05:00,walking
2016-05-09 13:25:05,still
2016-05-09 13:35:05,walking
2016-05-09 15:04:39,walking
2016-05-09 15:07:04,in_vehicle
2016-05-09 15:19:11,walking
2016-05-09 15:27:59,running
2016-05-09 15:35:21,in_vehicle
2016-05-09 15:54:40,walking
2016-05-09 16:06:43,walking
2016-05-09 16:20:36,running
2016-05-09 16:29:32,walking
2016-05-09 16:33:39,still
2016-05-09 16:35:12,in_vehicle
2016-05-09 16:36:57,walking
2016-05-09 16:38:14,in_vehicle
2016-05-09 16:54:54,walking
2016-05-09 16:56:36,in_vehicle
2016-05-09 17:07:21,walking
2016-05-09 17:12:45,running
2016-05-09 17:22:51,walking
2016-05-09 17:28:10,in_vehicle
2016-05-09 17:48:55,walking
2016-05-09 17:50:16,still
2016-05-09 17:58:07,walking
2016-05-10 00:00:00,still
2016-05-10 08:46:25,walking
2016-05-10 08:49:54,still
2016-05-10 08:56:40,running
2016-05-10 09:01:59,still
2016-05-10 09:45:59,in_vehicle
2016-05-10 10:01:36,walking
2016-05-10 10:06:35,in_vehicle
2016-05-10 11:05:49,walking
2016-05-10 11:10:56,in_vehicle
2016-05-10 11:19:26,still
2016-05-10 11:26:53,walking
2016-05-10 11:53:38,in_vehicle
2016-05-10 12:33:15,walking
2016-05-10 12:34:34,in_vehicle
2016-05-10 12:39:52,walking
2016-05-10 12:41:28,in_vehicle
2016-05-10 12:56:50,walking
2016-05-10 13:17:29,still
2016-05-10 13:42:15,still
2016-05-10 13:54:14,walking
2016-05-10 13:55:57,still
2016-05-10 14:48:18,walking
2016-05-10 14:54:40,still
2016-05-10 15:08:00,walking
2016-05-10 15:20:58,still
2016-05-10 16:12:50,in_vehicle
2016-05-10 16:28:43,walking
2016-05-10 16:29:43,in_vehicle
2016-05-10 17:09:01,walking
2016-05-10 17:14:56,in_vehicle
2016-05-10 18:20:12,still
2016-05-10 18:56:38,still
2016-05-10 19:00:50,walking
2016-05-10 19:01:57,still
2016-05-10 19:25:17,walking
2016-05-10 19:32:04,still
2016-05-11 00:00:00,still
2016-05-11 05:50:22,walking
2016-05-11 05:52:48,still
2016-05-11 05:56:14,walking
2016-05-11 06:35:35,still
2016-05-11 06:56:13,still
2016-05-11 07:17:04,walking
2016-05-11 07:37:21,still
2016-05-11 07:41:18,in_vehicle
2016-05-11 07:51:29,still
2016-05-11 09:40:38,walking
2016-05-11 09:51:50,in_vehicle
2016-05-11 10:06:55,walking
2016-05-11 10:13:03,still
2016-05-11 10:18:34,in_vehicle
2016-05-11 10:41:10,still
2016-05-11 11:00:24,walking
2016-05-11 11:02:35,in_vehicle
2016-05-11 11:56:38,still
2016-05-11 12:01:35,walking
2016-05-11 13:28:57,still
2016-05-11 15:05:05,in_vehicle
2016-05-11 15:48:44,still
2016-05-11 18:39:56,in_vehicle
2016-05-11 18:48:53,still
2016-05-11 19:03:28,still
2016-05-11 20:43:04,in_vehicle
2016-05-11 21:46:37,still
2016-05-11 21:57:37,in_vehicle
2016-05-11 22:17:32,still
2016-05-12 00:00:00,in_vehicle
2016-05-12 00:02:19,still
2016-05-12 06:45:00,still
2016-05-12 08:34:00,still
2016-05-12 10:44:03,walking
2016-05-12 10:55:36,still
2016-05-12 14:18:39,walking
2016-05-12 14:23:59,in_vehicle
2016-05-12 15:03:10,walking
2016-05-12 15:53:54,in_vehicle
2016-05-12 16:01:32,walking
2016-05-12 16:21:30,walking
2016-05-12 16:58:14,walking
2016-05-12 16:59:59,in_vehicle
2016-05-12 17:31:57,in_vehicle
2016-05-12 18:02:42,walking
2016-05-12 18:03:46,in_vehicle
2016-05-12 18:47:59,walking
2016-05-12 19:05:06,in_vehicle
2016-05-12 20:15:24,still
2016-05-12 20:35:57,in_vehicle
2016-05-12 22:46:08,still
2016-05-12 22:48:09,still
2016-05-13 00:00:00,in_vehicle
2016-05-13 00:12:42,still
2016-05-13 09:25:28,still
2016-05-13 10:13:33,in_vehicle
2016-05-13 10:45:10,in_vehicle
2016-05-13 13:39:54,walking
2016-05-13 13:54:00,in_vehicle
2016-05-13 14:04:17,still
2016-05-13 15:21:07,walking
2016-05-13 16:24:47,still
2016-05-13 16:39:50,in_vehicle
2016-05-13 17:12:13,still
2016-05-13 18:02:04,still
2016-05-13 18:14:51,walking
2016-05-13 18:30:33,walking
2016-05-13 18:44:21,still
2016-05-13 20:22:56,in_vehicle
2016-05-13 21:40:00,in_vehicle
2016-05-16 00:00:00,still
2016-05-16 05:54:07,walking
2016-05-16 05:55:25,walking
2016-05-16 06:00:41,walking
2016-05-16 06:04:14,still
2016-05-16 06:23:30,still
2016-05-16 06:27:53,walking
2016-05-16 06:37:13,still
2016-05-16 06:55:03,still
2016-05-16 07:18:43,in_vehicle
2016-05-16 08:26:34,still
2016-05-16 08:55:50,still
2016-05-16 09:14:11,in_vehicle
2016-05-16 09:22:24,walking
2016-05-16 10:08:47,walking
2016-05-16 10:21:15,still
2016-05-16 10:57:00,in_vehicle
2016-05-16 11:15:42,walking
2016-05-16 11:55:53,still
2016-05-16 12:55:32,walking
2016-05-16 13:19:25,still
2016-05-16 14:46:29,still
2016-05-16 15:23:25,walking
2016-05-16 15:25:25,in_vehicle
2016-05-16 15:46:16,walking
2016-05-16 15:54:49,walking
2016-05-16 16:08:50,walking
2016-05-16 16:23:28,walking
2016-05-16 16:25:32,still
2016-05-16 16:27:31,walking
2016-05-16 16:31:42,still
2016-05-16 16:48:01,in_vehicle
2016-05-16 16:54:09,walking
2016-05-16 16:55:44,in_vehicle
2016-05-16 18:11:26,still
2016-05-16 18:27:22,in_vehicle
2016-05-16 18:53:51,walking
2016-05-16 19:03:18,in_vehicle
2016-05-16 19:46:42,walking
2016-05-16 19:48:14,in_vehicle
2016-05-16 20:36:41,still
2016-05-16 21:48:04,still
2016-05-16 22:19:12,still
2016-05-17 00:00:00,still
2016-05-17 07:59:01,walking
2016-05-17 08:02:06,still
2016-05-17 08:03:09,in_vehicle
2016-05-17 08:07:43,still
2016-05-17 08:10:30,walking
2016-05-17 08:17:30,walking
2016-05-17 08:21:47,still
2016-05-17 08:25:01,in_vehicle
2016-05-17 08:37:41,walking
2016-05-17 09:35:21,in_vehicle
2016-05-17 09:52:13,walking
2016-05-17 10:00:25,walking
2016-05-17 10:05:42,in_vehicle
2016-05-17 10:19:32,walking
2016-05-17 10:30:49,walking
2016-05-17 10:51:03,walking
2016-05-17 11:11:09,walking
2016-05-17 11:26:45,in_vehicle
2016-05-17 12:22:14,walking
2016-05-17 12:29:04,walking
2016-05-17 12:41:42,walking
2016-05-17 12:44:18,walking
2016-05-17 12:50:39,in_vehicle
2016-05-17 12:59:23,walking
2016-05-17 13:00:34,in_vehicle
2016-05-17 13:01:45,walking
2016-05-17 13:07:58,walking
2016-05-17 13:16:14,walking
2016-05-17 13:26:31,walking
2016-05-17 13:29:04,in_vehicle
2016-05-17 13:41:10,walking
2016-05-17 13:51:50,walking
2016-05-17 13:59:21,walking
2016-05-17 14:16:32,walking
2016-05-17 14:21:01,still
2016-05-17 14:26:47,walking
2016-05-17 14:31:32,walking
2016-05-17 14:33:51,still
2016-05-17 14:37:37,walking
2016-05-17 14:45:01,walking
2016-05-17 14:53:32,in_vehicle
2016-05-17 15:04:52,still
2016-05-17 15:20:49,walking
2016-05-17 15:22:37,still
2016-05-17 15:23:43,in_vehicle
2016-05-17 15:35:32,still
2016-05-17 17:03:00,walking
2016-05-17 17:19:10,still
2016-05-17 17:58:23,still
2016-05-17 18:10:50,walking
2016-05-17 18:16:37,walking
2016-05-17 18:37:39,in_vehicle
2016-05-17 19:08:54,walking
2016-05-17 19:13:16,still
2016-05-17 19:34:22,walking
2016-05-17 19:42:30,in_vehicle
2016-05-17 19:58:29,walking
2016-05-17 20:07:59,walking
2016-05-17 20:30:18,still
2016-05-17 20:51:43,in_vehicle
2016-05-17 21:05:40,in_vehicle
2016-05-17 21:15:53,walking
2016-05-17 21:19:04,still
2016-05-17 21:26:16,in_vehicle
