date,ActivFit
2016-03-31 00:00:00,still
2016-03-31 00:34:39,still
2016-03-31 11:51:11,in_vehicle
2016-03-31 12:00:53,still
2016-03-31 12:09:53,still
2016-03-31 12:27:55,walking
2016-03-31 12:29:59,still
2016-03-31 18:06:51,in_vehicle
2016-03-31 19:02:14,still
2016-03-31 19:13:03,walking
2016-03-31 19:14:07,still
2016-03-31 21:11:30,still
2016-03-31 21:13:34,in_vehicle
2016-03-31 21:31:52,walking
2016-03-31 21:33:14,still
2016-04-01 00:00:00,still
2016-04-01 07:10:06,walking
2016-04-01 07:11:07,still
2016-04-01 07:45:16,walking
2016-04-01 07:46:54,in_vehicle
2016-04-01 08:00:53,walking
2016-04-01 08:03:47,still
2016-04-01 08:07:09,in_vehicle
2016-04-01 08:56:11,walking
2016-04-01 08:57:52,still
2016-04-01 09:14:48,still
2016-04-01 09:34:15,walking
2016-04-01 09:38:17,still
2016-04-01 10:29:07,still
2016-04-01 10:41:37,walking
2016-04-01 11:02:50,still
2016-04-01 11:16:57,still
2016-04-01 12:00:34,still
2016-04-01 12:12:05,walking
2016-04-01 12:13:37,still
2016-04-01 12:40:38,walking
2016-04-01 12:56:12,still
2016-04-01 13:42:22,walking
2016-04-01 13:46:41,in_vehicle
2016-04-01 13:54:04,still
2016-04-01 15:09:35,walking
2016-04-01 15:13:38,still
2016-04-01 15:14:48,walking
2016-04-01 15:19:01,still
2016-04-01 15:28:19,walking
2016-04-01 15:30:33,still
2016-04-01 16:59:28,walking
2016-04-01 17:17:26,walking
2016-04-01 17:29:04,still
2016-04-01 17:33:01,walking
2016-04-01 17:39:38,in_vehicle
2016-04-01 18:01:44,walking
2016-04-01 18:05:25,still
2016-04-01 18:08:59,in_vehicle
2016-04-01 18:34:33,walking
2016-04-01 18:38:26,still
2016-04-01 18:42:15,still
2016-04-01 20:10:15,still
2016-04-01 20:12:37,still
2016-04-01 20:21:13,walking
2016-04-01 20:23:20,still
2016-04-01 21:41:45,still
2016-04-01 21:44:27,in_vehicle
2016-04-01 22:42:10,still
2016-04-01 22:44:55,walking
2016-04-01 22:46:01,still
2016-04-01 23:20:26,still
2016-04-02 00:00:00,still
2016-04-02 09:48:38,in_vehicle
2016-04-02 10:49:36,still
2016-04-02 10:54:43,still
2016-04-02 10:59:49,walking
2016-04-02 11:05:54,still
2016-04-02 11:17:46,still
2016-04-02 11:28:00,in_vehicle
2016-04-02 11:47:12,walking
2016-04-02 11:48:42,still
2016-04-02 12:21:49,walking
2016-04-02 12:26:28,walking
2016-04-02 12:28:02,still
2016-04-02 14:08:01,walking
2016-04-02 14:11:01,still
2016-04-02 14:14:03,walking
2016-04-02 14:16:11,in_vehicle
2016-04-02 14:23:13,walking
2016-04-02 14:24:15,walking
2016-04-02 14:25:22,in_vehicle
2016-04-02 15:25:36,still
2016-04-02 15:30:21,walking
2016-04-02 15:45:50,walking
2016-04-02 15:48:14,in_vehicle
2016-04-02 16:23:23,walking
2016-04-02 16:27:22,in_vehicle
2016-04-02 16:58:40,walking
2016-04-02 17:00:30,in_vehicle
2016-04-02 17:54:47,still
2016-04-02 18:23:27,still
2016-04-02 18:59:56,walking
2016-04-02 19:02:00,in_vehicle
2016-04-02 19:18:04,walking
2016-04-02 19:19:40,still
2016-04-02 20:03:43,walking
2016-04-02 20:06:20,still
2016-04-02 20:09:19,in_vehicle
2016-04-02 21:09:56,still
2016-04-02 22:06:19,still
2016-04-03 00:00:00,still
2016-04-03 02:05:03,still
2016-04-03 02:38:57,still
2016-04-03 11:20:20,walking
2016-04-03 11:21:34,still
2016-04-03 12:39:55,walking
2016-04-03 12:42:45,in_vehicle
2016-04-03 13:19:57,still
2016-04-03 13:26:31,in_vehicle
2016-04-03 15:04:44,still
2016-04-03 15:08:25,walking
2016-04-03 15:09:38,in_vehicle
2016-04-03 15:11:38,walking
2016-04-03 15:15:56,in_vehicle
2016-04-03 15:20:33,walking
2016-04-03 15:21:43,in_vehicle
2016-04-03 15:32:07,walking
2016-04-03 15:33:13,still
2016-04-03 16:31:27,walking
2016-04-03 16:33:48,still
2016-04-03 16:37:31,in_vehicle
2016-04-03 17:07:04,walking
2016-04-03 17:09:14,walking
2016-04-03 17:21:27,still
2016-04-03 17:31:00,walking
2016-04-03 17:41:11,walking
2016-04-03 17:57:17,still
2016-04-03 18:00:26,walking
2016-04-03 18:02:33,in_vehicle
2016-04-03 18:11:13,walking
2016-04-03 18:14:36,walking
2016-04-03 18:19:46,in_vehicle
2016-04-03 18:27:45,walking
2016-04-03 18:29:32,still
2016-04-03 18:30:58,walking
2016-04-03 18:32:01,walking
2016-04-03 18:33:49,in_vehicle
2016-04-03 20:09:24,walking
2016-04-03 20:12:00,in_vehicle
2016-04-03 20:30:19,walking
2016-04-03 20:33:46,in_vehicle
2016-04-03 20:58:31,walking
2016-04-03 21:05:52,still
2016-04-03 21:19:02,still
2016-04-03 22:18:23,walking
2016-04-03 22:20:11,still
2016-04-05 00:00:00,in_vehicle
2016-04-05 00:01:57,still
2016-04-05 06:30:38,walking
2016-04-05 06:32:12,still
2016-04-05 07:34:44,walking
2016-04-05 07:48:24,still
2016-04-05 08:44:29,walking
2016-04-05 08:49:01,in_vehicle
2016-04-05 08:54:34,in_vehicle
2016-04-05 10:13:43,still
2016-04-05 10:31:44,in_vehicle
2016-04-05 11:29:39,still
2016-04-05 12:44:18,in_vehicle
2016-04-05 13:18:01,still
2016-04-05 15:24:21,still
2016-04-05 16:57:14,in_vehicle
2016-04-05 17:11:57,walking
2016-04-05 17:18:00,still
2016-04-05 17:25:51,still
2016-04-05 18:20:32,still
2016-04-05 19:30:41,walking
2016-04-05 19:32:19,still
2016-04-05 21:37:42,still
2016-04-06 00:00:00,still
2016-04-06 05:38:32,still
2016-04-06 06:01:12,in_vehicle
2016-04-06 07:38:18,still
2016-04-06 07:47:46,walking
2016-04-06 07:49:32,still
2016-04-06 08:31:06,in_vehicle
2016-04-06 08:49:28,still
2016-04-06 09:06:19,still
2016-04-06 09:20:05,in_vehicle
2016-04-06 09:45:59,walking
2016-04-06 09:48:17,in_vehicle
2016-04-06 10:33:07,in_vehicle
2016-04-06 10:54:04,still
2016-04-06 12:33:35,walking
2016-04-06 12:34:40,still
2016-04-06 13:52:28,in_vehicle
2016-04-06 15:52:20,walking
2016-04-06 16:00:55,walking
2016-04-06 16:02:48,in_vehicle
2016-04-06 18:55:57,walking
2016-04-06 19:06:45,still
2016-04-06 23:24:41,still
2016-04-07 00:00:00,still
2016-04-07 11:51:50,still
2016-04-07 13:13:02,still
2016-04-07 14:22:33,walking
2016-04-07 14:30:51,walking
2016-04-07 14:31:54,still
