date,ActivFit
2017-07-29 00:00:00,still
2017-07-29 00:19:50,in_vehicle
2017-07-29 00:26:40,still
2017-07-29 01:11:52,still
2017-07-29 08:47:54,still
2017-07-29 08:55:03,in_vehicle
2017-07-29 09:09:39,still
2017-07-29 09:14:07,still
2017-07-29 10:25:52,still
2017-07-29 10:42:04,in_vehicle
2017-07-29 11:01:49,walking
2017-07-29 11:03:00,still
2017-07-29 11:09:36,walking
2017-07-29 11:13:07,still
2017-07-29 11:17:49,walking
2017-07-29 11:22:02,still
2017-07-29 11:34:47,still
2017-07-29 11:57:19,in_vehicle
2017-07-29 12:10:25,walking
2017-07-29 12:17:34,still
2017-07-29 12:19:04,walking
2017-07-29 12:20:21,still
2017-07-29 12:43:45,walking
2017-07-29 12:48:31,still
2017-07-29 12:49:38,in_vehicle
2017-07-29 12:59:42,still
2017-07-29 13:07:42,walking
2017-07-29 13:08:54,in_vehicle
2017-07-29 13:50:35,walking
2017-07-29 13:58:18,still
2017-07-29 14:08:07,walking
2017-07-29 14:34:21,still
2017-07-29 14:57:07,walking
2017-07-29 15:08:27,still
2017-07-29 15:14:58,walking
2017-07-29 15:17:54,still
2017-07-29 15:19:00,walking
2017-07-29 15:24:37,walking
2017-07-29 15:26:15,still
2017-07-29 15:33:47,walking
2017-07-29 15:51:53,walking
2017-07-29 16:14:36,still
2017-07-29 16:22:26,in_vehicle
2017-07-29 16:53:54,walking
2017-07-29 17:04:09,in_vehicle
2017-07-29 17:11:13,walking
2017-07-29 17:14:11,still
2017-07-29 17:24:43,still
2017-07-29 18:04:25,still
2017-07-29 19:09:16,still
2017-07-29 19:16:33,still
2017-07-29 20:45:28,walking
2017-07-29 20:46:31,still
2017-07-29 21:31:12,still
2017-07-29 23:23:06,still
2017-07-29 23:27:10,still
2017-07-30 00:00:00,still
2017-07-30 10:06:02,still
2017-07-30 10:34:00,walking
2017-07-30 10:57:44,walking
2017-07-30 11:03:57,walking
2017-07-30 11:06:04,in_vehicle
2017-07-30 11:29:29,walking
2017-07-30 11:34:12,still
2017-07-30 12:00:44,walking
2017-07-30 12:12:32,still
2017-07-30 12:14:09,walking
2017-07-30 12:16:54,in_vehicle
2017-07-30 12:28:58,walking
2017-07-30 12:31:27,still
2017-07-30 14:04:54,walking
2017-07-30 14:06:07,still
2017-07-30 18:14:50,still
2017-07-30 18:24:51,walking
2017-07-30 18:26:24,still
2017-07-30 18:27:43,in_vehicle
2017-07-30 19:04:24,walking
2017-07-30 19:15:14,still
2017-07-30 19:30:12,still
2017-07-30 19:35:41,walking
2017-07-30 19:37:46,still
2017-07-30 19:48:09,still
2017-07-30 19:53:46,walking
2017-07-30 19:55:54,walking
2017-07-30 19:57:02,still
2017-07-30 19:58:52,in_vehicle
2017-07-30 20:12:41,walking
2017-07-30 20:14:50,still
2017-07-30 20:25:25,walking
2017-07-30 20:27:46,in_vehicle
2017-07-30 21:04:32,walking
2017-07-30 21:11:59,still
2017-07-30 21:36:54,still
2017-07-30 23:33:04,in_vehicle
2017-07-30 23:50:03,still
2017-07-31 00:00:00,still
2017-07-31 09:51:22,in_vehicle
2017-07-31 10:14:59,walking
2017-07-31 10:22:38,still
2017-07-31 10:33:26,walking
2017-07-31 10:41:03,in_vehicle
2017-07-31 11:07:34,walking
2017-07-31 11:40:34,walking
2017-07-31 11:53:03,still
2017-07-31 12:03:14,still
2017-07-31 12:06:04,walking
2017-07-31 12:13:29,still
2017-07-31 12:16:32,walking
2017-07-31 12:26:11,walking
2017-07-31 12:28:44,still
2017-07-31 12:33:28,walking
2017-07-31 12:35:45,walking
2017-07-31 12:37:33,walking
2017-07-31 12:49:00,walking
2017-07-31 12:50:37,in_vehicle
2017-07-31 12:59:09,walking
2017-07-31 13:01:07,still
2017-07-31 13:11:43,in_vehicle
2017-07-31 13:19:14,still
2017-07-31 14:15:47,walking
2017-07-31 14:26:46,still
2017-07-31 14:29:14,walking
2017-07-31 14:32:01,still
2017-07-31 14:34:41,walking
2017-07-31 14:46:27,still
2017-07-31 14:50:15,walking
2017-07-31 15:02:34,walking
2017-07-31 15:10:05,still
2017-07-31 15:37:15,walking
2017-07-31 15:45:38,still
2017-07-31 15:48:10,in_vehicle
2017-07-31 15:55:44,walking
2017-07-31 15:58:46,still
2017-07-31 16:01:37,walking
2017-07-31 16:07:15,still
2017-07-31 16:11:02,in_vehicle
2017-07-31 16:36:10,still
2017-07-31 16:41:56,in_vehicle
2017-07-31 17:10:34,still
2017-07-31 20:53:49,still
2017-07-31 20:57:05,in_vehicle
2017-07-31 21:12:47,walking
2017-07-31 21:13:53,still
2017-07-31 21:16:10,walking
2017-07-31 21:32:40,still
2017-07-31 21:33:40,walking
2017-07-31 21:34:58,still
2017-07-31 21:44:07,still
2017-08-01 00:00:00,still
2017-08-01 11:02:25,in_vehicle
2017-08-01 11:16:17,walking
2017-08-01 11:19:07,in_vehicle
2017-08-01 11:30:19,in_vehicle
2017-08-01 11:37:36,in_vehicle
2017-08-01 11:45:09,walking
2017-08-01 12:11:32,walking
2017-08-01 12:14:16,still
2017-08-01 12:23:59,walking
2017-08-01 12:27:29,still
2017-08-01 12:33:54,still
2017-08-01 13:01:08,walking
2017-08-01 13:03:11,still
2017-08-01 13:16:14,in_vehicle
2017-08-01 13:39:13,in_vehicle
2017-08-01 13:41:17,walking
2017-08-01 13:43:01,still
2017-08-01 13:58:05,still
2017-08-01 14:20:19,in_vehicle
2017-08-01 14:32:39,still
2017-08-01 14:37:37,still
2017-08-01 16:03:20,in_vehicle
2017-08-01 16:46:59,still
2017-08-01 16:48:55,walking
2017-08-01 16:51:42,still
2017-08-01 17:12:13,still
2017-08-01 17:23:54,walking
2017-08-01 17:29:19,still
2017-08-02 18:00:00,still
2017-08-02 20:26:31,still
2017-08-04 00:00:00,still
2017-08-04 07:23:03,still
2017-08-04 07:44:35,still
2017-08-04 07:47:00,walking
2017-08-04 08:10:44,still
2017-08-04 08:22:07,walking
2017-08-04 08:38:16,walking
2017-08-04 08:44:17,walking
2017-08-04 08:45:20,walking
2017-08-04 08:51:02,walking
2017-08-04 08:52:50,walking
2017-08-04 09:03:08,walking
2017-08-04 09:10:29,still
2017-08-04 09:19:10,walking
2017-08-04 09:21:08,still
2017-08-04 09:40:03,still
2017-08-04 09:46:26,still
2017-08-04 09:55:23,walking
2017-08-04 10:05:43,still
2017-08-04 10:10:02,walking
2017-08-04 10:12:20,walking
2017-08-04 10:34:03,still
2017-08-04 10:45:48,walking
2017-08-04 10:46:53,walking
2017-08-04 11:00:52,still
2017-08-04 11:07:09,walking
2017-08-04 11:15:47,walking
2017-08-04 11:22:52,walking
2017-08-04 11:39:50,walking
2017-08-04 11:44:22,walking
2017-08-04 11:55:10,still
2017-08-04 12:10:59,still
2017-08-04 12:14:36,walking
2017-08-04 12:16:02,still
