date,ActivFit
2016-03-07 12:21:31,walking
2016-03-07 13:10:00,walking
2016-03-07 14:11:40,walking
2016-03-07 14:13:01,walking
2016-03-07 14:57:00,walking
2016-03-07 15:15:45,walking
2016-03-08 06:52:28,walking
2016-03-08 07:13:49,walking
2016-03-08 07:41:06,walking
2016-03-08 07:43:58,walking
2016-03-08 07:47:58,walking
2016-03-08 10:18:38,walking
2016-03-08 10:29:32,walking
2016-03-08 11:33:37,walking
2016-03-08 11:34:42,walking
2016-03-08 12:50:29,walking
2016-03-08 13:19:05,walking
2016-03-08 17:02:00,walking
2016-03-08 17:09:00,walking
2016-03-08 20:12:30,walking
2016-03-08 20:35:38,walking
2016-03-09 09:35:53,walking
2016-03-09 09:37:01,walking
2016-03-09 09:57:00,walking
2016-03-09 10:02:00,walking
2016-03-09 10:50:47,walking
2016-03-09 10:58:01,walking
2016-03-09 12:41:38,walking
2016-03-09 16:06:58,walking
2016-03-11 10:50:00,walking
2016-03-11 11:13:39,walking
2016-03-11 13:23:00,walking
2016-03-11 14:55:59,walking
2016-03-11 15:00:58,walking
2016-03-11 15:02:00,walking
2016-03-11 17:26:40,walking
2016-03-11 18:20:57,walking
2016-03-11 22:03:00,walking
2016-03-11 22:05:01,walking
2016-03-14 11:29:00,walking
2016-03-14 11:44:22,walking
2016-03-14 11:55:57,walking
2016-03-14 12:13:15,walking
2016-03-14 12:43:43,walking
2016-03-14 12:45:00,walking
2016-03-14 15:02:07,walking
2016-03-14 15:04:30,walking
2016-03-14 16:27:00,walking
2016-03-14 16:42:39,walking
2016-03-14 19:45:01,walking
2016-03-15 07:43:09,walking
2016-03-15 07:45:00,walking
2016-03-15 09:34:54,walking
2016-03-15 11:31:01,walking
2016-03-15 13:10:00,walking
2016-03-17 07:16:00,walking
2016-03-17 07:42:49,walking
2016-03-17 11:32:28,walking
2016-03-17 11:34:01,walking
2016-03-17 12:00:00,walking
2016-03-18 11:25:14,walking
2016-03-18 12:46:59,walking
2016-03-18 15:19:01,walking
2016-03-20 12:37:01,walking
2016-03-20 12:50:01,walking
2016-03-20 14:26:58,walking
2016-03-20 14:45:01,walking
2016-03-20 15:11:29,walking
2016-03-22 07:12:01,walking
2016-03-22 07:37:47,walking
2016-03-22 09:40:00,walking
2016-03-22 11:32:31,walking
2016-03-22 13:23:59,walking
2016-03-22 13:40:56,walking
2016-03-22 13:43:01,walking
2016-03-22 17:01:01,walking
2016-03-24 06:55:01,walking
2016-03-24 07:27:28,walking
2016-03-24 07:28:52,walking
2016-03-24 09:58:33,walking
2016-03-24 10:05:59,walking
2016-03-24 10:55:59,walking
2016-03-24 10:57:01,walking
2016-03-24 11:00:00,walking
2016-03-24 11:02:59,walking
2016-03-25 14:05:01,walking
2016-03-26 14:01:00,walking
2016-03-26 14:08:54,walking
2016-03-26 14:27:01,walking
2016-03-26 16:41:18,walking
2016-03-26 17:27:20,walking
2016-03-26 17:56:01,walking
2016-03-26 18:44:00,walking
2016-03-26 21:04:59,walking
2016-03-26 23:21:00,walking
2016-03-28 17:57:59,walking
2016-03-30 08:52:36,walking
2016-03-30 09:18:53,walking
2016-03-30 09:49:41,walking
2016-03-30 10:51:33,walking
2016-03-30 11:28:55,walking
2016-03-30 12:57:59,walking
2016-03-30 12:59:40,walking
2016-03-30 13:00:40,walking
2016-03-30 13:01:43,walking
2016-03-30 21:07:00,walking
2016-03-31 07:10:56,walking
2016-03-31 07:31:58,walking
2016-03-31 07:34:24,walking
2016-03-31 07:42:18,walking
2016-03-31 09:46:41,walking
2016-03-31 11:38:50,walking
2016-03-31 14:49:31,walking
2016-04-01 11:00:41,walking
2016-04-01 11:25:59,walking
2016-04-01 11:27:00,walking
2016-04-01 13:10:40,walking
2016-04-01 13:37:11,walking
2016-04-01 15:18:00,walking
2016-04-01 18:32:59,walking
2016-04-01 18:43:42,walking
2016-04-01 19:18:59,walking
2016-04-01 19:25:00,walking
2016-04-03 14:42:01,walking
2016-04-04 19:29:43,walking
2016-04-04 19:31:52,walking
2016-04-04 19:39:01,walking
2016-04-05 07:01:08,walking
2016-04-05 07:36:34,walking
2016-04-05 07:39:58,walking
2016-04-05 11:25:23,walking
2016-04-05 13:03:00,walking
2016-04-05 13:35:00,walking
2016-04-05 13:59:03,walking
2016-04-06 08:51:34,walking
2016-04-06 09:01:00,walking
2016-04-06 09:28:00,walking
2016-04-06 09:52:00,walking
2016-04-06 10:20:39,walking
2016-04-06 10:23:00,walking
2016-04-06 11:25:48,walking
2016-04-06 11:27:00,walking
2016-04-06 11:30:01,walking
2016-04-06 13:22:20,walking
2016-04-06 13:49:51,walking
2016-04-09 14:10:19,walking
2016-04-09 14:28:00,walking
2016-04-09 15:32:00,walking
2016-04-09 16:38:14,walking
2016-04-12 07:37:00,walking
2016-04-12 07:38:14,walking
2016-04-12 09:26:00,walking
2016-04-12 11:31:00,walking
2016-04-12 11:40:01,walking
2016-04-12 12:45:12,walking
2016-04-13 09:29:58,walking
2016-04-13 11:06:35,walking
2016-04-13 11:08:01,walking
2016-04-13 11:32:38,walking
2016-04-13 15:40:00,walking
2016-04-14 07:16:59,walking
2016-04-14 07:41:24,walking
2016-04-14 07:43:00,walking
2016-04-14 09:41:44,walking
2016-04-14 11:39:34,walking
2016-04-15 11:02:00,walking
2016-04-15 11:23:32,walking
2016-04-15 11:24:44,walking
2016-04-15 12:26:01,walking
