date,ActivFit
2016-03-17 00:00:00,still
2016-03-17 00:43:05,in_vehicle
2016-03-17 01:03:56,still
2016-03-17 08:20:14,in_vehicle
2016-03-17 08:40:03,still
2016-03-17 18:02:06,still
2016-03-17 18:06:08,walking
2016-03-17 18:09:09,in_vehicle
2016-03-17 18:34:07,walking
2016-03-17 18:37:36,still
2016-03-17 18:54:07,walking
2016-03-17 19:01:11,still
2016-03-17 20:04:51,in_vehicle
2016-03-17 20:10:37,still
2016-03-17 20:13:08,still
2016-03-17 21:40:38,still
2016-03-17 22:04:09,in_vehicle
2016-03-17 22:12:47,walking
2016-03-17 22:15:49,still
2016-03-18 00:00:00,still
2016-03-18 08:43:23,walking
2016-03-18 08:46:50,in_vehicle
2016-03-18 08:59:12,walking
2016-03-18 09:02:37,still
2016-03-18 15:49:19,walking
2016-03-18 15:52:42,still
2016-03-18 16:08:26,walking
2016-03-18 16:13:04,in_vehicle
2016-03-18 16:21:21,walking
2016-03-18 16:25:39,in_vehicle
2016-03-18 17:14:13,walking
2016-03-18 17:46:21,still
2016-03-18 17:57:15,walking
2016-03-18 18:02:51,walking
2016-03-18 18:05:28,in_vehicle
2016-03-18 18:20:10,still
2016-03-18 18:21:49,walking
2016-03-18 18:26:47,still
2016-03-18 19:44:52,walking
2016-03-18 19:47:30,in_vehicle
2016-03-18 20:30:32,still
2016-03-18 22:09:54,still
2016-03-19 00:00:00,still
2016-03-19 08:04:56,in_vehicle
2016-03-19 08:18:43,walking
2016-03-19 08:39:00,still
2016-03-19 08:45:28,walking
2016-03-19 08:51:50,still
2016-03-19 08:56:00,walking
2016-03-19 09:03:55,still
2016-03-19 09:07:26,walking
2016-03-19 09:12:53,in_vehicle
2016-03-19 09:34:35,walking
2016-03-19 09:38:47,in_vehicle
2016-03-19 10:04:54,walking
2016-03-19 10:08:28,in_vehicle
2016-03-19 10:38:07,still
2016-03-19 10:48:45,still
2016-03-19 13:57:52,in_vehicle
2016-03-19 14:06:53,still
2016-03-19 14:40:30,still
2016-03-19 15:08:28,walking
2016-03-19 15:12:20,in_vehicle
2016-03-19 15:36:12,still
2016-03-19 16:01:28,walking
2016-03-19 16:05:41,in_vehicle
2016-03-19 16:26:08,walking
2016-03-19 16:28:24,still
2016-03-19 17:35:00,in_vehicle
2016-03-19 18:05:03,still
2016-03-19 22:06:09,still
2016-03-23 00:00:00,still
2016-03-23 09:00:34,walking
2016-03-23 09:06:27,still
2016-03-23 09:09:27,walking
2016-03-23 09:13:18,still
2016-03-23 09:45:37,in_vehicle
2016-03-23 10:00:34,still
2016-03-23 10:10:58,walking
2016-03-23 10:14:14,still
2016-03-23 11:58:33,walking
2016-03-23 12:07:22,still
2016-03-23 13:15:34,walking
2016-03-23 13:19:10,still
2016-03-23 13:43:49,walking
2016-03-23 13:49:22,in_vehicle
2016-03-23 14:35:00,walking
2016-03-23 14:39:05,still
2016-03-23 15:09:42,walking
2016-03-23 15:12:30,still
2016-03-23 16:02:29,walking
2016-03-23 16:07:42,still
2016-03-23 19:51:27,walking
2016-03-23 19:55:00,in_vehicle
2016-03-23 20:01:23,walking
2016-03-23 20:02:50,still
2016-03-23 20:19:52,walking
2016-03-23 20:21:38,in_vehicle
2016-03-23 20:34:04,still
2016-03-24 00:00:00,still
2016-03-24 07:22:45,walking
2016-03-24 07:28:07,in_vehicle
2016-03-24 07:44:09,walking
2016-03-24 07:47:56,still
2016-03-24 09:21:32,in_vehicle
2016-03-24 09:24:21,walking
2016-03-24 09:27:22,in_vehicle
2016-03-24 09:33:22,walking
2016-03-24 09:36:08,still
2016-03-24 10:36:39,still
2016-03-24 12:43:07,walking
2016-03-24 12:47:00,still
2016-03-24 12:51:11,walking
2016-03-24 12:53:22,still
2016-03-24 12:54:34,walking
2016-03-24 12:56:55,still
2016-03-24 13:03:36,walking
2016-03-24 13:05:06,walking
2016-03-24 13:07:29,still
2016-03-24 13:22:52,still
2016-03-24 13:32:51,still
2016-03-24 14:45:54,walking
2016-03-24 14:50:14,still
2016-03-24 15:25:40,walking
2016-03-24 15:28:44,walking
2016-03-24 15:30:52,walking
2016-03-24 15:45:41,still
2016-03-24 16:07:45,walking
2016-03-24 16:10:57,still
2016-03-25 00:00:00,still
2016-03-25 09:21:28,walking
2016-03-25 09:24:34,in_vehicle
2016-03-25 09:29:24,walking
2016-03-25 09:31:00,in_vehicle
2016-03-25 09:37:03,walking
2016-03-25 09:38:06,in_vehicle
2016-03-25 09:50:03,walking
2016-03-25 09:54:10,still
2016-03-25 14:18:11,walking
2016-03-25 14:20:47,still
2016-03-25 20:03:40,walking
2016-03-25 20:12:14,walking
2016-03-25 20:13:55,still
2016-03-25 20:15:41,walking
2016-03-25 20:19:07,in_vehicle
2016-03-25 20:35:09,still
2016-03-25 20:45:05,still
2016-03-25 22:52:21,still
2016-03-26 00:00:00,still
2016-03-26 07:02:29,walking
2016-03-26 07:12:37,in_vehicle
2016-03-26 07:19:06,walking
2016-03-26 07:20:59,walking
2016-03-26 07:22:13,in_vehicle
2016-03-26 07:25:55,walking
2016-03-26 07:58:21,walking
2016-03-26 07:59:50,still
2016-03-26 08:08:28,walking
2016-03-26 08:15:31,in_vehicle
2016-03-26 08:28:00,still
2016-03-26 08:50:50,still
2016-03-26 09:08:35,in_vehicle
2016-03-26 09:29:07,walking
2016-03-26 09:30:08,in_vehicle
2016-03-26 09:31:40,still
2016-03-26 11:20:38,walking
2016-03-26 11:26:44,in_vehicle
2016-03-26 12:11:13,still
2016-03-26 17:31:53,in_vehicle
2016-03-26 18:07:30,walking
2016-03-26 18:11:41,walking
2016-03-26 18:32:19,walking
2016-03-26 18:34:34,still
2016-03-26 18:37:54,walking
2016-03-26 18:46:05,walking
2016-03-26 18:49:13,still
2016-03-26 19:04:40,walking
2016-03-26 19:12:25,still
2016-03-26 19:15:20,walking
2016-03-26 19:18:49,in_vehicle
2016-03-26 19:27:14,walking
2016-03-26 19:30:04,still
2016-03-26 19:33:09,walking
2016-03-26 19:40:10,still
2016-03-26 22:37:44,still
2016-03-26 23:00:00,still
2016-03-27 07:06:09,walking
2016-03-27 07:08:08,in_vehicle
2016-03-27 07:31:22,walking
2016-03-27 07:41:13,walking
2016-03-27 07:46:19,walking
2016-03-27 07:47:22,walking
2016-03-27 08:03:19,still
2016-03-27 08:05:12,walking
2016-03-27 08:06:52,walking
2016-03-27 08:16:30,still
2016-03-27 08:23:55,walking
2016-03-27 08:29:25,still
2016-03-27 08:40:19,walking
2016-03-27 08:41:20,walking
2016-03-27 08:53:53,in_vehicle
2016-03-27 09:17:03,walking
2016-03-27 09:21:31,still
2016-03-27 14:22:17,walking
2016-03-27 14:25:35,still
2016-03-27 14:53:07,walking
2016-03-27 14:54:42,in_vehicle
2016-03-27 15:03:17,still
2016-03-27 15:17:52,walking
2016-03-27 15:21:33,still
2016-03-27 16:37:15,still
2016-03-27 19:49:43,walking
2016-03-27 19:53:21,still
2016-03-29 00:00:00,still
2016-03-29 09:03:19,walking
2016-03-29 09:07:29,walking
2016-03-29 09:09:26,in_vehicle
2016-03-29 09:19:07,walking
2016-03-29 09:20:50,still
2016-03-29 13:33:11,walking
2016-03-29 13:35:36,still
2016-03-29 13:45:03,walking
2016-03-29 13:46:44,walking
2016-03-29 13:52:16,still
2016-03-29 13:54:08,walking
2016-03-29 14:02:17,still
2016-03-29 14:05:26,walking
2016-03-29 14:06:56,still
2016-03-29 14:09:49,walking
2016-03-29 14:14:58,still
2016-03-29 14:31:20,walking
2016-03-29 14:35:47,still
2016-03-29 14:40:34,walking
2016-03-29 14:50:01,walking
2016-03-29 14:54:11,still
2016-03-29 15:03:56,walking
2016-03-29 15:07:05,still
2016-03-29 18:58:28,walking
2016-03-29 19:00:29,walking
2016-03-29 19:02:39,in_vehicle
2016-03-29 19:10:53,walking
2016-03-29 19:13:00,still
2016-03-29 19:22:43,walking
2016-03-29 19:24:56,still
2016-03-29 19:35:18,walking
2016-03-29 19:48:10,in_vehicle
2016-03-29 19:55:47,walking
2016-03-29 19:58:42,still
2016-03-29 20:04:04,walking
2016-03-29 20:05:36,in_vehicle
2016-03-29 20:32:57,still
2016-03-29 21:18:09,still
2016-03-30 00:00:00,still
2016-03-30 08:32:43,in_vehicle
2016-03-30 08:39:33,walking
2016-03-30 08:40:48,in_vehicle
2016-03-30 08:53:26,walking
2016-03-30 08:55:13,still
2016-03-30 09:31:30,walking
2016-03-30 09:32:45,still
2016-03-30 09:48:47,walking
2016-03-30 09:51:00,walking
2016-03-30 10:03:31,still
2016-03-30 10:58:13,walking
2016-03-30 11:03:16,still
2016-03-30 13:41:53,in_vehicle
2016-03-30 14:32:12,still
2016-03-30 14:45:48,walking
2016-03-30 14:46:56,walking
2016-03-30 14:52:41,still
2016-03-30 16:02:25,walking
2016-03-30 16:05:49,in_vehicle
2016-03-30 16:18:48,walking
2016-03-30 16:20:09,in_vehicle
2016-03-30 16:43:23,still
2016-03-30 16:52:40,walking
2016-03-30 16:55:12,still
2016-03-30 16:57:21,walking
2016-03-30 16:59:09,still
2016-03-30 17:01:34,in_vehicle
2016-03-30 17:08:35,walking
2016-03-30 17:11:20,still
2016-03-30 17:15:22,walking
2016-03-30 17:20:38,in_vehicle
2016-03-30 17:42:02,still
2016-03-30 17:45:23,walking
2016-03-30 17:55:28,walking
2016-03-30 17:56:30,still
2016-03-30 20:00:35,walking
2016-03-30 20:06:44,still
2016-03-30 20:22:42,walking
2016-03-30 20:26:20,in_vehicle
2016-03-30 20:34:00,walking
2016-03-30 20:36:12,still
2016-04-01 00:00:00,still
2016-04-01 08:43:59,in_vehicle
2016-04-01 08:45:06,walking
2016-04-01 08:46:21,in_vehicle
2016-04-01 08:59:11,walking
2016-04-01 09:02:01,still
2016-04-01 13:07:45,still
2016-04-01 13:16:53,walking
2016-04-01 13:25:49,still
2016-04-01 14:40:57,walking
2016-04-01 14:51:51,still
2016-04-01 16:54:36,still
2016-04-01 18:44:19,walking
2016-04-01 18:47:06,in_vehicle
2016-04-01 19:56:45,still
2016-04-01 19:59:33,walking
2016-04-01 20:00:39,still
2016-04-01 20:22:26,walking
2016-04-01 20:25:52,still
2016-04-01 20:39:53,in_vehicle
2016-04-01 20:55:15,walking
2016-04-01 20:56:48,still
2016-04-01 21:31:52,walking
2016-04-01 21:34:41,still
2016-04-01 21:43:25,walking
2016-04-01 21:45:57,still
