date,ActivFit
2017-01-14 00:00:00,still
2017-01-14 09:47:54,still
2017-01-14 09:56:27,walking
2017-01-14 10:02:31,still
2017-01-14 10:09:37,in_vehicle
2017-01-14 10:14:39,walking
2017-01-14 10:18:44,walking
2017-01-14 10:24:53,still
2017-01-14 11:22:34,still
2017-01-14 11:38:00,still
2017-01-14 11:47:29,still
2017-01-14 12:18:33,still
2017-01-14 14:18:25,still
2017-01-14 14:22:16,walking
2017-01-14 14:27:01,still
2017-01-14 15:26:11,still
2017-01-14 15:31:12,still
2017-01-14 16:09:17,still
2017-01-14 17:07:33,walking
2017-01-14 17:09:51,still
2017-01-14 17:17:16,walking
2017-01-14 17:22:23,still
2017-01-14 17:23:25,walking
2017-01-14 17:25:04,still
2017-01-14 17:31:55,walking
2017-01-14 17:33:40,still
2017-01-14 17:35:18,walking
2017-01-14 17:37:15,still
2017-01-14 17:42:14,walking
2017-01-14 17:45:50,still
2017-01-14 18:02:16,still
2017-01-14 18:06:26,still
2017-01-14 18:13:42,in_vehicle
2017-01-14 18:22:03,still
2017-01-14 18:24:25,still
2017-01-14 18:26:20,still
2017-01-14 18:30:57,still
2017-01-14 18:43:39,still
2017-01-14 19:25:41,still
2017-01-14 21:23:00,walking
2017-01-14 21:24:01,still
2017-01-14 21:48:43,still
2017-01-14 21:50:36,in_vehicle
2017-01-14 22:11:50,still
2017-01-14 22:12:56,walking
2017-01-14 22:19:51,still
2017-01-14 23:04:23,still
2017-01-14 23:19:44,still
2017-01-16 00:00:00,still
2017-01-16 00:43:33,still
2017-01-16 00:48:12,still
2017-01-16 08:08:28,still
2017-01-16 08:27:10,still
2017-01-16 08:44:11,walking
2017-01-16 08:45:39,still
2017-01-16 08:48:03,still
2017-01-16 08:50:02,in_vehicle
2017-01-16 09:29:20,walking
2017-01-16 09:32:01,still
2017-01-16 10:23:47,still
2017-01-16 10:27:02,walking
2017-01-16 10:28:42,still
2017-01-16 10:29:50,walking
2017-01-16 10:31:00,still
2017-01-16 10:35:10,walking
2017-01-16 10:40:00,still
2017-01-16 10:41:49,in_vehicle
2017-01-16 10:51:34,still
2017-01-16 10:57:32,walking
2017-01-16 10:58:47,walking
2017-01-16 11:07:54,walking
2017-01-16 11:09:01,still
2017-01-16 11:23:37,still
2017-01-16 11:45:33,still
2017-01-16 11:47:45,walking
2017-01-16 11:54:00,walking
2017-01-16 12:01:03,still
2017-01-16 12:03:14,still
2017-01-16 12:06:01,walking
2017-01-16 12:07:33,still
2017-01-16 12:16:14,still
2017-01-16 12:21:05,still
2017-01-16 12:47:32,walking
2017-01-16 12:59:10,still
2017-01-16 13:02:13,in_vehicle
2017-01-16 13:30:57,walking
2017-01-16 13:36:25,still
2017-01-16 13:51:23,still
2017-01-16 14:02:34,still
2017-01-16 14:07:41,still
2017-01-16 15:19:37,in_vehicle
2017-01-16 15:48:26,walking
2017-01-16 15:54:44,still
2017-01-16 16:06:30,still
2017-01-16 16:20:39,still
2017-01-16 16:35:36,still
2017-01-16 16:40:03,still
2017-01-16 16:48:03,still
2017-01-16 16:55:38,in_vehicle
2017-01-16 17:09:59,still
2017-01-16 17:14:55,in_vehicle
2017-01-16 17:30:44,walking
2017-01-16 17:35:24,still
2017-01-16 17:56:28,still
2017-01-16 18:06:47,still
2017-01-16 18:12:45,walking
2017-01-16 18:14:00,walking
2017-01-16 18:15:02,still
2017-01-16 18:21:10,still
2017-01-16 20:02:33,still
2017-01-16 20:09:13,walking
2017-01-16 20:11:56,still
2017-01-16 22:32:44,still
2017-01-16 22:47:18,still
2017-01-16 22:53:19,still
2017-01-16 23:27:14,still
2017-01-17 00:00:00,still
2017-01-17 07:38:00,still
2017-01-17 08:29:59,still
2017-01-17 08:41:44,still
2017-01-17 08:45:54,in_vehicle
2017-01-17 08:57:18,walking
2017-01-17 08:58:46,walking
2017-01-17 09:02:52,walking
2017-01-17 09:04:11,in_vehicle
2017-01-17 09:07:41,walking
2017-01-17 09:11:00,walking
2017-01-17 09:16:08,still
2017-01-17 09:22:11,still
2017-01-17 09:25:58,walking
2017-01-17 09:27:26,still
2017-01-17 11:13:19,still
2017-01-17 11:15:05,in_vehicle
