date,ActivFit
2016-01-10 00:00:00,still
2016-01-10 08:42:07,in_vehicle
2016-01-10 08:55:09,still
2016-01-10 09:04:14,still
2016-01-10 09:21:00,walking
2016-01-10 09:25:27,walking
2016-01-10 09:28:02,walking
2016-01-10 09:38:17,still
2016-01-10 09:51:46,in_vehicle
2016-01-10 10:01:56,walking
2016-01-10 10:03:00,still
2016-01-10 10:30:22,walking
2016-01-10 10:31:22,still
2016-01-10 10:34:31,walking
2016-01-10 10:38:57,in_vehicle
2016-01-10 10:53:47,walking
2016-01-10 11:02:55,walking
2016-01-10 11:04:40,walking
2016-01-10 11:05:55,walking
2016-01-10 11:08:14,in_vehicle
2016-01-10 11:16:11,walking
2016-01-10 11:17:54,still
2016-01-10 11:29:34,still
2016-01-10 11:46:41,still
2016-01-10 12:32:45,still
2016-01-10 12:49:49,still
2016-01-10 13:26:50,still
2016-01-10 13:59:14,still
2016-01-10 14:11:07,still
2016-01-10 15:18:05,still
2016-01-10 15:26:43,walking
2016-01-10 15:31:37,in_vehicle
2016-01-10 16:02:05,still
2016-01-10 17:13:55,walking
2016-01-10 17:15:00,still
2016-01-10 17:16:51,in_vehicle
2016-01-10 17:42:38,still
2016-01-10 18:23:53,still
2016-01-10 18:26:25,in_vehicle
2016-01-10 18:33:03,still
2016-01-10 20:23:44,still
2016-01-10 20:58:48,still
2016-01-10 22:11:17,still
2016-01-10 22:47:26,still
