date,ActivFit
2016-04-24 00:00:00,still
2016-04-24 18:23:15,walking
2016-04-24 18:24:45,in_vehicle
2016-04-24 18:39:22,still
2016-04-24 21:29:24,still
2016-04-24 22:58:00,still
2016-04-25 00:00:00,still
2016-04-25 07:04:23,still
2016-04-25 07:29:23,in_vehicle
2016-04-25 07:57:43,walking
2016-04-25 08:30:29,walking
2016-04-25 08:31:45,still
2016-04-25 08:55:13,walking
2016-04-25 10:00:49,still
2016-04-25 10:21:47,walking
2016-04-25 10:39:00,still
2016-04-25 11:06:24,in_vehicle
2016-04-25 11:19:35,still
2016-04-25 11:22:06,walking
2016-04-25 11:25:09,in_vehicle
2016-04-25 11:32:10,still
2016-04-25 11:34:17,in_vehicle
2016-04-25 11:37:41,walking
2016-04-25 11:39:58,in_vehicle
2016-04-25 12:01:41,walking
2016-04-25 12:14:00,walking
2016-04-25 12:15:31,still
2016-04-25 12:16:32,walking
2016-04-25 12:19:39,walking
2016-04-25 12:25:41,still
2016-04-25 12:30:42,in_vehicle
2016-04-25 12:41:43,walking
2016-04-25 12:42:43,still
2016-04-25 12:44:14,in_vehicle
2016-04-25 12:57:31,walking
2016-04-25 12:58:37,still
2016-04-25 13:12:18,walking
2016-04-25 13:27:35,in_vehicle
2016-04-25 13:38:14,still
2016-04-25 13:50:29,still
2016-04-25 14:00:43,still
2016-04-25 14:14:24,walking
2016-04-25 14:18:44,still
2016-04-25 14:46:43,still
2016-04-25 15:07:25,walking
2016-04-25 15:16:30,still
2016-04-25 15:29:42,still
2016-04-25 15:36:44,walking
2016-04-25 15:47:45,still
2016-04-25 15:51:46,walking
2016-04-25 15:59:00,still
2016-04-25 16:27:13,still
2016-04-25 16:33:51,walking
2016-04-25 16:36:09,still
2016-04-25 16:45:42,walking
2016-04-25 17:04:21,walking
2016-04-25 17:05:52,still
2016-04-25 17:08:32,walking
2016-04-25 17:18:47,still
2016-04-25 17:22:19,walking
2016-04-25 17:28:00,still
2016-04-25 17:34:39,still
2016-04-25 17:37:10,walking
2016-04-25 17:39:41,still
2016-04-25 17:47:44,still
2016-04-25 17:57:27,still
2016-04-25 18:02:35,walking
2016-04-25 18:13:14,still
2016-04-25 18:15:50,in_vehicle
2016-04-25 18:31:42,walking
2016-04-25 18:41:44,in_vehicle
2016-04-25 18:51:48,still
