date,ActivFit
2016-06-21 00:00:00,still
2016-06-21 06:47:29,walking
2016-06-21 06:49:10,still
2016-06-21 12:42:40,biking
2016-06-21 12:44:18,biking
2016-06-21 13:01:52,walking
2016-06-21 13:05:18,still
2016-06-21 17:53:55,in_vehicle
2016-06-21 17:56:43,in_vehicle
2016-06-21 18:04:46,walking
2016-06-21 18:07:49,in_vehicle
2016-06-21 18:09:22,walking
2016-06-21 18:12:36,walking
2016-06-21 18:14:57,still
2016-06-21 18:33:11,other
2016-06-21 19:30:45,walking
2016-06-21 19:32:19,still
2016-06-21 19:36:34,walking
2016-06-21 19:38:25,in_vehicle
2016-06-21 19:39:50,in_vehicle
2016-06-21 19:45:48,walking
2016-06-21 19:48:38,walking
2016-06-21 19:51:21,still
2016-06-21 20:05:14,still
2016-06-21 20:09:49,in_vehicle
2016-06-21 20:16:24,still
2016-06-21 20:18:22,still
2016-06-21 20:52:58,still
2016-06-22 00:00:00,still
2016-06-22 06:42:43,in_vehicle
2016-06-22 06:47:55,in_vehicle
2016-06-22 07:28:38,walking
2016-06-22 07:30:01,in_vehicle
2016-06-22 07:34:39,still
2016-06-22 08:32:39,walking
2016-06-22 08:33:43,still
2016-06-22 09:09:30,still
2016-06-22 10:47:22,walking
2016-06-22 10:49:06,walking
2016-06-22 10:50:46,still
2016-06-22 10:55:24,walking
2016-06-22 10:58:12,still
2016-06-22 12:09:21,walking
2016-06-22 12:12:42,still
2016-06-22 12:14:53,walking
2016-06-22 12:25:53,still
2016-06-22 12:42:45,walking
2016-06-22 12:49:47,still
2016-06-22 12:58:58,walking
2016-06-22 13:00:39,still
2016-06-22 13:02:10,running
2016-06-22 13:03:41,still
2016-06-22 13:14:00,walking
2016-06-22 13:27:17,still
2016-06-22 14:36:28,walking
2016-06-22 14:37:43,walking
2016-06-22 14:40:09,still
2016-06-22 15:13:42,still
2016-06-22 16:32:56,walking
2016-06-22 16:42:46,walking
2016-06-22 16:46:12,still
2016-06-22 17:43:17,in_vehicle
2016-06-22 17:44:22,in_vehicle
2016-06-22 18:25:50,in_vehicle
2016-06-22 18:27:10,walking
2016-06-22 18:33:02,still
2016-06-22 18:59:16,walking
2016-06-22 19:00:28,still
2016-06-22 19:02:36,still
2016-06-22 19:04:16,running
2016-06-22 19:41:22,still
2016-06-22 19:48:49,walking
2016-06-22 19:50:09,still
2016-06-22 20:02:38,still
2016-06-22 20:33:05,still
2016-06-23 00:00:00,still
2016-06-23 01:29:35,still
2016-06-23 05:15:28,still
