date,ActivFit
2016-04-02 21:39:12,still
2016-04-02 22:25:36,walking
2016-04-02 22:39:30,in_vehicle
2016-04-02 22:58:03,walking
2016-04-02 23:00:02,in_vehicle
2016-04-02 23:05:44,still
2016-04-03 00:00:00,still
2016-04-03 15:09:16,walking
2016-04-03 15:13:45,in_vehicle
2016-04-03 16:07:42,still
2016-04-03 18:39:46,in_vehicle
2016-04-03 19:07:23,walking
2016-04-03 19:08:49,walking
2016-04-03 19:15:00,still
2016-04-03 19:51:05,walking
2016-04-03 20:00:08,still
2016-04-03 20:29:20,walking
2016-04-03 20:40:51,walking
2016-04-03 20:47:51,still
2016-04-04 00:00:00,still
2016-04-04 07:39:00,walking
2016-04-04 07:59:54,walking
2016-04-04 08:10:21,still
2016-04-04 08:58:43,walking
2016-04-04 08:59:48,in_vehicle
2016-04-04 09:38:40,walking
2016-04-04 09:40:01,in_vehicle
2016-04-04 09:41:17,walking
2016-04-04 09:42:18,in_vehicle
2016-04-04 09:48:23,still
2016-04-04 10:20:01,walking
2016-04-04 10:21:08,still
2016-04-04 10:26:31,in_vehicle
2016-04-04 10:37:42,in_vehicle
2016-04-04 10:53:58,walking
2016-04-04 10:56:52,still
2016-04-04 11:07:13,in_vehicle
2016-04-04 11:16:48,walking
2016-04-04 11:17:49,in_vehicle
2016-04-04 11:19:01,walking
2016-04-04 11:20:02,in_vehicle
2016-04-04 11:22:48,walking
2016-04-04 11:23:55,still
2016-04-04 12:22:12,walking
2016-04-04 12:29:21,still
2016-04-04 13:49:55,walking
2016-04-04 13:52:54,in_vehicle
2016-04-04 14:30:51,still
2016-04-04 14:54:59,walking
2016-04-04 15:13:12,in_vehicle
2016-04-04 15:28:30,still
2016-04-04 16:23:00,walking
2016-04-04 16:24:43,still
2016-04-04 18:01:05,walking
2016-04-04 18:14:35,still
2016-04-04 20:38:50,still
2016-04-05 00:00:00,still
2016-04-05 08:35:00,walking
2016-04-05 08:38:09,in_vehicle
2016-04-05 08:57:04,walking
2016-04-05 08:58:21,still
2016-04-05 10:35:36,walking
2016-04-05 10:41:02,still
2016-04-05 10:43:00,walking
2016-04-05 10:45:14,still
2016-04-05 14:45:29,in_vehicle
2016-04-05 15:33:19,walking
2016-04-05 15:38:02,in_vehicle
2016-04-05 16:30:46,still
2016-04-05 17:37:12,walking
2016-04-05 17:38:23,in_vehicle
2016-04-05 17:50:29,still
2016-04-05 18:25:37,still
2016-04-05 20:59:01,in_vehicle
2016-04-05 21:05:39,walking
2016-04-05 21:07:59,in_vehicle
2016-04-05 21:25:25,still
2016-04-05 21:59:16,still
2016-04-05 23:43:01,still
2016-04-09 00:00:00,still
2016-04-09 12:07:01,in_vehicle
2016-04-09 12:18:02,still
2016-04-09 16:24:46,walking
2016-04-09 16:30:23,in_vehicle
2016-04-09 16:39:27,still
2016-04-09 17:09:22,still
2016-04-09 17:58:25,in_vehicle
2016-04-09 18:12:31,walking
2016-04-09 18:30:45,walking
2016-04-09 18:39:03,still
2016-04-09 18:47:19,in_vehicle
2016-04-09 19:01:03,still
2016-04-09 21:50:49,still
2016-04-10 00:00:00,still
2016-04-10 13:22:45,walking
2016-04-10 13:27:14,in_vehicle
2016-04-10 14:09:03,in_vehicle
2016-04-10 14:39:09,in_vehicle
2016-04-10 14:41:39,walking
2016-04-10 14:49:43,still
2016-04-10 15:39:00,walking
2016-04-10 16:20:21,still
2016-04-10 16:41:02,in_vehicle
2016-04-10 16:57:31,still
2016-04-10 17:10:41,still
2016-04-10 17:31:56,walking
2016-04-10 17:37:48,walking
2016-04-10 17:39:41,in_vehicle
2016-04-10 17:57:26,still
2016-04-10 18:29:21,in_vehicle
2016-04-10 19:15:00,still
2016-04-10 19:16:59,walking
2016-04-10 19:17:59,still
2016-04-10 20:41:59,walking
2016-04-10 20:44:11,still
2016-04-10 20:58:59,walking
2016-04-10 21:19:25,walking
2016-04-10 21:30:59,still
2016-04-10 23:00:04,still
